InChIKey,Feature_Type,Kendall_Distance,RMSE
PXNJGLAVKOXITN-UHFFFAOYSA-N,GC-MACCS,0.048,0.608
IUJAAIZKRJJZGQ-UHFFFAOYSA-N,GC-MACCS,0.127,0.462
KHBQMWCZKVMBLN-UHFFFAOYSA-N,GC-MACCS,0.105,0.165
AHUNJJIFFINZDV-UHFFFAOYSA-N,GC-MACCS,0.145,0.279
YHMYGUUIMTVXNW-UHFFFAOYSA-N,GC-MACCS,0.197,1.23
YXIWHUQXZSMYRE-UHFFFAOYSA-N,GC-MACCS,0.182,0.657
XHZPRMZZQOIPDS-UHFFFAOYSA-N,GC-MACCS,0.473,0.607
GPHQHTOMRSGBNZ-UHFFFAOYSA-N,GC-MACCS,0.25,0.254
WOZVHXUHUFLZGK-UHFFFAOYSA-N,GC-MACCS,0.324,0.439
ZTHZEDRPKCLGAR-UHFFFAOYSA-N,GC-MACCS,0.179,0.651
ARKIFHPFTHVKDT-UHFFFAOYSA-N,GC-MACCS,0.028,0.282
XTTIQGSLJBWVIV-UHFFFAOYSA-N,GC-MACCS,0.145,0.4
NTBYINQTYWZXLH-UHFFFAOYSA-N,GC-MACCS,0.267,0.6
WWYFPDXEIFBNKE-UHFFFAOYSA-N,GC-MACCS,0.25,0.275
SBNKFTQSBPKMBZ-UHFFFAOYSA-N,GC-MACCS,0.386,0.688
JMSVCTWVEWCHDZ-UHFFFAOYSA-N,GC-MACCS,0.357,0.393
GLDQAMYCGOIJDV-UHFFFAOYSA-N,GC-MACCS,0.152,0.171
JYGFTBXVXVMTGB-UHFFFAOYSA-N,GC-MACCS,0.364,0.364
ZESWUEBPRPGMTP-UHFFFAOYSA-N,GC-MACCS,0.255,0.389
FDDDEECHVMSUSB-UHFFFAOYSA-N,GC-MACCS,0.291,0.729
BPTCCCTWWAUJRK-UHFFFAOYSA-N,GC-MACCS,0.152,0.992
LVQDKIWDGQRHTE-UHFFFAOYSA-N,GC-MACCS,0.321,0.292
LDHQCZJRKDOVOX-NSCUHMNNSA-N,GC-MACCS,0.464,0.786
SODPIMGUZLOIPE-UHFFFAOYSA-N,GC-MACCS,0.205,0.587
KUCOHFSKRZZVRO-UHFFFAOYSA-N,GC-MACCS,0.178,0.11
IYYZUPMFVPLQIF-UHFFFAOYSA-N,GC-MACCS,0.028,0.233
FPYJFEHAWHCUMM-UHFFFAOYSA-N,GC-MACCS,0.179,0.737
PMMYEEVYMWASQN-DMTCNVIQSA-N,GC-MACCS,0.419,0.534
MZLRFUCMBQWLNV-FNORWQNLSA-N,GC-MACCS,0.5,0.272
XKJCHHZQLQNZHY-UHFFFAOYSA-N,GC-MACCS,0.311,0.225
