,solute_smiles,temperature,solvent_smiles,experimental_logX
0,ON(Cc1ccccc1)Cc1ccccc1,273.15,CO,-2.8992849134269183
1,ON(Cc1ccccc1)Cc1ccccc1,279.15,CO,-2.7662426370344897
2,ON(Cc1ccccc1)Cc1ccccc1,283.45,CO,-2.6790233226571765
3,ON(Cc1ccccc1)Cc1ccccc1,289.05,CO,-2.5590909179347823
4,ON(Cc1ccccc1)Cc1ccccc1,293.05,CO,-2.4779471991311777
5,ON(Cc1ccccc1)Cc1ccccc1,297.65,CO,-2.388489112873344
6,ON(Cc1ccccc1)Cc1ccccc1,302.85,CO,-2.290221398151775
7,ON(Cc1ccccc1)Cc1ccccc1,308.05,CO,-2.188559056325842
8,ON(Cc1ccccc1)Cc1ccccc1,313.15,CO,-2.0996328713435295
9,ON(Cc1ccccc1)Cc1ccccc1,317.15,CO,-2.0297926411931453
10,ON(Cc1ccccc1)Cc1ccccc1,323.15,CO,-1.9325571572236193
11,COC(=O)[C@@H](N)CS.Cl,283.15,CO,-1.0428238695951537
12,COC(=O)[C@@H](N)CS.Cl,288.15,CO,-1.0252580954990498
13,COC(=O)[C@@H](N)CS.Cl,293.15,CO,-0.9752681103447509
14,COC(=O)[C@@H](N)CS.Cl,298.15,CO,-0.9435144070488843
15,COC(=O)[C@@H](N)CS.Cl,303.15,CO,-0.8968807464542862
16,COC(=O)[C@@H](N)CS.Cl,308.15,CO,-0.8573602921675834
17,COC(=O)[C@@H](N)CS.Cl,313.15,CO,-0.81095909209099
18,COC(=O)[C@@H](N)CS.Cl,318.15,CO,-0.7742514758181355
19,COC(=O)[C@@H](N)CS.Cl,323.15,CO,-0.7288324210519123
20,COC(=O)[C@@H](N)CS.Cl,328.15,CO,-0.6738485485164543
21,COC(=O)[C@@H](N)CS.Cl,333.15,CO,-0.5896614990892698
22,CC1(C)NC(=O)NC1=O,283.15,CO,-1.1889614913957842
23,CC1(C)NC(=O)NC1=O,288.15,CO,-1.1432107112466838
24,CC1(C)NC(=O)NC1=O,293.15,CO,-1.0938805424544384
25,CC1(C)NC(=O)NC1=O,298.15,CO,-1.0474981521369764
26,CC1(C)NC(=O)NC1=O,303.15,CO,-1.0029632891174733
27,CC1(C)NC(=O)NC1=O,308.15,CO,-0.9542859410591323
28,CC1(C)NC(=O)NC1=O,313.15,CO,-0.9122185821904576
29,CC1(C)NC(=O)NC1=O,318.15,CO,-0.8683813356508745
30,CC1(C)NC(=O)NC1=O,323.15,CO,-0.8244881866365523
