,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
4127,O=Cc1cc(C=O)cc(C=O)c1,C1COCCO1,AEKQNAANFVOBCU-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,-1.6856481582243372,298.15
4128,O=Cc1cc(C=O)cc(C=O)c1,CC#N,AEKQNAANFVOBCU-UHFFFAOYSA-N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,-2.059334127524171,298.15
4129,O=Cc1cc(C=O)cc(C=O)c1,CC(C)=O,AEKQNAANFVOBCU-UHFFFAOYSA-N,CSCPPACGZOOCGX-UHFFFAOYSA-N,-1.8172430689596009,298.15
4130,O=Cc1cc(C=O)cc(C=O)c1,CC(C)CO,AEKQNAANFVOBCU-UHFFFAOYSA-N,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,-3.311580177997289,298.15
4131,O=Cc1cc(C=O)cc(C=O)c1,CC(C)O,AEKQNAANFVOBCU-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-3.161150909262745,298.15
4132,O=Cc1cc(C=O)cc(C=O)c1,CCC(C)O,AEKQNAANFVOBCU-UHFFFAOYSA-N,BTANRVKWQNVYAZ-UHFFFAOYSA-N,-3.10292299679058,298.15
4133,O=Cc1cc(C=O)cc(C=O)c1,CCCCCO,AEKQNAANFVOBCU-UHFFFAOYSA-N,AMQJEAYHLZJPGS-UHFFFAOYSA-N,-2.666149854897455,298.15
4134,O=Cc1cc(C=O)cc(C=O)c1,CCCCO,AEKQNAANFVOBCU-UHFFFAOYSA-N,LRHPLDYGYMQRHN-UHFFFAOYSA-N,-2.8850555842874157,298.15
4135,O=Cc1cc(C=O)cc(C=O)c1,CCCO,AEKQNAANFVOBCU-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-2.812761380168521,298.15
4136,O=Cc1cc(C=O)cc(C=O)c1,CCO,AEKQNAANFVOBCU-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-2.5266590358140646,298.15
4137,O=Cc1cc(C=O)cc(C=O)c1,CO,AEKQNAANFVOBCU-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,-2.160270624793612,298.15
