,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
4585,O=c1cc(CO)occ1O,C1COCCO1,BEJNERDRQOWKJM-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,-1.9863203027088077,298.15
4586,O=c1cc(CO)occ1O,CC(=O)N(C)C,BEJNERDRQOWKJM-UHFFFAOYSA-N,FXHOOIRPVKKKFG-UHFFFAOYSA-N,-0.7344746647809262,298.15
4587,O=c1cc(CO)occ1O,CC(=O)O,BEJNERDRQOWKJM-UHFFFAOYSA-N,QTBSBXVTEAMEQO-UHFFFAOYSA-N,-1.771086594005312,298.15
4588,O=c1cc(CO)occ1O,CC(C)=O,BEJNERDRQOWKJM-UHFFFAOYSA-N,CSCPPACGZOOCGX-UHFFFAOYSA-N,-2.342084063170045,298.15
4589,O=c1cc(CO)occ1O,CCCO,BEJNERDRQOWKJM-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-2.2803373169819534,298.15
4590,O=c1cc(CO)occ1O,CCO,BEJNERDRQOWKJM-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-2.131649500352032,298.15
4591,O=c1cc(CO)occ1O,CCOC(C)=O,BEJNERDRQOWKJM-UHFFFAOYSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,-2.696803942579511,298.15
4592,O=c1cc(CO)occ1O,CCOCCO,BEJNERDRQOWKJM-UHFFFAOYSA-N,ZNQVEEAIQZEUHB-UHFFFAOYSA-N,-1.6322714539130234,298.15
4593,O=c1cc(CO)occ1O,CN(C)C=O,BEJNERDRQOWKJM-UHFFFAOYSA-N,ZMXDDKWLCZADIW-UHFFFAOYSA-N,-0.8706324042770144,298.15
4594,O=c1cc(CO)occ1O,CN1CCCC1=O,BEJNERDRQOWKJM-UHFFFAOYSA-N,SECXISVLQFMRJM-UHFFFAOYSA-N,-0.6963720236161103,298.15
4595,O=c1cc(CO)occ1O,CO,BEJNERDRQOWKJM-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,-1.9601894458516496,298.15
4596,O=c1cc(CO)occ1O,COCCO,BEJNERDRQOWKJM-UHFFFAOYSA-N,XNWFRZJHXBZDAG-UHFFFAOYSA-N,-1.4801720062242814,298.15
4597,O=c1cc(CO)occ1O,CS(C)=O,BEJNERDRQOWKJM-UHFFFAOYSA-N,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,-0.6039751033914068,298.15
