,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
254,CC(=O)Nc1ccccc1[N+](=O)[O-],C1CCCCC1,BUNFNRVLMKHKIT-UHFFFAOYSA-N,XDTMQSROBMDMFD-UHFFFAOYSA-N,-2.665546248849069,298.15
255,CC(=O)Nc1ccccc1[N+](=O)[O-],C1COCCO1,BUNFNRVLMKHKIT-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,-0.7827793443554812,298.15
256,CC(=O)Nc1ccccc1[N+](=O)[O-],CC#N,BUNFNRVLMKHKIT-UHFFFAOYSA-N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,-1.5195618528221828,298.15
257,CC(=O)Nc1ccccc1[N+](=O)[O-],CC(C)CO,BUNFNRVLMKHKIT-UHFFFAOYSA-N,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,-1.7899491501248628,298.15
258,CC(=O)Nc1ccccc1[N+](=O)[O-],CC(C)O,BUNFNRVLMKHKIT-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-1.8221750281353184,298.15
259,CC(=O)Nc1ccccc1[N+](=O)[O-],CCCCCCCO,BUNFNRVLMKHKIT-UHFFFAOYSA-N,BBMCTIGTTCKYKF-UHFFFAOYSA-N,-1.8907590314117968,298.15
260,CC(=O)Nc1ccccc1[N+](=O)[O-],CCCCO,BUNFNRVLMKHKIT-UHFFFAOYSA-N,LRHPLDYGYMQRHN-UHFFFAOYSA-N,-1.708187312532881,298.15
261,CC(=O)Nc1ccccc1[N+](=O)[O-],CCCO,BUNFNRVLMKHKIT-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-1.6111885865264763,298.15
262,CC(=O)Nc1ccccc1[N+](=O)[O-],CCO,BUNFNRVLMKHKIT-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-1.5597207867644118,298.15
263,CC(=O)Nc1ccccc1[N+](=O)[O-],CCOC(C)=O,BUNFNRVLMKHKIT-UHFFFAOYSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,-1.0270569918944317,298.15
264,CC(=O)Nc1ccccc1[N+](=O)[O-],CN(C)C=O,BUNFNRVLMKHKIT-UHFFFAOYSA-N,ZMXDDKWLCZADIW-UHFFFAOYSA-N,-0.6226937489318012,298.15
265,CC(=O)Nc1ccccc1[N+](=O)[O-],CN1CCCC1=O,BUNFNRVLMKHKIT-UHFFFAOYSA-N,SECXISVLQFMRJM-UHFFFAOYSA-N,-0.5246194068566388,298.15
266,CC(=O)Nc1ccccc1[N+](=O)[O-],CO,BUNFNRVLMKHKIT-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,-1.4801720062242814,298.15
267,CC(=O)Nc1ccccc1[N+](=O)[O-],OCCO,BUNFNRVLMKHKIT-UHFFFAOYSA-N,LYCAIKOWRPUZTN-UHFFFAOYSA-N,-2.0679830935657986,298.15
