,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
2779,NC(=O)c1cccnc1,CC(C)=O,DFPAKSUCGFBDDF-UHFFFAOYSA-N,CSCPPACGZOOCGX-UHFFFAOYSA-N,-1.7192395736737334,298.15
2780,NC(=O)c1cccnc1,CC(C)CO,DFPAKSUCGFBDDF-UHFFFAOYSA-N,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,-1.4619342453670032,298.15
2781,NC(=O)c1cccnc1,CC(C)O,DFPAKSUCGFBDDF-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-1.4847184185874702,298.15
2782,NC(=O)c1cccnc1,CCCCO,DFPAKSUCGFBDDF-UHFFFAOYSA-N,LRHPLDYGYMQRHN-UHFFFAOYSA-N,-1.4417895941047183,298.15
2783,NC(=O)c1cccnc1,CCCCOC(C)=O,DFPAKSUCGFBDDF-UHFFFAOYSA-N,DKPFZGUDAPQIHT-UHFFFAOYSA-N,-1.9695338653798735,298.15
2784,NC(=O)c1cccnc1,CCCO,DFPAKSUCGFBDDF-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-1.4229381116520443,298.15
2785,NC(=O)c1cccnc1,CCO,DFPAKSUCGFBDDF-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-1.3522152000007972,298.15
2786,NC(=O)c1cccnc1,CCOC(C)=O,DFPAKSUCGFBDDF-UHFFFAOYSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,-1.950437005368484,298.15
2787,NC(=O)c1cccnc1,CO,DFPAKSUCGFBDDF-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,-1.0575305991155202,298.15
2788,NC(=O)c1cccnc1,COC(C)=O,DFPAKSUCGFBDDF-UHFFFAOYSA-N,KXKVLQRXCPHEJC-UHFFFAOYSA-N,-1.8688081418056108,298.15
