,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
2183,Cc1ccc(N)c([N+](=O)[O-])c1,C1COCCO1,DLURHXYXQYMPLT-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,-1.1006361541504188,298.15
2184,Cc1ccc(N)c([N+](=O)[O-])c1,CC#N,DLURHXYXQYMPLT-UHFFFAOYSA-N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,-1.2226568196800958,298.15
2185,Cc1ccc(N)c([N+](=O)[O-])c1,CC(C)O,DLURHXYXQYMPLT-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-1.6806160479113756,298.15
2186,Cc1ccc(N)c([N+](=O)[O-])c1,CCC(C)=O,DLURHXYXQYMPLT-UHFFFAOYSA-N,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,-0.7187131920583036,298.15
2187,Cc1ccc(N)c([N+](=O)[O-])c1,CCCCO,DLURHXYXQYMPLT-UHFFFAOYSA-N,LRHPLDYGYMQRHN-UHFFFAOYSA-N,-1.598107218322052,298.15
2188,Cc1ccc(N)c([N+](=O)[O-])c1,CCCO,DLURHXYXQYMPLT-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-1.6600434441350298,298.15
2189,Cc1ccc(N)c([N+](=O)[O-])c1,CCO,DLURHXYXQYMPLT-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-1.7122888133934018,298.15
2190,Cc1ccc(N)c([N+](=O)[O-])c1,CCOC(C)=O,DLURHXYXQYMPLT-UHFFFAOYSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,-0.8927546916903424,298.15
2191,Cc1ccc(N)c([N+](=O)[O-])c1,CN(C)C=O,DLURHXYXQYMPLT-UHFFFAOYSA-N,ZMXDDKWLCZADIW-UHFFFAOYSA-N,-0.7666437255134791,298.15
2192,Cc1ccc(N)c([N+](=O)[O-])c1,CO,DLURHXYXQYMPLT-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,-1.773262769239918,298.15
2193,Cc1ccc(N)c([N+](=O)[O-])c1,Cc1ccccc1,DLURHXYXQYMPLT-UHFFFAOYSA-N,YXFVVABEGXRONW-UHFFFAOYSA-N,-1.5864569097000825,298.15
2194,Cc1ccc(N)c([N+](=O)[O-])c1,ClC(Cl)(Cl)Cl,DLURHXYXQYMPLT-UHFFFAOYSA-N,VZGDMQKNWNREIO-UHFFFAOYSA-N,-2.2609892036412242,298.15
2195,Cc1ccc(N)c([N+](=O)[O-])c1,ClCCCl,DLURHXYXQYMPLT-UHFFFAOYSA-N,WSLDOOZREJYCGB-UHFFFAOYSA-N,-1.2267450124114532,298.15
2196,Cc1ccc(N)c([N+](=O)[O-])c1,Clc1ccccc1,DLURHXYXQYMPLT-UHFFFAOYSA-N,MVPPADPHJFYWMZ-UHFFFAOYSA-N,-1.458160229884988,298.15
