,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
2293,Cc1cccc([N+](=O)[O-])c1N,C1CCCCC1,FCMRHMPITHLLLA-UHFFFAOYSA-N,XDTMQSROBMDMFD-UHFFFAOYSA-N,-2.6150282983061097,298.15
2294,Cc1cccc([N+](=O)[O-])c1N,C1COCCO1,FCMRHMPITHLLLA-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,-0.6039168129299214,298.15
2295,Cc1cccc([N+](=O)[O-])c1N,CC#N,FCMRHMPITHLLLA-UHFFFAOYSA-N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,-0.9732778905814548,298.15
2296,Cc1cccc([N+](=O)[O-])c1N,CC(C)=O,FCMRHMPITHLLLA-UHFFFAOYSA-N,CSCPPACGZOOCGX-UHFFFAOYSA-N,-0.6920260389582227,298.15
2297,Cc1cccc([N+](=O)[O-])c1N,CC(C)O,FCMRHMPITHLLLA-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-1.6933389978458007,298.15
2298,Cc1cccc([N+](=O)[O-])c1N,CCCO,FCMRHMPITHLLLA-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-1.6050524113303244,298.15
2299,Cc1cccc([N+](=O)[O-])c1N,CCO,FCMRHMPITHLLLA-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-1.6342040175740673,298.15
2300,Cc1cccc([N+](=O)[O-])c1N,CCOC(C)=O,FCMRHMPITHLLLA-UHFFFAOYSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,-0.7757133158732447,298.15
2301,Cc1cccc([N+](=O)[O-])c1N,CO,FCMRHMPITHLLLA-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,-1.7639345488357658,298.15
2302,Cc1cccc([N+](=O)[O-])c1N,Cc1ccccc1,FCMRHMPITHLLLA-UHFFFAOYSA-N,YXFVVABEGXRONW-UHFFFAOYSA-N,-1.2359462128433834,298.15
