,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
3985,O=C1NC(=O)C2C3C=CC(C3)C12,C1COCCO1,GPIUUMROPXDNRH-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,-1.3053684809863104,298.15
3986,O=C1NC(=O)C2C3C=CC(C3)C12,CC(=O)OC(C)C,GPIUUMROPXDNRH-UHFFFAOYSA-N,JMMWKPVZQRWMSS-UHFFFAOYSA-N,-2.044360346976748,298.15
3987,O=C1NC(=O)C2C3C=CC(C3)C12,CC(C)=O,GPIUUMROPXDNRH-UHFFFAOYSA-N,CSCPPACGZOOCGX-UHFFFAOYSA-N,-1.6481650565225583,298.15
3988,O=C1NC(=O)C2C3C=CC(C3)C12,CCCCOC(C)=O,GPIUUMROPXDNRH-UHFFFAOYSA-N,DKPFZGUDAPQIHT-UHFFFAOYSA-N,-2.0610801877552283,298.15
3989,O=C1NC(=O)C2C3C=CC(C3)C12,CCCOC(C)=O,GPIUUMROPXDNRH-UHFFFAOYSA-N,YKYONYBAUNKHLG-UHFFFAOYSA-N,-1.9741618357703,298.15
3990,O=C1NC(=O)C2C3C=CC(C3)C12,CCO,GPIUUMROPXDNRH-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-2.0228253239798124,298.15
3991,O=C1NC(=O)C2C3C=CC(C3)C12,CCOC(C)=O,GPIUUMROPXDNRH-UHFFFAOYSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,-1.8366000672131364,298.15
3992,O=C1NC(=O)C2C3C=CC(C3)C12,CCOCCO,GPIUUMROPXDNRH-UHFFFAOYSA-N,ZNQVEEAIQZEUHB-UHFFFAOYSA-N,-1.4731956561920891,298.15
3993,O=C1NC(=O)C2C3C=CC(C3)C12,CN(C)C=O,GPIUUMROPXDNRH-UHFFFAOYSA-N,ZMXDDKWLCZADIW-UHFFFAOYSA-N,-0.972189835796924,298.15
3994,O=C1NC(=O)C2C3C=CC(C3)C12,CO,GPIUUMROPXDNRH-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,-1.8966410601334367,298.15
3995,O=C1NC(=O)C2C3C=CC(C3)C12,COC(C)=O,GPIUUMROPXDNRH-UHFFFAOYSA-N,KXKVLQRXCPHEJC-UHFFFAOYSA-N,-1.6507807710061109,298.15
