,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
2928,N[C@H](Cc1c[nH]cn1)C(=O)O,C1CCCCC1,HNDVDQJCIGZPNO-RXMQYKEDSA-N,XDTMQSROBMDMFD-UHFFFAOYSA-N,-3.2479515521805613,298.15
2929,N[C@H](Cc1c[nH]cn1)C(=O)O,C1COCCO1,HNDVDQJCIGZPNO-RXMQYKEDSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,-2.0637376580965223,298.15
2930,N[C@H](Cc1c[nH]cn1)C(=O)O,CC(C)CO,HNDVDQJCIGZPNO-RXMQYKEDSA-N,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,-3.166789119717391,298.15
2931,N[C@H](Cc1c[nH]cn1)C(=O)O,CC(C)O,HNDVDQJCIGZPNO-RXMQYKEDSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-3.3274403722367243,298.15
2932,N[C@H](Cc1c[nH]cn1)C(=O)O,CCCCO,HNDVDQJCIGZPNO-RXMQYKEDSA-N,LRHPLDYGYMQRHN-UHFFFAOYSA-N,-3.0632350023900585,298.15
2933,N[C@H](Cc1c[nH]cn1)C(=O)O,CCCO,HNDVDQJCIGZPNO-RXMQYKEDSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-3.214456630043407,298.15
2934,N[C@H](Cc1c[nH]cn1)C(=O)O,CCO,HNDVDQJCIGZPNO-RXMQYKEDSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-3.482936126517345,298.15
2935,N[C@H](Cc1c[nH]cn1)C(=O)O,CN(C)C=O,HNDVDQJCIGZPNO-RXMQYKEDSA-N,ZMXDDKWLCZADIW-UHFFFAOYSA-N,-0.7549811292622469,298.15
2936,N[C@H](Cc1c[nH]cn1)C(=O)O,CN1CCCC1=O,HNDVDQJCIGZPNO-RXMQYKEDSA-N,SECXISVLQFMRJM-UHFFFAOYSA-N,-1.1236666709136198,298.15
2937,N[C@H](Cc1c[nH]cn1)C(=O)O,CO,HNDVDQJCIGZPNO-RXMQYKEDSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,-3.598254917762937,298.15
2938,N[C@H](Cc1c[nH]cn1)C(=O)O,CS(C)=O,HNDVDQJCIGZPNO-RXMQYKEDSA-N,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,-1.7009287399725903,298.15
2939,N[C@H](Cc1c[nH]cn1)C(=O)O,OCCO,HNDVDQJCIGZPNO-RXMQYKEDSA-N,LYCAIKOWRPUZTN-UHFFFAOYSA-N,-2.5797141150580822,298.15
