,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
1048,CC[C@@H](C(N)=O)N1CCCC1=O,C1CCCCC1,HPHUVLMMVZITSG-LURJTMIESA-N,XDTMQSROBMDMFD-UHFFFAOYSA-N,-4.439137305272535,298.15
1049,CC[C@@H](C(N)=O)N1CCCC1=O,C1COCCO1,HPHUVLMMVZITSG-LURJTMIESA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,-1.95233580539844,298.15
1050,CC[C@@H](C(N)=O)N1CCCC1=O,CC#N,HPHUVLMMVZITSG-LURJTMIESA-N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,-1.7754669373939145,298.15
1051,CC[C@@H](C(N)=O)N1CCCC1=O,CC(C)=O,HPHUVLMMVZITSG-LURJTMIESA-N,CSCPPACGZOOCGX-UHFFFAOYSA-N,-1.85294232897164,298.15
1052,CC[C@@H](C(N)=O)N1CCCC1=O,CC(C)O,HPHUVLMMVZITSG-LURJTMIESA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-1.6397853867046477,298.15
1053,CC[C@@H](C(N)=O)N1CCCC1=O,CCCO,HPHUVLMMVZITSG-LURJTMIESA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-1.519131076312832,298.15
1054,CC[C@@H](C(N)=O)N1CCCC1=O,CCO,HPHUVLMMVZITSG-LURJTMIESA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-1.191789027075778,298.15
1055,CC[C@@H](C(N)=O)N1CCCC1=O,CCOC(C)=O,HPHUVLMMVZITSG-LURJTMIESA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,-2.0718602931248804,298.15
1056,CC[C@@H](C(N)=O)N1CCCC1=O,CO,HPHUVLMMVZITSG-LURJTMIESA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,-0.8677403104689555,298.15
1057,CC[C@@H](C(N)=O)N1CCCC1=O,Cc1ccccc1,HPHUVLMMVZITSG-LURJTMIESA-N,YXFVVABEGXRONW-UHFFFAOYSA-N,-2.5236031732746698,298.15
