,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
4138,O=Cc1cc([N+](=O)[O-])ccc1O,C1COCCO1,IHFRMUGEILMHNU-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,-1.526367073126159,298.15
4139,O=Cc1cc([N+](=O)[O-])ccc1O,CC#N,IHFRMUGEILMHNU-UHFFFAOYSA-N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,-1.9244530386074687,298.15
4140,O=Cc1cc([N+](=O)[O-])ccc1O,CC(C)=O,IHFRMUGEILMHNU-UHFFFAOYSA-N,CSCPPACGZOOCGX-UHFFFAOYSA-N,-1.435807539373802,298.15
4141,O=Cc1cc([N+](=O)[O-])ccc1O,CC(C)O,IHFRMUGEILMHNU-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-2.508078287413849,298.15
4142,O=Cc1cc([N+](=O)[O-])ccc1O,CCCCO,IHFRMUGEILMHNU-UHFFFAOYSA-N,LRHPLDYGYMQRHN-UHFFFAOYSA-N,-2.692503962086787,298.15
4143,O=Cc1cc([N+](=O)[O-])ccc1O,CCCO,IHFRMUGEILMHNU-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-2.5595632338942265,298.15
4144,O=Cc1cc([N+](=O)[O-])ccc1O,CCO,IHFRMUGEILMHNU-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-2.356547323513813,298.15
4145,O=Cc1cc([N+](=O)[O-])ccc1O,CCOC(C)=O,IHFRMUGEILMHNU-UHFFFAOYSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,-1.599807511407424,298.15
4146,O=Cc1cc([N+](=O)[O-])ccc1O,CO,IHFRMUGEILMHNU-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,-2.215168821875531,298.15
4147,O=Cc1cc([N+](=O)[O-])ccc1O,Cc1ccccc1,IHFRMUGEILMHNU-UHFFFAOYSA-N,YXFVVABEGXRONW-UHFFFAOYSA-N,-1.7765040590376056,298.15
4148,O=Cc1cc([N+](=O)[O-])ccc1O,O=C1CCCCC1,IHFRMUGEILMHNU-UHFFFAOYSA-N,JHIVVAPYMSGYDF-UHFFFAOYSA-N,-1.7361273231347762,298.15
