,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
4278,O=P1(O)OCC2(CO1)COP(=O)(O)OC2,C1CCCCC1,JFNUMGDTFPLKIU-UHFFFAOYSA-N,XDTMQSROBMDMFD-UHFFFAOYSA-N,-3.758563208195623,295.665
4279,O=P1(O)OCC2(CO1)COP(=O)(O)OC2,C1COCCO1,JFNUMGDTFPLKIU-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,-3.5774509799928715,295.665
4280,O=P1(O)OCC2(CO1)COP(=O)(O)OC2,CC(=O)O,JFNUMGDTFPLKIU-UHFFFAOYSA-N,QTBSBXVTEAMEQO-UHFFFAOYSA-N,-3.7135641988997596,295.665
4281,O=P1(O)OCC2(CO1)COP(=O)(O)OC2,CC(C)=O,JFNUMGDTFPLKIU-UHFFFAOYSA-N,CSCPPACGZOOCGX-UHFFFAOYSA-N,-2.3770587549716318,298.65
4282,O=P1(O)OCC2(CO1)COP(=O)(O)OC2,CCC(C)=O,JFNUMGDTFPLKIU-UHFFFAOYSA-N,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,-3.1883753548010496,295.665
4283,O=P1(O)OCC2(CO1)COP(=O)(O)OC2,CCOC(C)=O,JFNUMGDTFPLKIU-UHFFFAOYSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,-3.0720587849819827,295.665
4284,O=P1(O)OCC2(CO1)COP(=O)(O)OC2,CCOCC,JFNUMGDTFPLKIU-UHFFFAOYSA-N,RTZKZFJDLAIYFH-UHFFFAOYSA-N,-3.077202953419988,297.17
4285,O=P1(O)OCC2(CO1)COP(=O)(O)OC2,Cc1ccccc1,JFNUMGDTFPLKIU-UHFFFAOYSA-N,YXFVVABEGXRONW-UHFFFAOYSA-N,-3.2831950783381414,295.665
4286,O=P1(O)OCC2(CO1)COP(=O)(O)OC2,ClC(Cl)Cl,JFNUMGDTFPLKIU-UHFFFAOYSA-N,HEDRZPFGACZZDS-UHFFFAOYSA-N,-3.3024242042477288,295.665
4287,O=P1(O)OCC2(CO1)COP(=O)(O)OC2,ClCCl,JFNUMGDTFPLKIU-UHFFFAOYSA-N,YMWUJEATGCHHMB-UHFFFAOYSA-N,-3.4633241488065494,297.17
4288,O=P1(O)OCC2(CO1)COP(=O)(O)OC2,c1ccccc1,JFNUMGDTFPLKIU-UHFFFAOYSA-N,UHOVQNZJYSORNB-UHFFFAOYSA-N,-3.464427354774459,295.665
