,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
4029,O=C1Nc2ccccc2C1=O,C1CCOC1,JXDYKVIHCLTXOP-UHFFFAOYSA-N,WYURNTSHIVDZCO-UHFFFAOYSA-N,-1.6124654379925172,299.15
4030,O=C1Nc2ccccc2C1=O,C1COCCO1,JXDYKVIHCLTXOP-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,-1.7252188773940935,298.15
4031,O=C1Nc2ccccc2C1=O,CC#N,JXDYKVIHCLTXOP-UHFFFAOYSA-N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,-2.1934449380956837,296.4
4032,O=C1Nc2ccccc2C1=O,CC(C)=O,JXDYKVIHCLTXOP-UHFFFAOYSA-N,CSCPPACGZOOCGX-UHFFFAOYSA-N,-1.8268161259815667,300.54999999999995
4033,O=C1Nc2ccccc2C1=O,CC(C)O,JXDYKVIHCLTXOP-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-2.377785977033705,298.15
4034,O=C1Nc2ccccc2C1=O,CC(O)CO,JXDYKVIHCLTXOP-UHFFFAOYSA-N,DNIAPMSPPWPWGF-UHFFFAOYSA-N,-2.171984935776023,298.15
4035,O=C1Nc2ccccc2C1=O,CCC(C)O,JXDYKVIHCLTXOP-UHFFFAOYSA-N,BTANRVKWQNVYAZ-UHFFFAOYSA-N,-2.2873502983727887,298.15
4036,O=C1Nc2ccccc2C1=O,CCO,JXDYKVIHCLTXOP-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-2.388276691992658,298.15
4037,O=C1Nc2ccccc2C1=O,CCOC(C)=O,JXDYKVIHCLTXOP-UHFFFAOYSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,-2.2707017789790394,296.5833333333333
4039,O=C1Nc2ccccc2C1=O,CN(C)C=O,JXDYKVIHCLTXOP-UHFFFAOYSA-N,ZMXDDKWLCZADIW-UHFFFAOYSA-N,-0.8324074609602599,295.7
4040,O=C1Nc2ccccc2C1=O,Cc1ccccc1,JXDYKVIHCLTXOP-UHFFFAOYSA-N,YXFVVABEGXRONW-UHFFFAOYSA-N,-3.1643728337901025,298.15
4041,O=C1Nc2ccccc2C1=O,ClCCl,JXDYKVIHCLTXOP-UHFFFAOYSA-N,YMWUJEATGCHHMB-UHFFFAOYSA-N,-2.8650427187109435,298.4
4042,O=C1Nc2ccccc2C1=O,OCCO,JXDYKVIHCLTXOP-UHFFFAOYSA-N,LYCAIKOWRPUZTN-UHFFFAOYSA-N,-2.122628654130226,298.15
