,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
2957,Nc1cc(Cl)ccc1C(=O)O,C1COCCO1,JYYLQSCZISREGY-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,-1.567245569107423,298.15
2958,Nc1cc(Cl)ccc1C(=O)O,CC#N,JYYLQSCZISREGY-UHFFFAOYSA-N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,-2.51860091361242,298.15
2959,Nc1cc(Cl)ccc1C(=O)O,CC(C)=O,JYYLQSCZISREGY-UHFFFAOYSA-N,CSCPPACGZOOCGX-UHFFFAOYSA-N,-1.5148749517075997,298.15
2960,Nc1cc(Cl)ccc1C(=O)O,CC(C)O,JYYLQSCZISREGY-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-1.7428809106498566,298.15
2961,Nc1cc(Cl)ccc1C(=O)O,CCCCO,JYYLQSCZISREGY-UHFFFAOYSA-N,LRHPLDYGYMQRHN-UHFFFAOYSA-N,-1.8048256036760693,298.15
2962,Nc1cc(Cl)ccc1C(=O)O,CCCO,JYYLQSCZISREGY-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-1.770181942802622,298.15
2963,Nc1cc(Cl)ccc1C(=O)O,CCO,JYYLQSCZISREGY-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-1.7200133716432229,298.15
2964,Nc1cc(Cl)ccc1C(=O)O,CCOC(C)=O,JYYLQSCZISREGY-UHFFFAOYSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,-1.619493363679623,298.15
2965,Nc1cc(Cl)ccc1C(=O)O,CCc1ccccc1,JYYLQSCZISREGY-UHFFFAOYSA-N,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,-3.485053609610659,298.15
2966,Nc1cc(Cl)ccc1C(=O)O,CN1CCCC1=O,JYYLQSCZISREGY-UHFFFAOYSA-N,SECXISVLQFMRJM-UHFFFAOYSA-N,-1.3325024474223914,298.15
2967,Nc1cc(Cl)ccc1C(=O)O,Cc1ccccc1,JYYLQSCZISREGY-UHFFFAOYSA-N,YXFVVABEGXRONW-UHFFFAOYSA-N,-3.4182517721979555,298.15
