,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
4629,OCC(O)COc1ccc(Cl)cc1,C1CCOC1,MXOAEAUPQDYUQM-UHFFFAOYSA-N,WYURNTSHIVDZCO-UHFFFAOYSA-N,-0.6179829574251317,298.15
4630,OCC(O)COc1ccc(Cl)cc1,C1COCCO1,MXOAEAUPQDYUQM-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,-0.7267671659569543,298.15
4631,OCC(O)COc1ccc(Cl)cc1,CC(C)=O,MXOAEAUPQDYUQM-UHFFFAOYSA-N,CSCPPACGZOOCGX-UHFFFAOYSA-N,-0.873219422987991,298.15
4632,OCC(O)COc1ccc(Cl)cc1,CC(C)CO,MXOAEAUPQDYUQM-UHFFFAOYSA-N,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,-1.3291050464797898,298.15
4633,OCC(O)COc1ccc(Cl)cc1,CCC(C)O,MXOAEAUPQDYUQM-UHFFFAOYSA-N,BTANRVKWQNVYAZ-UHFFFAOYSA-N,-1.161780778092374,298.15
4634,OCC(O)COc1ccc(Cl)cc1,CCCCO,MXOAEAUPQDYUQM-UHFFFAOYSA-N,LRHPLDYGYMQRHN-UHFFFAOYSA-N,-1.1625378285140051,298.15
4635,OCC(O)COc1ccc(Cl)cc1,CCCO,MXOAEAUPQDYUQM-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-1.111651989821951,298.15
4636,OCC(O)COc1ccc(Cl)cc1,CCCOC(C)=O,MXOAEAUPQDYUQM-UHFFFAOYSA-N,YKYONYBAUNKHLG-UHFFFAOYSA-N,-1.2536772349100471,298.15
4637,OCC(O)COc1ccc(Cl)cc1,CCO,MXOAEAUPQDYUQM-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-1.0348453540130746,298.15
4638,OCC(O)COc1ccc(Cl)cc1,CCOC(C)=O,MXOAEAUPQDYUQM-UHFFFAOYSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,-1.2040505010971967,298.15
4639,OCC(O)COc1ccc(Cl)cc1,CO,MXOAEAUPQDYUQM-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,-0.9333014495770048,298.15
4640,OCC(O)COc1ccc(Cl)cc1,COC(C)=O,MXOAEAUPQDYUQM-UHFFFAOYSA-N,KXKVLQRXCPHEJC-UHFFFAOYSA-N,-1.1504577479949831,298.15
