,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
2361,Cc1nc(N)nc(N)n1,C1COCCO1,NJYZCEFQAIUHSD-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,-3.04638525830936,298.15
2362,Cc1nc(N)nc(N)n1,CC#N,NJYZCEFQAIUHSD-UHFFFAOYSA-N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,-3.74521031260279,298.15
2363,Cc1nc(N)nc(N)n1,CC(C)CO,NJYZCEFQAIUHSD-UHFFFAOYSA-N,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,-3.178748568454059,298.15
2364,Cc1nc(N)nc(N)n1,CC(C)O,NJYZCEFQAIUHSD-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-3.328179439816751,298.15
2365,Cc1nc(N)nc(N)n1,CCCCO,NJYZCEFQAIUHSD-UHFFFAOYSA-N,LRHPLDYGYMQRHN-UHFFFAOYSA-N,-3.1167361404150262,298.15
2366,Cc1nc(N)nc(N)n1,CCCO,NJYZCEFQAIUHSD-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-3.267365032460804,298.15
2367,Cc1nc(N)nc(N)n1,CCO,NJYZCEFQAIUHSD-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-3.413300198375951,298.15
2368,Cc1nc(N)nc(N)n1,CCOC(C)=O,NJYZCEFQAIUHSD-UHFFFAOYSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,-2.9812995013337567,298.15
2369,Cc1nc(N)nc(N)n1,CN(C)C=O,NJYZCEFQAIUHSD-UHFFFAOYSA-N,ZMXDDKWLCZADIW-UHFFFAOYSA-N,-2.8224635000701377,298.15
2370,Cc1nc(N)nc(N)n1,CO,NJYZCEFQAIUHSD-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,-3.538651566352017,298.15
2371,Cc1nc(N)nc(N)n1,OCCO,NJYZCEFQAIUHSD-UHFFFAOYSA-N,LYCAIKOWRPUZTN-UHFFFAOYSA-N,-2.916139199133427,298.15
