,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
2568,Fc1c(I)c(F)c(I)c(F)c1I,C1CCOC1,NTAZOPPTLZSXQH-UHFFFAOYSA-N,WYURNTSHIVDZCO-UHFFFAOYSA-N,-2.2974826958553285,297.65
2569,Fc1c(I)c(F)c(I)c(F)c1I,C1COCCO1,NTAZOPPTLZSXQH-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,-3.4242200332268293,298.81666666666666
2570,Fc1c(I)c(F)c(I)c(F)c1I,CC#N,NTAZOPPTLZSXQH-UHFFFAOYSA-N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,-2.3551280645823933,298.70000000000005
2571,Fc1c(I)c(F)c(I)c(F)c1I,CC(C)=O,NTAZOPPTLZSXQH-UHFFFAOYSA-N,CSCPPACGZOOCGX-UHFFFAOYSA-N,-4.354787931973086,298.81666666666666
2572,Fc1c(I)c(F)c(I)c(F)c1I,CC(C)O,NTAZOPPTLZSXQH-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-2.484183203685186,298.9
2573,Fc1c(I)c(F)c(I)c(F)c1I,CCCCCC,NTAZOPPTLZSXQH-UHFFFAOYSA-N,VLKZOEOYAKHREP-UHFFFAOYSA-N,-2.163748571725578,296.20000000000005
2574,Fc1c(I)c(F)c(I)c(F)c1I,CCCO,NTAZOPPTLZSXQH-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-2.5257552507267444,298.85
2575,Fc1c(I)c(F)c(I)c(F)c1I,CCO,NTAZOPPTLZSXQH-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-3.0697225803688504,298.81666666666666
2576,Fc1c(I)c(F)c(I)c(F)c1I,CCOC(C)=O,NTAZOPPTLZSXQH-UHFFFAOYSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,-3.1311564951413184,298.81666666666666
2577,Fc1c(I)c(F)c(I)c(F)c1I,CO,NTAZOPPTLZSXQH-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,-4.300302698590315,298.81666666666666
2578,Fc1c(I)c(F)c(I)c(F)c1I,Cc1ccccc1,NTAZOPPTLZSXQH-UHFFFAOYSA-N,YXFVVABEGXRONW-UHFFFAOYSA-N,-3.5929952136540586,298.81666666666666
2579,Fc1c(I)c(F)c(I)c(F)c1I,ClCCCl,NTAZOPPTLZSXQH-UHFFFAOYSA-N,WSLDOOZREJYCGB-UHFFFAOYSA-N,-4.225217958845826,298.81666666666666
