,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
4604,O=c1nc[nH]c2[nH]ncc12,C1CCCCC1,OFCNXPDARWKPPY-UHFFFAOYSA-N,XDTMQSROBMDMFD-UHFFFAOYSA-N,-5.99225222199926,298.15
4605,O=c1nc[nH]c2[nH]ncc12,C1COCCO1,OFCNXPDARWKPPY-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,-4.241390857340257,298.15
4606,O=c1nc[nH]c2[nH]ncc12,CC#N,OFCNXPDARWKPPY-UHFFFAOYSA-N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,-3.691435586438761,298.15
4607,O=c1nc[nH]c2[nH]ncc12,CC(C)=O,OFCNXPDARWKPPY-UHFFFAOYSA-N,CSCPPACGZOOCGX-UHFFFAOYSA-N,-2.8563607647254567,298.15
4608,O=c1nc[nH]c2[nH]ncc12,CC(C)O,OFCNXPDARWKPPY-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-4.036212172654444,298.15
4609,O=c1nc[nH]c2[nH]ncc12,CCC(C)=O,OFCNXPDARWKPPY-UHFFFAOYSA-N,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,-2.782779344355481,298.15
4610,O=c1nc[nH]c2[nH]ncc12,CCCCCCCO,OFCNXPDARWKPPY-UHFFFAOYSA-N,BBMCTIGTTCKYKF-UHFFFAOYSA-N,-3.620694482249418,298.15
4611,O=c1nc[nH]c2[nH]ncc12,CCCCCCO,OFCNXPDARWKPPY-UHFFFAOYSA-N,ZSIAUFGUXNUGDI-UHFFFAOYSA-N,-3.751536282448968,298.15
4612,O=c1nc[nH]c2[nH]ncc12,CCCCO,OFCNXPDARWKPPY-UHFFFAOYSA-N,LRHPLDYGYMQRHN-UHFFFAOYSA-N,-3.821023052706831,298.15
4613,O=c1nc[nH]c2[nH]ncc12,CCCO,OFCNXPDARWKPPY-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-3.9427143555817854,298.15
4614,O=c1nc[nH]c2[nH]ncc12,CCO,OFCNXPDARWKPPY-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-4.155336471759761,298.15
4615,O=c1nc[nH]c2[nH]ncc12,CN(C)C=O,OFCNXPDARWKPPY-UHFFFAOYSA-N,ZMXDDKWLCZADIW-UHFFFAOYSA-N,-2.359617955290432,298.15
4616,O=c1nc[nH]c2[nH]ncc12,CN1CCCC1=O,OFCNXPDARWKPPY-UHFFFAOYSA-N,SECXISVLQFMRJM-UHFFFAOYSA-N,-1.6008456660417836,298.15
4617,O=c1nc[nH]c2[nH]ncc12,CO,OFCNXPDARWKPPY-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,-4.22373478173189,298.15
