,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
220,CC(=O)Nc1ccc(C(=O)O)cc1,C1COCCO1,QCXJEYYXVJIFCE-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,-2.46167766676856,298.15
221,CC(=O)Nc1ccc(C(=O)O)cc1,CC#N,QCXJEYYXVJIFCE-UHFFFAOYSA-N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,-3.288192770958809,298.15
222,CC(=O)Nc1ccc(C(=O)O)cc1,CC(=O)O,QCXJEYYXVJIFCE-UHFFFAOYSA-N,QTBSBXVTEAMEQO-UHFFFAOYSA-N,-2.313274378925458,298.15
223,CC(=O)Nc1ccc(C(=O)O)cc1,CC(C)=O,QCXJEYYXVJIFCE-UHFFFAOYSA-N,CSCPPACGZOOCGX-UHFFFAOYSA-N,-2.342944147142896,298.15
224,CC(=O)Nc1ccc(C(=O)O)cc1,CC(C)CO,QCXJEYYXVJIFCE-UHFFFAOYSA-N,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,-2.2209087961545007,298.15
225,CC(=O)Nc1ccc(C(=O)O)cc1,CC(C)O,QCXJEYYXVJIFCE-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-2.099086932262331,298.15
226,CC(=O)Nc1ccc(C(=O)O)cc1,CCC(C)O,QCXJEYYXVJIFCE-UHFFFAOYSA-N,BTANRVKWQNVYAZ-UHFFFAOYSA-N,-2.0992506419389203,298.15
227,CC(=O)Nc1ccc(C(=O)O)cc1,CCCCCO,QCXJEYYXVJIFCE-UHFFFAOYSA-N,AMQJEAYHLZJPGS-UHFFFAOYSA-N,-2.18111458540599,298.15
228,CC(=O)Nc1ccc(C(=O)O)cc1,CCCCO,QCXJEYYXVJIFCE-UHFFFAOYSA-N,LRHPLDYGYMQRHN-UHFFFAOYSA-N,-2.1411621485714147,298.15
229,CC(=O)Nc1ccc(C(=O)O)cc1,CCCO,QCXJEYYXVJIFCE-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-2.1548399223480543,298.15
230,CC(=O)Nc1ccc(C(=O)O)cc1,CCO,QCXJEYYXVJIFCE-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-2.0790422940445508,298.15
231,CC(=O)Nc1ccc(C(=O)O)cc1,CO,QCXJEYYXVJIFCE-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,-2.0759792995259323,298.15
