,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
2742,NC(=O)c1ccc(N)cc1,CC#N,QIKYZXDTTPVVAC-UHFFFAOYSA-N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,-2.601018933341869,298.15
2743,NC(=O)c1ccc(N)cc1,CC(C)=O,QIKYZXDTTPVVAC-UHFFFAOYSA-N,CSCPPACGZOOCGX-UHFFFAOYSA-N,-2.0195875383931083,298.15
2744,NC(=O)c1ccc(N)cc1,CC(C)CO,QIKYZXDTTPVVAC-UHFFFAOYSA-N,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,-2.5529971015338377,298.15
2745,NC(=O)c1ccc(N)cc1,CC(C)O,QIKYZXDTTPVVAC-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-2.3658251282374,298.15
2746,NC(=O)c1ccc(N)cc1,CCCCO,QIKYZXDTTPVVAC-UHFFFAOYSA-N,LRHPLDYGYMQRHN-UHFFFAOYSA-N,-2.504594436853807,298.15
2747,NC(=O)c1ccc(N)cc1,CCCCOC(C)=O,QIKYZXDTTPVVAC-UHFFFAOYSA-N,DKPFZGUDAPQIHT-UHFFFAOYSA-N,-2.917933065714887,298.15
2748,NC(=O)c1ccc(N)cc1,CCCO,QIKYZXDTTPVVAC-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-2.304168227173308,298.15
2749,NC(=O)c1ccc(N)cc1,CCO,QIKYZXDTTPVVAC-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-2.1095230910398293,298.15
2750,NC(=O)c1ccc(N)cc1,CCOC(C)=O,QIKYZXDTTPVVAC-UHFFFAOYSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,-3.073194689888394,298.15
2751,NC(=O)c1ccc(N)cc1,CO,QIKYZXDTTPVVAC-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,-1.7880789156914907,298.15
2752,NC(=O)c1ccc(N)cc1,COC(C)=O,QIKYZXDTTPVVAC-UHFFFAOYSA-N,KXKVLQRXCPHEJC-UHFFFAOYSA-N,-2.71331903064507,298.15
