,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
4431,O=[N+]([O-])c1ccc(O)c2ncccc12,CC#N,RJIWZDNTCBHXAL-UHFFFAOYSA-N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,-2.6312003646243785,298.15
4432,O=[N+]([O-])c1ccc(O)c2ncccc12,CC(=O)O,RJIWZDNTCBHXAL-UHFFFAOYSA-N,QTBSBXVTEAMEQO-UHFFFAOYSA-N,-2.381671972010103,298.15
4433,O=[N+]([O-])c1ccc(O)c2ncccc12,CC(C)=O,RJIWZDNTCBHXAL-UHFFFAOYSA-N,CSCPPACGZOOCGX-UHFFFAOYSA-N,-2.142971758952173,298.15
4434,O=[N+]([O-])c1ccc(O)c2ncccc12,CC(C)O,RJIWZDNTCBHXAL-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-2.970892850836696,298.15
4435,O=[N+]([O-])c1ccc(O)c2ncccc12,CCCCO,RJIWZDNTCBHXAL-UHFFFAOYSA-N,LRHPLDYGYMQRHN-UHFFFAOYSA-N,-2.8953299919614124,298.15
4436,O=[N+]([O-])c1ccc(O)c2ncccc12,CCCO,RJIWZDNTCBHXAL-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-2.9238727772541364,298.15
4437,O=[N+]([O-])c1ccc(O)c2ncccc12,CCO,RJIWZDNTCBHXAL-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-2.9295641065826747,298.15
4438,O=[N+]([O-])c1ccc(O)c2ncccc12,CCOC(C)=O,RJIWZDNTCBHXAL-UHFFFAOYSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,-2.177013562960531,298.15
4439,O=[N+]([O-])c1ccc(O)c2ncccc12,CO,RJIWZDNTCBHXAL-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,-3.0442646123427455,298.15
4440,O=[N+]([O-])c1ccc(O)c2ncccc12,Cc1ccccc1,RJIWZDNTCBHXAL-UHFFFAOYSA-N,YXFVVABEGXRONW-UHFFFAOYSA-N,-2.3532524314581713,298.15
