,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
2660,N#Cc1cccc([N+](=O)[O-])c1,C1CCCCC1,RUSAWEHOGCWOPG-UHFFFAOYSA-N,XDTMQSROBMDMFD-UHFFFAOYSA-N,-3.114808459393152,298.15
2661,N#Cc1cccc([N+](=O)[O-])c1,CC#N,RUSAWEHOGCWOPG-UHFFFAOYSA-N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,-1.0120657347678417,298.15
2662,N#Cc1cccc([N+](=O)[O-])c1,CC(=O)O,RUSAWEHOGCWOPG-UHFFFAOYSA-N,QTBSBXVTEAMEQO-UHFFFAOYSA-N,-1.3977229156998074,298.15
2663,N#Cc1cccc([N+](=O)[O-])c1,CC(C)=O,RUSAWEHOGCWOPG-UHFFFAOYSA-N,CSCPPACGZOOCGX-UHFFFAOYSA-N,-0.846185135655471,298.15
2664,N#Cc1cccc([N+](=O)[O-])c1,CC(C)CO,RUSAWEHOGCWOPG-UHFFFAOYSA-N,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,-2.3879582553547305,298.15
2665,N#Cc1cccc([N+](=O)[O-])c1,CC(C)O,RUSAWEHOGCWOPG-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-2.350470434052181,298.15
2666,N#Cc1cccc([N+](=O)[O-])c1,CCCCO,RUSAWEHOGCWOPG-UHFFFAOYSA-N,LRHPLDYGYMQRHN-UHFFFAOYSA-N,-2.2690563065722644,298.15
2667,N#Cc1cccc([N+](=O)[O-])c1,CCCO,RUSAWEHOGCWOPG-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-2.227898430722988,298.15
2668,N#Cc1cccc([N+](=O)[O-])c1,CCO,RUSAWEHOGCWOPG-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-2.145936988133579,298.15
2669,N#Cc1cccc([N+](=O)[O-])c1,CCOC(C)=O,RUSAWEHOGCWOPG-UHFFFAOYSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,-1.0575950591438932,298.15
2670,N#Cc1cccc([N+](=O)[O-])c1,CO,RUSAWEHOGCWOPG-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,-2.033482823553208,298.15
2671,N#Cc1cccc([N+](=O)[O-])c1,Cc1ccccc1,RUSAWEHOGCWOPG-UHFFFAOYSA-N,YXFVVABEGXRONW-UHFFFAOYSA-N,-1.2540668415405571,298.15
