,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
3870,O=C(c1ccccc1)c1ccccc1,CC#N,RWCCWEUUXYIKHB-UHFFFAOYSA-N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,-0.3236722661186798,298.15
3871,O=C(c1ccccc1)c1ccccc1,CC(C)=O,RWCCWEUUXYIKHB-UHFFFAOYSA-N,CSCPPACGZOOCGX-UHFFFAOYSA-N,-0.3090954459450333,298.15
3872,O=C(c1ccccc1)c1ccccc1,CC(C)CO,RWCCWEUUXYIKHB-UHFFFAOYSA-N,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,-0.5307672574933879,298.15
3873,O=C(c1ccccc1)c1ccccc1,CC(C)O,RWCCWEUUXYIKHB-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-0.6720283763769894,298.15
3874,O=C(c1ccccc1)c1ccccc1,CCCCCCCCO,RWCCWEUUXYIKHB-UHFFFAOYSA-N,KBPLFHHGFOOTCA-UHFFFAOYSA-N,-0.5162701009999763,298.15
3875,O=C(c1ccccc1)c1ccccc1,CCCCO,RWCCWEUUXYIKHB-UHFFFAOYSA-N,LRHPLDYGYMQRHN-UHFFFAOYSA-N,-0.5457651042517344,298.15
3876,O=C(c1ccccc1)c1ccccc1,CCCO,RWCCWEUUXYIKHB-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-0.660349842386316,298.15
3877,O=C(c1ccccc1)c1ccccc1,CCO,RWCCWEUUXYIKHB-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-0.8572977542623844,298.15
3878,O=C(c1ccccc1)c1ccccc1,CCOC(C)=O,RWCCWEUUXYIKHB-UHFFFAOYSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,-0.3422750457948918,298.15
3879,O=C(c1ccccc1)c1ccccc1,CO,RWCCWEUUXYIKHB-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,-1.0619809025237896,298.15
3880,O=C(c1ccccc1)c1ccccc1,COC(C)=O,RWCCWEUUXYIKHB-UHFFFAOYSA-N,KXKVLQRXCPHEJC-UHFFFAOYSA-N,-0.4066031576997932,298.15
