,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
3528,O=C(O)Cc1c[nH]c2ccccc12,C1COCCO1,SEOVTRFCIGRIMH-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,-4.62967199222049,298.15
3529,O=C(O)Cc1c[nH]c2ccccc12,CC#N,SEOVTRFCIGRIMH-UHFFFAOYSA-N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,-5.061580354206807,298.15
3530,O=C(O)Cc1c[nH]c2ccccc12,CC(C)=O,SEOVTRFCIGRIMH-UHFFFAOYSA-N,CSCPPACGZOOCGX-UHFFFAOYSA-N,-4.513003111568177,298.15
3531,O=C(O)Cc1c[nH]c2ccccc12,CC(C)O,SEOVTRFCIGRIMH-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-4.566230166075134,298.15
3532,O=C(O)Cc1c[nH]c2ccccc12,CCCCO,SEOVTRFCIGRIMH-UHFFFAOYSA-N,LRHPLDYGYMQRHN-UHFFFAOYSA-N,-4.469672210221914,298.15
3533,O=C(O)Cc1c[nH]c2ccccc12,CCCO,SEOVTRFCIGRIMH-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-4.714442690992226,298.15
3534,O=C(O)Cc1c[nH]c2ccccc12,CCO,SEOVTRFCIGRIMH-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-4.796423225022028,298.15
3535,O=C(O)Cc1c[nH]c2ccccc12,CCOC(C)=O,SEOVTRFCIGRIMH-UHFFFAOYSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,-4.364315237452778,298.15
3536,O=C(O)Cc1c[nH]c2ccccc12,CN(C)C=O,SEOVTRFCIGRIMH-UHFFFAOYSA-N,ZMXDDKWLCZADIW-UHFFFAOYSA-N,-4.435689090039397,298.15
3537,O=C(O)Cc1c[nH]c2ccccc12,CO,SEOVTRFCIGRIMH-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,-4.897223385116559,298.15
3538,O=C(O)Cc1c[nH]c2ccccc12,CS(C)=O,SEOVTRFCIGRIMH-UHFFFAOYSA-N,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,-4.403183064084409,298.15
3539,O=C(O)Cc1c[nH]c2ccccc12,ClC(Cl)Cl,SEOVTRFCIGRIMH-UHFFFAOYSA-N,HEDRZPFGACZZDS-UHFFFAOYSA-N,-5.457921853664375,298.15
