,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
2269,Cc1cccc(C(=O)O)c1N,C1CCCCC1,WNAJXPYVTFYEST-UHFFFAOYSA-N,XDTMQSROBMDMFD-UHFFFAOYSA-N,-3.691435586438761,298.15
2270,Cc1cccc(C(=O)O)c1N,C1COCCO1,WNAJXPYVTFYEST-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,-0.8972233851165586,298.15
2271,Cc1cccc(C(=O)O)c1N,CC#N,WNAJXPYVTFYEST-UHFFFAOYSA-N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,-1.335828294638069,298.15
2272,Cc1cccc(C(=O)O)c1N,CC(C)=O,WNAJXPYVTFYEST-UHFFFAOYSA-N,CSCPPACGZOOCGX-UHFFFAOYSA-N,-0.9566377219788704,298.15
2273,Cc1cccc(C(=O)O)c1N,CC(C)O,WNAJXPYVTFYEST-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-1.682563503464901,298.15
2274,Cc1cccc(C(=O)O)c1N,CCC(C)=O,WNAJXPYVTFYEST-UHFFFAOYSA-N,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,-1.0208159663255816,298.15
2275,Cc1cccc(C(=O)O)c1N,CCCCO,WNAJXPYVTFYEST-UHFFFAOYSA-N,LRHPLDYGYMQRHN-UHFFFAOYSA-N,-1.5949953349496306,298.15
2276,Cc1cccc(C(=O)O)c1N,CCCO,WNAJXPYVTFYEST-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-1.532687937019448,298.15
2277,Cc1cccc(C(=O)O)c1N,CCO,WNAJXPYVTFYEST-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-1.4780777551164996,298.15
2278,Cc1cccc(C(=O)O)c1N,CCOC(C)=O,WNAJXPYVTFYEST-UHFFFAOYSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,-1.267365032460804,298.15
2279,Cc1cccc(C(=O)O)c1N,CO,WNAJXPYVTFYEST-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,-1.4347426565797865,298.15
2280,Cc1cccc(C(=O)O)c1N,Cc1ccccc1,WNAJXPYVTFYEST-UHFFFAOYSA-N,YXFVVABEGXRONW-UHFFFAOYSA-N,-2.525346746637937,298.15
