,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
3732,O=C(O)c1cccc([N+](=O)[O-])c1O,C1COCCO1,WWWFHFGUOIQNJC-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,-1.4412914294668342,298.15
3733,O=C(O)c1cccc([N+](=O)[O-])c1O,CC#N,WWWFHFGUOIQNJC-UHFFFAOYSA-N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,-1.1966111750163866,298.15
3734,O=C(O)c1cccc([N+](=O)[O-])c1O,CC(C)CO,WWWFHFGUOIQNJC-UHFFFAOYSA-N,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,-1.3627104523218254,298.15
3735,O=C(O)c1cccc([N+](=O)[O-])c1O,CC(C)O,WWWFHFGUOIQNJC-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-1.227898430722988,298.15
3736,O=C(O)c1cccc([N+](=O)[O-])c1O,CCCCO,WWWFHFGUOIQNJC-UHFFFAOYSA-N,LRHPLDYGYMQRHN-UHFFFAOYSA-N,-1.262330372643358,298.15
3737,O=C(O)c1cccc([N+](=O)[O-])c1O,CCCO,WWWFHFGUOIQNJC-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-1.168962514359975,298.15
3738,O=C(O)c1cccc([N+](=O)[O-])c1O,CCO,WWWFHFGUOIQNJC-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-1.1435732275297557,298.15
3739,O=C(O)c1cccc([N+](=O)[O-])c1O,CCOC(C)=O,WWWFHFGUOIQNJC-UHFFFAOYSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,-1.095663207797505,298.15
3740,O=C(O)c1cccc([N+](=O)[O-])c1O,CN(C)C=O,WWWFHFGUOIQNJC-UHFFFAOYSA-N,ZMXDDKWLCZADIW-UHFFFAOYSA-N,-0.9597933724252888,298.15
3741,O=C(O)c1cccc([N+](=O)[O-])c1O,CN1CCCC1=O,WWWFHFGUOIQNJC-UHFFFAOYSA-N,SECXISVLQFMRJM-UHFFFAOYSA-N,-0.7780644001719947,298.15
3742,O=C(O)c1cccc([N+](=O)[O-])c1O,CO,WWWFHFGUOIQNJC-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,-1.1181020264269887,298.15
3743,O=C(O)c1cccc([N+](=O)[O-])c1O,OCCO,WWWFHFGUOIQNJC-UHFFFAOYSA-N,LYCAIKOWRPUZTN-UHFFFAOYSA-N,-1.300943145452332,298.15
