Solubility Prediction,Solvent_smiles,Molecule_smiles,Solvent_InChIKey,Molecule_InChIKey
-2.8596411942024096,CCCCCO,C1=C(OC=C(C1=O)O)CO,AMQJEAYHLZJPGS-UHFFFAOYSA-N,BEJNERDRQOWKJM-UHFFFAOYSA-N
-2.6601052045005296,CCCCCCCO,C1=C(OC=C(C1=O)O)CO,BBMCTIGTTCKYKF-UHFFFAOYSA-N,BEJNERDRQOWKJM-UHFFFAOYSA-N
-2.716082778011414,CCCO,C1=C(OC=C(C1=O)O)CO,BDERNNFJNOPAEC-UHFFFAOYSA-N,BEJNERDRQOWKJM-UHFFFAOYSA-N
-2.898488454755096,CCC(C)O,C1=C(OC=C(C1=O)O)CO,BTANRVKWQNVYAZ-UHFFFAOYSA-N,BEJNERDRQOWKJM-UHFFFAOYSA-N
-3.159924814461562,COC(C)(C)C,C1=C(OC=C(C1=O)O)CO,BZLVMXJERCGZMT-UHFFFAOYSA-N,BEJNERDRQOWKJM-UHFFFAOYSA-N
-2.930452539359838,CC(C)=O,C1=C(OC=C(C1=O)O)CO,CSCPPACGZOOCGX-UHFFFAOYSA-N,BEJNERDRQOWKJM-UHFFFAOYSA-N
-3.344140716690176,CCCCOC(C)=O,C1=C(OC=C(C1=O)O)CO,DKPFZGUDAPQIHT-UHFFFAOYSA-N,BEJNERDRQOWKJM-UHFFFAOYSA-N
-2.930844946573722,CC(O)CO,C1=C(OC=C(C1=O)O)CO,DNIAPMSPPWPWGF-UHFFFAOYSA-N,BEJNERDRQOWKJM-UHFFFAOYSA-N
-2.5721521869703015,CC(=O)N(C)C,C1=C(OC=C(C1=O)O)CO,FXHOOIRPVKKKFG-UHFFFAOYSA-N,BEJNERDRQOWKJM-UHFFFAOYSA-N
-3.6735356568720023,ClC(Cl)Cl,C1=C(OC=C(C1=O)O)CO,HEDRZPFGACZZDS-UHFFFAOYSA-N,BEJNERDRQOWKJM-UHFFFAOYSA-N
-2.2033693809246433,CS(C)=O,C1=C(OC=C(C1=O)O)CO,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,BEJNERDRQOWKJM-UHFFFAOYSA-N
-3.390082148851181,CCCCCCC,C1=C(OC=C(C1=O)O)CO,IMNFDUFMRHMDMM-UHFFFAOYSA-N,BEJNERDRQOWKJM-UHFFFAOYSA-N
-2.8058133307929816,O=C1CCCCC1,C1=C(OC=C(C1=O)O)CO,JHIVVAPYMSGYDF-UHFFFAOYSA-N,BEJNERDRQOWKJM-UHFFFAOYSA-N
-3.131897893076342,CC(=O)OC(C)C,C1=C(OC=C(C1=O)O)CO,JMMWKPVZQRWMSS-UHFFFAOYSA-N,BEJNERDRQOWKJM-UHFFFAOYSA-N
-2.6584359815738283,CCCCCCCCO,C1=C(OC=C(C1=O)O)CO,KBPLFHHGFOOTCA-UHFFFAOYSA-N,BEJNERDRQOWKJM-UHFFFAOYSA-N
-2.802718066989352,CC(C)O,C1=C(OC=C(C1=O)O)CO,KFZMGEQAYNKOFK-UHFFFAOYSA-N,BEJNERDRQOWKJM-UHFFFAOYSA-N
-2.9210968263677834,COC(C)=O,C1=C(OC=C(C1=O)O)CO,KXKVLQRXCPHEJC-UHFFFAOYSA-N,BEJNERDRQOWKJM-UHFFFAOYSA-N
-2.5227645011144224,CCO,C1=C(OC=C(C1=O)O)CO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,BEJNERDRQOWKJM-UHFFFAOYSA-N
-2.84908419555133,CCCCO,C1=C(OC=C(C1=O)O)CO,LRHPLDYGYMQRHN-UHFFFAOYSA-N,BEJNERDRQOWKJM-UHFFFAOYSA-N
-2.5631398805981385,OCCO,C1=C(OC=C(C1=O)O)CO,LYCAIKOWRPUZTN-UHFFFAOYSA-N,BEJNERDRQOWKJM-UHFFFAOYSA-N
-3.098206435400204,Clc1ccccc1,C1=C(OC=C(C1=O)O)CO,MVPPADPHJFYWMZ-UHFFFAOYSA-N,BEJNERDRQOWKJM-UHFFFAOYSA-N
-2.3033888189704355,CO,C1=C(OC=C(C1=O)O)CO,OKKJLVBELUTLKV-UHFFFAOYSA-N,BEJNERDRQOWKJM-UHFFFAOYSA-N
