Solubility Prediction,Solvent_smiles,Molecule_smiles,Solvent_InChIKey,Molecule_InChIKey
-2.231066130877521,CCCCCO,CC(=O)NC1=CC=CC=C1[N+](=O)[O-],AMQJEAYHLZJPGS-UHFFFAOYSA-N,BUNFNRVLMKHKIT-UHFFFAOYSA-N
-2.1172645611038035,CCCCCCCO,CC(=O)NC1=CC=CC=C1[N+](=O)[O-],BBMCTIGTTCKYKF-UHFFFAOYSA-N,BUNFNRVLMKHKIT-UHFFFAOYSA-N
-2.2335577012305396,CCCO,CC(=O)NC1=CC=CC=C1[N+](=O)[O-],BDERNNFJNOPAEC-UHFFFAOYSA-N,BUNFNRVLMKHKIT-UHFFFAOYSA-N
-2.301515640517601,CCC(C)O,CC(=O)NC1=CC=CC=C1[N+](=O)[O-],BTANRVKWQNVYAZ-UHFFFAOYSA-N,BUNFNRVLMKHKIT-UHFFFAOYSA-N
-2.398197856206125,COC(C)(C)C,CC(=O)NC1=CC=CC=C1[N+](=O)[O-],BZLVMXJERCGZMT-UHFFFAOYSA-N,BUNFNRVLMKHKIT-UHFFFAOYSA-N
-2.1124593005971346,CC(C)=O,CC(=O)NC1=CC=CC=C1[N+](=O)[O-],CSCPPACGZOOCGX-UHFFFAOYSA-N,BUNFNRVLMKHKIT-UHFFFAOYSA-N
-2.302574701316946,CCCCOC(C)=O,CC(=O)NC1=CC=CC=C1[N+](=O)[O-],DKPFZGUDAPQIHT-UHFFFAOYSA-N,BUNFNRVLMKHKIT-UHFFFAOYSA-N
-2.269641008757072,CC(O)CO,CC(=O)NC1=CC=CC=C1[N+](=O)[O-],DNIAPMSPPWPWGF-UHFFFAOYSA-N,BUNFNRVLMKHKIT-UHFFFAOYSA-N
-1.6749764838301782,CC(=O)N(C)C,CC(=O)NC1=CC=CC=C1[N+](=O)[O-],FXHOOIRPVKKKFG-UHFFFAOYSA-N,BUNFNRVLMKHKIT-UHFFFAOYSA-N
-2.3377040576753547,ClC(Cl)Cl,CC(=O)NC1=CC=CC=C1[N+](=O)[O-],HEDRZPFGACZZDS-UHFFFAOYSA-N,BUNFNRVLMKHKIT-UHFFFAOYSA-N
-1.6353831758605393,CS(C)=O,CC(=O)NC1=CC=CC=C1[N+](=O)[O-],IAZDPXIOMUYVGZ-UHFFFAOYSA-N,BUNFNRVLMKHKIT-UHFFFAOYSA-N
