Solubility Prediction,Solvent_smiles,Molecule_smiles,Solvent_InChIKey,Molecule_InChIKey
-2.057113110082363,CCCCCO,C1=CC(=CN=C1)C(=O)N,AMQJEAYHLZJPGS-UHFFFAOYSA-N,DFPAKSUCGFBDDF-UHFFFAOYSA-N
-2.004474066876332,CCCCCCCO,C1=CC(=CN=C1)C(=O)N,BBMCTIGTTCKYKF-UHFFFAOYSA-N,DFPAKSUCGFBDDF-UHFFFAOYSA-N
-1.916651280915715,CCCO,C1=CC(=CN=C1)C(=O)N,BDERNNFJNOPAEC-UHFFFAOYSA-N,DFPAKSUCGFBDDF-UHFFFAOYSA-N
-2.195872241652134,CCC(C)O,C1=CC(=CN=C1)C(=O)N,BTANRVKWQNVYAZ-UHFFFAOYSA-N,DFPAKSUCGFBDDF-UHFFFAOYSA-N
-2.2636089464711167,COC(C)(C)C,C1=CC(=CN=C1)C(=O)N,BZLVMXJERCGZMT-UHFFFAOYSA-N,DFPAKSUCGFBDDF-UHFFFAOYSA-N
-1.6410691286846943,CC(C)=O,C1=CC(=CN=C1)C(=O)N,CSCPPACGZOOCGX-UHFFFAOYSA-N,DFPAKSUCGFBDDF-UHFFFAOYSA-N
-2.1408174123137083,CCCCOC(C)=O,C1=CC(=CN=C1)C(=O)N,DKPFZGUDAPQIHT-UHFFFAOYSA-N,DFPAKSUCGFBDDF-UHFFFAOYSA-N
-1.9930924463335717,CC(O)CO,C1=CC(=CN=C1)C(=O)N,DNIAPMSPPWPWGF-UHFFFAOYSA-N,DFPAKSUCGFBDDF-UHFFFAOYSA-N
-1.507086844522844,CC(=O)N(C)C,C1=CC(=CN=C1)C(=O)N,FXHOOIRPVKKKFG-UHFFFAOYSA-N,DFPAKSUCGFBDDF-UHFFFAOYSA-N
-2.1779932226348797,ClC(Cl)Cl,C1=CC(=CN=C1)C(=O)N,HEDRZPFGACZZDS-UHFFFAOYSA-N,DFPAKSUCGFBDDF-UHFFFAOYSA-N
-1.4509169712782353,CS(C)=O,C1=CC(=CN=C1)C(=O)N,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,DFPAKSUCGFBDDF-UHFFFAOYSA-N
-3.364390954105664,CCCCCCC,C1=CC(=CN=C1)C(=O)N,IMNFDUFMRHMDMM-UHFFFAOYSA-N,DFPAKSUCGFBDDF-UHFFFAOYSA-N
-1.6546589382090313,O=C1CCCCC1,C1=CC(=CN=C1)C(=O)N,JHIVVAPYMSGYDF-UHFFFAOYSA-N,DFPAKSUCGFBDDF-UHFFFAOYSA-N
-2.1737351316369673,CC(=O)OC(C)C,C1=CC(=CN=C1)C(=O)N,JMMWKPVZQRWMSS-UHFFFAOYSA-N,DFPAKSUCGFBDDF-UHFFFAOYSA-N
-1.789574030049614,CCCCCCCCO,C1=CC(=CN=C1)C(=O)N,KBPLFHHGFOOTCA-UHFFFAOYSA-N,DFPAKSUCGFBDDF-UHFFFAOYSA-N
-1.9609173087701786,CC(C)O,C1=CC(=CN=C1)C(=O)N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,DFPAKSUCGFBDDF-UHFFFAOYSA-N
-1.9084055083266611,COC(C)=O,C1=CC(=CN=C1)C(=O)N,KXKVLQRXCPHEJC-UHFFFAOYSA-N,DFPAKSUCGFBDDF-UHFFFAOYSA-N
