Solubility Prediction,Solvent_smiles,Molecule_smiles,Solvent_InChIKey,Molecule_InChIKey
-1.7686309659002444,CCCCCO,CC1=CC(=C(C=C1)N)[N+](=O)[O-],AMQJEAYHLZJPGS-UHFFFAOYSA-N,DLURHXYXQYMPLT-UHFFFAOYSA-N
-1.8530528643525492,CCCCCCCO,CC1=CC(=C(C=C1)N)[N+](=O)[O-],BBMCTIGTTCKYKF-UHFFFAOYSA-N,DLURHXYXQYMPLT-UHFFFAOYSA-N
-1.7009412554813805,CCCO,CC1=CC(=C(C=C1)N)[N+](=O)[O-],BDERNNFJNOPAEC-UHFFFAOYSA-N,DLURHXYXQYMPLT-UHFFFAOYSA-N
-1.7671469253553143,CCC(C)O,CC1=CC(=C(C=C1)N)[N+](=O)[O-],BTANRVKWQNVYAZ-UHFFFAOYSA-N,DLURHXYXQYMPLT-UHFFFAOYSA-N
-1.8579661968779946,COC(C)(C)C,CC1=CC(=C(C=C1)N)[N+](=O)[O-],BZLVMXJERCGZMT-UHFFFAOYSA-N,DLURHXYXQYMPLT-UHFFFAOYSA-N
-1.3951302060627222,CC(C)=O,CC1=CC(=C(C=C1)N)[N+](=O)[O-],CSCPPACGZOOCGX-UHFFFAOYSA-N,DLURHXYXQYMPLT-UHFFFAOYSA-N
-1.8980512732868156,CCCCOC(C)=O,CC1=CC(=C(C=C1)N)[N+](=O)[O-],DKPFZGUDAPQIHT-UHFFFAOYSA-N,DLURHXYXQYMPLT-UHFFFAOYSA-N
-1.771792200072616,CC(O)CO,CC1=CC(=C(C=C1)N)[N+](=O)[O-],DNIAPMSPPWPWGF-UHFFFAOYSA-N,DLURHXYXQYMPLT-UHFFFAOYSA-N
-1.0530932595444973,CC(=O)N(C)C,CC1=CC(=C(C=C1)N)[N+](=O)[O-],FXHOOIRPVKKKFG-UHFFFAOYSA-N,DLURHXYXQYMPLT-UHFFFAOYSA-N
-1.8137227917160559,ClC(Cl)Cl,CC1=CC(=C(C=C1)N)[N+](=O)[O-],HEDRZPFGACZZDS-UHFFFAOYSA-N,DLURHXYXQYMPLT-UHFFFAOYSA-N
-0.972263685336514,CS(C)=O,CC1=CC(=C(C=C1)N)[N+](=O)[O-],IAZDPXIOMUYVGZ-UHFFFAOYSA-N,DLURHXYXQYMPLT-UHFFFAOYSA-N
-3.1634119789122206,CCCCCCC,CC1=CC(=C(C=C1)N)[N+](=O)[O-],IMNFDUFMRHMDMM-UHFFFAOYSA-N,DLURHXYXQYMPLT-UHFFFAOYSA-N
-1.3802298165437157,O=C1CCCCC1,CC1=CC(=C(C=C1)N)[N+](=O)[O-],JHIVVAPYMSGYDF-UHFFFAOYSA-N,DLURHXYXQYMPLT-UHFFFAOYSA-N
-1.802051865786068,CC(=O)OC(C)C,CC1=CC(=C(C=C1)N)[N+](=O)[O-],JMMWKPVZQRWMSS-UHFFFAOYSA-N,DLURHXYXQYMPLT-UHFFFAOYSA-N
-1.8422653273901144,CCCCCCCCO,CC1=CC(=C(C=C1)N)[N+](=O)[O-],KBPLFHHGFOOTCA-UHFFFAOYSA-N,DLURHXYXQYMPLT-UHFFFAOYSA-N
-1.8256462481694171,CC(C)O,CC1=CC(=C(C=C1)N)[N+](=O)[O-],KFZMGEQAYNKOFK-UHFFFAOYSA-N,DLURHXYXQYMPLT-UHFFFAOYSA-N
-1.573591638768825,COC(C)=O,CC1=CC(=C(C=C1)N)[N+](=O)[O-],KXKVLQRXCPHEJC-UHFFFAOYSA-N,DLURHXYXQYMPLT-UHFFFAOYSA-N
