Solubility Prediction,Solvent_smiles,Molecule_smiles,Solvent_InChIKey,Molecule_InChIKey
-1.7095833694408613,CCCCCO,CC1=C(C(=CC=C1)[N+](=O)[O-])N,AMQJEAYHLZJPGS-UHFFFAOYSA-N,FCMRHMPITHLLLA-UHFFFAOYSA-N
-1.715010328658586,CCCCCCCO,CC1=C(C(=CC=C1)[N+](=O)[O-])N,BBMCTIGTTCKYKF-UHFFFAOYSA-N,FCMRHMPITHLLLA-UHFFFAOYSA-N
-1.6421708101021293,CCCO,CC1=C(C(=CC=C1)[N+](=O)[O-])N,BDERNNFJNOPAEC-UHFFFAOYSA-N,FCMRHMPITHLLLA-UHFFFAOYSA-N
-1.8821129660143388,CCC(C)O,CC1=C(C(=CC=C1)[N+](=O)[O-])N,BTANRVKWQNVYAZ-UHFFFAOYSA-N,FCMRHMPITHLLLA-UHFFFAOYSA-N
-1.9419791319726194,COC(C)(C)C,CC1=C(C(=CC=C1)[N+](=O)[O-])N,BZLVMXJERCGZMT-UHFFFAOYSA-N,FCMRHMPITHLLLA-UHFFFAOYSA-N
-1.4256314244904975,CC(C)=O,CC1=C(C(=CC=C1)[N+](=O)[O-])N,CSCPPACGZOOCGX-UHFFFAOYSA-N,FCMRHMPITHLLLA-UHFFFAOYSA-N
-1.7182273608401286,CCCCOC(C)=O,CC1=C(C(=CC=C1)[N+](=O)[O-])N,DKPFZGUDAPQIHT-UHFFFAOYSA-N,FCMRHMPITHLLLA-UHFFFAOYSA-N
-1.7468969657096185,CC(O)CO,CC1=C(C(=CC=C1)[N+](=O)[O-])N,DNIAPMSPPWPWGF-UHFFFAOYSA-N,FCMRHMPITHLLLA-UHFFFAOYSA-N
-1.243420499401971,CC(=O)N(C)C,CC1=C(C(=CC=C1)[N+](=O)[O-])N,FXHOOIRPVKKKFG-UHFFFAOYSA-N,FCMRHMPITHLLLA-UHFFFAOYSA-N
-1.8018183449487148,ClC(Cl)Cl,CC1=C(C(=CC=C1)[N+](=O)[O-])N,HEDRZPFGACZZDS-UHFFFAOYSA-N,FCMRHMPITHLLLA-UHFFFAOYSA-N
-1.220276137244072,CS(C)=O,CC1=C(C(=CC=C1)[N+](=O)[O-])N,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,FCMRHMPITHLLLA-UHFFFAOYSA-N
-3.073107035815035,CCCCCCC,CC1=C(C(=CC=C1)[N+](=O)[O-])N,IMNFDUFMRHMDMM-UHFFFAOYSA-N,FCMRHMPITHLLLA-UHFFFAOYSA-N
-1.4182730058927233,O=C1CCCCC1,CC1=C(C(=CC=C1)[N+](=O)[O-])N,JHIVVAPYMSGYDF-UHFFFAOYSA-N,FCMRHMPITHLLLA-UHFFFAOYSA-N
-1.6131065150754071,CC(=O)OC(C)C,CC1=C(C(=CC=C1)[N+](=O)[O-])N,JMMWKPVZQRWMSS-UHFFFAOYSA-N,FCMRHMPITHLLLA-UHFFFAOYSA-N
-1.6408285071102464,CCCCCCCCO,CC1=C(C(=CC=C1)[N+](=O)[O-])N,KBPLFHHGFOOTCA-UHFFFAOYSA-N,FCMRHMPITHLLLA-UHFFFAOYSA-N
-1.7436411149552413,CC(C)O,CC1=C(C(=CC=C1)[N+](=O)[O-])N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,FCMRHMPITHLLLA-UHFFFAOYSA-N
-1.45556784198119,COC(C)=O,CC1=C(C(=CC=C1)[N+](=O)[O-])N,KXKVLQRXCPHEJC-UHFFFAOYSA-N,FCMRHMPITHLLLA-UHFFFAOYSA-N
-1.6384901233253903,CCO,CC1=C(C(=CC=C1)[N+](=O)[O-])N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,FCMRHMPITHLLLA-UHFFFAOYSA-N
