Solubility Prediction,Solvent_smiles,Molecule_smiles,Solvent_InChIKey,Molecule_InChIKey
-1.4840963813464498,CCCCCO,C1=CC(=C(C(=C1)O)O)C(=O)O,AMQJEAYHLZJPGS-UHFFFAOYSA-N,GLDQAMYCGOIJDV-UHFFFAOYSA-N
-1.458081515113515,CCCCCCCO,C1=CC(=C(C(=C1)O)O)C(=O)O,BBMCTIGTTCKYKF-UHFFFAOYSA-N,GLDQAMYCGOIJDV-UHFFFAOYSA-N
-1.4585034473581635,CCCO,C1=CC(=C(C(=C1)O)O)C(=O)O,BDERNNFJNOPAEC-UHFFFAOYSA-N,GLDQAMYCGOIJDV-UHFFFAOYSA-N
-1.481641259886039,CCC(C)O,C1=CC(=C(C(=C1)O)O)C(=O)O,BTANRVKWQNVYAZ-UHFFFAOYSA-N,GLDQAMYCGOIJDV-UHFFFAOYSA-N
-1.8194045010154487,COC(C)(C)C,C1=CC(=C(C(=C1)O)O)C(=O)O,BZLVMXJERCGZMT-UHFFFAOYSA-N,GLDQAMYCGOIJDV-UHFFFAOYSA-N
-1.6194080644331585,CC(C)=O,C1=CC(=C(C(=C1)O)O)C(=O)O,CSCPPACGZOOCGX-UHFFFAOYSA-N,GLDQAMYCGOIJDV-UHFFFAOYSA-N
-2.086234600995061,CCCCOC(C)=O,C1=CC(=C(C(=C1)O)O)C(=O)O,DKPFZGUDAPQIHT-UHFFFAOYSA-N,GLDQAMYCGOIJDV-UHFFFAOYSA-N
-1.650692613823512,CC(O)CO,C1=CC(=C(C(=C1)O)O)C(=O)O,DNIAPMSPPWPWGF-UHFFFAOYSA-N,GLDQAMYCGOIJDV-UHFFFAOYSA-N
-1.1407735940614054,CC(=O)N(C)C,C1=CC(=C(C(=C1)O)O)C(=O)O,FXHOOIRPVKKKFG-UHFFFAOYSA-N,GLDQAMYCGOIJDV-UHFFFAOYSA-N
-2.383883977743232,ClC(Cl)Cl,C1=CC(=C(C(=C1)O)O)C(=O)O,HEDRZPFGACZZDS-UHFFFAOYSA-N,GLDQAMYCGOIJDV-UHFFFAOYSA-N
-1.05445709558164,CS(C)=O,C1=CC(=C(C(=C1)O)O)C(=O)O,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,GLDQAMYCGOIJDV-UHFFFAOYSA-N
-2.937255555832376,CCCCCCC,C1=CC(=C(C(=C1)O)O)C(=O)O,IMNFDUFMRHMDMM-UHFFFAOYSA-N,GLDQAMYCGOIJDV-UHFFFAOYSA-N
-1.2576907579872743,O=C1CCCCC1,C1=CC(=C(C(=C1)O)O)C(=O)O,JHIVVAPYMSGYDF-UHFFFAOYSA-N,GLDQAMYCGOIJDV-UHFFFAOYSA-N
-1.9607985991616217,CC(=O)OC(C)C,C1=CC(=C(C(=C1)O)O)C(=O)O,JMMWKPVZQRWMSS-UHFFFAOYSA-N,GLDQAMYCGOIJDV-UHFFFAOYSA-N
-1.6448576855608195,CCCCCCCCO,C1=CC(=C(C(=C1)O)O)C(=O)O,KBPLFHHGFOOTCA-UHFFFAOYSA-N,GLDQAMYCGOIJDV-UHFFFAOYSA-N
-1.2969883999936214,CC(C)O,C1=CC(=C(C(=C1)O)O)C(=O)O,KFZMGEQAYNKOFK-UHFFFAOYSA-N,GLDQAMYCGOIJDV-UHFFFAOYSA-N
-1.8708386480800736,COC(C)=O,C1=CC(=C(C(=C1)O)O)C(=O)O,KXKVLQRXCPHEJC-UHFFFAOYSA-N,GLDQAMYCGOIJDV-UHFFFAOYSA-N
-1.218916585955564,CCO,C1=CC(=C(C(=C1)O)O)C(=O)O,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,GLDQAMYCGOIJDV-UHFFFAOYSA-N
-1.3466196083156148,CCCCO,C1=CC(=C(C(=C1)O)O)C(=O)O,LRHPLDYGYMQRHN-UHFFFAOYSA-N,GLDQAMYCGOIJDV-UHFFFAOYSA-N
-1.3014871124887668,OCCO,C1=CC(=C(C(=C1)O)O)C(=O)O,LYCAIKOWRPUZTN-UHFFFAOYSA-N,GLDQAMYCGOIJDV-UHFFFAOYSA-N
-1.9282444147470479,Clc1ccccc1,C1=CC(=C(C(=C1)O)O)C(=O)O,MVPPADPHJFYWMZ-UHFFFAOYSA-N,GLDQAMYCGOIJDV-UHFFFAOYSA-N
-1.2673670764864777,CO,C1=CC(=C(C(=C1)O)O)C(=O)O,OKKJLVBELUTLKV-UHFFFAOYSA-N,GLDQAMYCGOIJDV-UHFFFAOYSA-N
-1.4594413573679124,CC(C)CCO,C1=CC(=C(C(=C1)O)O)C(=O)O,PHTQWCKDNZKARW-UHFFFAOYSA-N,GLDQAMYCGOIJDV-UHFFFAOYSA-N
-1.4670040367369819,CC(=O)O,C1=CC(=C(C(=C1)O)O)C(=O)O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,GLDQAMYCGOIJDV-UHFFFAOYSA-N
-1.5773363597915584,CCOCC,C1=CC(=C(C(=C1)O)O)C(=O)O,RTZKZFJDLAIYFH-UHFFFAOYSA-N,GLDQAMYCGOIJDV-UHFFFAOYSA-N
-1.9528951194316717,C1COCCO1,C1=CC(=C(C(=C1)O)O)C(=O)O,RYHBNJHYFVUHQT-UHFFFAOYSA-N,GLDQAMYCGOIJDV-UHFFFAOYSA-N
-1.2963693063004473,CN1CCCC1=O,C1=CC(=C(C(=C1)O)O)C(=O)O,SECXISVLQFMRJM-UHFFFAOYSA-N,GLDQAMYCGOIJDV-UHFFFAOYSA-N
-2.3012766862741922,c1ccccc1,C1=CC(=C(C(=C1)O)O)C(=O)O,UHOVQNZJYSORNB-UHFFFAOYSA-N,GLDQAMYCGOIJDV-UHFFFAOYSA-N
