Solubility Prediction,Solvent_smiles,Molecule_smiles,Solvent_InChIKey,Molecule_InChIKey
-2.020456584678462,CCCCCO,C1C2C=CC1C3C2C(=O)NC3=O,AMQJEAYHLZJPGS-UHFFFAOYSA-N,GPIUUMROPXDNRH-UHFFFAOYSA-N
-2.0720376967046388,CCCCCCCO,C1C2C=CC1C3C2C(=O)NC3=O,BBMCTIGTTCKYKF-UHFFFAOYSA-N,GPIUUMROPXDNRH-UHFFFAOYSA-N
-1.9496361602936132,CCCO,C1C2C=CC1C3C2C(=O)NC3=O,BDERNNFJNOPAEC-UHFFFAOYSA-N,GPIUUMROPXDNRH-UHFFFAOYSA-N
-2.0601301570001596,CCC(C)O,C1C2C=CC1C3C2C(=O)NC3=O,BTANRVKWQNVYAZ-UHFFFAOYSA-N,GPIUUMROPXDNRH-UHFFFAOYSA-N
-2.1176893933374,COC(C)(C)C,C1C2C=CC1C3C2C(=O)NC3=O,BZLVMXJERCGZMT-UHFFFAOYSA-N,GPIUUMROPXDNRH-UHFFFAOYSA-N
-1.7438731223663855,CC(C)=O,C1C2C=CC1C3C2C(=O)NC3=O,CSCPPACGZOOCGX-UHFFFAOYSA-N,GPIUUMROPXDNRH-UHFFFAOYSA-N
-2.2825582679271554,CCCCOC(C)=O,C1C2C=CC1C3C2C(=O)NC3=O,DKPFZGUDAPQIHT-UHFFFAOYSA-N,GPIUUMROPXDNRH-UHFFFAOYSA-N
-1.880945076935405,CC(O)CO,C1C2C=CC1C3C2C(=O)NC3=O,DNIAPMSPPWPWGF-UHFFFAOYSA-N,GPIUUMROPXDNRH-UHFFFAOYSA-N
-1.5192588066549484,CC(=O)N(C)C,C1C2C=CC1C3C2C(=O)NC3=O,FXHOOIRPVKKKFG-UHFFFAOYSA-N,GPIUUMROPXDNRH-UHFFFAOYSA-N
-2.4430654339111464,ClC(Cl)Cl,C1C2C=CC1C3C2C(=O)NC3=O,HEDRZPFGACZZDS-UHFFFAOYSA-N,GPIUUMROPXDNRH-UHFFFAOYSA-N
-1.4791122217582298,CS(C)=O,C1C2C=CC1C3C2C(=O)NC3=O,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,GPIUUMROPXDNRH-UHFFFAOYSA-N
-3.0175958123579596,CCCCCCC,C1C2C=CC1C3C2C(=O)NC3=O,IMNFDUFMRHMDMM-UHFFFAOYSA-N,GPIUUMROPXDNRH-UHFFFAOYSA-N
-1.8337910282903045,O=C1CCCCC1,C1C2C=CC1C3C2C(=O)NC3=O,JHIVVAPYMSGYDF-UHFFFAOYSA-N,GPIUUMROPXDNRH-UHFFFAOYSA-N
-2.193674287751895,CC(=O)OC(C)C,C1C2C=CC1C3C2C(=O)NC3=O,JMMWKPVZQRWMSS-UHFFFAOYSA-N,GPIUUMROPXDNRH-UHFFFAOYSA-N
-2.1854698082076043,CCCCCCCCO,C1C2C=CC1C3C2C(=O)NC3=O,KBPLFHHGFOOTCA-UHFFFAOYSA-N,GPIUUMROPXDNRH-UHFFFAOYSA-N
-1.9655404764051556,CC(C)O,C1C2C=CC1C3C2C(=O)NC3=O,KFZMGEQAYNKOFK-UHFFFAOYSA-N,GPIUUMROPXDNRH-UHFFFAOYSA-N
-1.908979954891182,COC(C)=O,C1C2C=CC1C3C2C(=O)NC3=O,KXKVLQRXCPHEJC-UHFFFAOYSA-N,GPIUUMROPXDNRH-UHFFFAOYSA-N
-1.8884895600971732,CCO,C1C2C=CC1C3C2C(=O)NC3=O,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,GPIUUMROPXDNRH-UHFFFAOYSA-N
-1.9919065242079927,CCCCO,C1C2C=CC1C3C2C(=O)NC3=O,LRHPLDYGYMQRHN-UHFFFAOYSA-N,GPIUUMROPXDNRH-UHFFFAOYSA-N
-2.0063792151826507,OCCO,C1C2C=CC1C3C2C(=O)NC3=O,LYCAIKOWRPUZTN-UHFFFAOYSA-N,GPIUUMROPXDNRH-UHFFFAOYSA-N
-2.4222741862044073,Clc1ccccc1,C1C2C=CC1C3C2C(=O)NC3=O,MVPPADPHJFYWMZ-UHFFFAOYSA-N,GPIUUMROPXDNRH-UHFFFAOYSA-N
-1.7161462424735265,CO,C1C2C=CC1C3C2C(=O)NC3=O,OKKJLVBELUTLKV-UHFFFAOYSA-N,GPIUUMROPXDNRH-UHFFFAOYSA-N
-2.0620294166099784,CC(C)CCO,C1C2C=CC1C3C2C(=O)NC3=O,PHTQWCKDNZKARW-UHFFFAOYSA-N,GPIUUMROPXDNRH-UHFFFAOYSA-N
-1.8202387488557998,CC(=O)O,C1C2C=CC1C3C2C(=O)NC3=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,GPIUUMROPXDNRH-UHFFFAOYSA-N
-2.0860947485151637,CCOCC,C1C2C=CC1C3C2C(=O)NC3=O,RTZKZFJDLAIYFH-UHFFFAOYSA-N,GPIUUMROPXDNRH-UHFFFAOYSA-N
-2.073920851442097,C1COCCO1,C1C2C=CC1C3C2C(=O)NC3=O,RYHBNJHYFVUHQT-UHFFFAOYSA-N,GPIUUMROPXDNRH-UHFFFAOYSA-N
-1.487379220039215,CN1CCCC1=O,C1C2C=CC1C3C2C(=O)NC3=O,SECXISVLQFMRJM-UHFFFAOYSA-N,GPIUUMROPXDNRH-UHFFFAOYSA-N
-2.4048407979711808,c1ccccc1,C1C2C=CC1C3C2C(=O)NC3=O,UHOVQNZJYSORNB-UHFFFAOYSA-N,GPIUUMROPXDNRH-UHFFFAOYSA-N
-3.201830268233609,CCCCCC,C1C2C=CC1C3C2C(=O)NC3=O,VLKZOEOYAKHREP-UHFFFAOYSA-N,GPIUUMROPXDNRH-UHFFFAOYSA-N
-2.997492860743612,ClC(Cl)(Cl)Cl,C1C2C=CC1C3C2C(=O)NC3=O,VZGDMQKNWNREIO-UHFFFAOYSA-N,GPIUUMROPXDNRH-UHFFFAOYSA-N
-2.0907697688340865,CCOC=O,C1C2C=CC1C3C2C(=O)NC3=O,WBJINCZRORDGAQ-UHFFFAOYSA-N,GPIUUMROPXDNRH-UHFFFAOYSA-N
