Solubility Prediction,Solvent_smiles,Molecule_smiles,Solvent_InChIKey,Molecule_InChIKey
-2.603679305946921,CCCCCO,C1=C(NC=N1)C[C@H](C(=O)O)N,AMQJEAYHLZJPGS-UHFFFAOYSA-N,HNDVDQJCIGZPNO-RXMQYKEDSA-N
-2.469891305284172,CCCCCCCO,C1=C(NC=N1)C[C@H](C(=O)O)N,BBMCTIGTTCKYKF-UHFFFAOYSA-N,HNDVDQJCIGZPNO-RXMQYKEDSA-N
-2.303086810003932,CCCO,C1=C(NC=N1)C[C@H](C(=O)O)N,BDERNNFJNOPAEC-UHFFFAOYSA-N,HNDVDQJCIGZPNO-RXMQYKEDSA-N
-2.518922637753174,CCC(C)O,C1=C(NC=N1)C[C@H](C(=O)O)N,BTANRVKWQNVYAZ-UHFFFAOYSA-N,HNDVDQJCIGZPNO-RXMQYKEDSA-N
-2.546638093653607,COC(C)(C)C,C1=C(NC=N1)C[C@H](C(=O)O)N,BZLVMXJERCGZMT-UHFFFAOYSA-N,HNDVDQJCIGZPNO-RXMQYKEDSA-N
-2.446917077361592,CC(C)=O,C1=C(NC=N1)C[C@H](C(=O)O)N,CSCPPACGZOOCGX-UHFFFAOYSA-N,HNDVDQJCIGZPNO-RXMQYKEDSA-N
-2.8145111521914483,CCCCOC(C)=O,C1=C(NC=N1)C[C@H](C(=O)O)N,DKPFZGUDAPQIHT-UHFFFAOYSA-N,HNDVDQJCIGZPNO-RXMQYKEDSA-N
-2.1552795338488435,CC(O)CO,C1=C(NC=N1)C[C@H](C(=O)O)N,DNIAPMSPPWPWGF-UHFFFAOYSA-N,HNDVDQJCIGZPNO-RXMQYKEDSA-N
-1.428657655300108,CC(=O)N(C)C,C1=C(NC=N1)C[C@H](C(=O)O)N,FXHOOIRPVKKKFG-UHFFFAOYSA-N,HNDVDQJCIGZPNO-RXMQYKEDSA-N
-2.8909236014539967,ClC(Cl)Cl,C1=C(NC=N1)C[C@H](C(=O)O)N,HEDRZPFGACZZDS-UHFFFAOYSA-N,HNDVDQJCIGZPNO-RXMQYKEDSA-N
-1.5563856963966258,CS(C)=O,C1=C(NC=N1)C[C@H](C(=O)O)N,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,HNDVDQJCIGZPNO-RXMQYKEDSA-N
-3.2045593365924807,CCCCCCC,C1=C(NC=N1)C[C@H](C(=O)O)N,IMNFDUFMRHMDMM-UHFFFAOYSA-N,HNDVDQJCIGZPNO-RXMQYKEDSA-N
