Solubility Prediction,Solvent_smiles,Molecule_smiles,Solvent_InChIKey,Molecule_InChIKey
-2.497420272599269,CCCCCO,CC[C@@H](C(=O)N)N1CCCC1=O,AMQJEAYHLZJPGS-UHFFFAOYSA-N,HPHUVLMMVZITSG-LURJTMIESA-N
-2.4046325181681785,CCCCCCCO,CC[C@@H](C(=O)N)N1CCCC1=O,BBMCTIGTTCKYKF-UHFFFAOYSA-N,HPHUVLMMVZITSG-LURJTMIESA-N
-2.4254466266892427,CCCO,CC[C@@H](C(=O)N)N1CCCC1=O,BDERNNFJNOPAEC-UHFFFAOYSA-N,HPHUVLMMVZITSG-LURJTMIESA-N
-2.467304676619635,CCC(C)O,CC[C@@H](C(=O)N)N1CCCC1=O,BTANRVKWQNVYAZ-UHFFFAOYSA-N,HPHUVLMMVZITSG-LURJTMIESA-N
-2.64281140837114,COC(C)(C)C,CC[C@@H](C(=O)N)N1CCCC1=O,BZLVMXJERCGZMT-UHFFFAOYSA-N,HPHUVLMMVZITSG-LURJTMIESA-N
-2.3310825450758546,CC(C)=O,CC[C@@H](C(=O)N)N1CCCC1=O,CSCPPACGZOOCGX-UHFFFAOYSA-N,HPHUVLMMVZITSG-LURJTMIESA-N
-2.698763093653146,CCCCOC(C)=O,CC[C@@H](C(=O)N)N1CCCC1=O,DKPFZGUDAPQIHT-UHFFFAOYSA-N,HPHUVLMMVZITSG-LURJTMIESA-N
-2.3740484108061297,CC(O)CO,CC[C@@H](C(=O)N)N1CCCC1=O,DNIAPMSPPWPWGF-UHFFFAOYSA-N,HPHUVLMMVZITSG-LURJTMIESA-N
-1.6029937774249845,CC(=O)N(C)C,CC[C@@H](C(=O)N)N1CCCC1=O,FXHOOIRPVKKKFG-UHFFFAOYSA-N,HPHUVLMMVZITSG-LURJTMIESA-N
-2.965699635837317,ClC(Cl)Cl,CC[C@@H](C(=O)N)N1CCCC1=O,HEDRZPFGACZZDS-UHFFFAOYSA-N,HPHUVLMMVZITSG-LURJTMIESA-N
-1.6795094960029648,CS(C)=O,CC[C@@H](C(=O)N)N1CCCC1=O,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,HPHUVLMMVZITSG-LURJTMIESA-N
-3.202554022388789,CCCCCCC,CC[C@@H](C(=O)N)N1CCCC1=O,IMNFDUFMRHMDMM-UHFFFAOYSA-N,HPHUVLMMVZITSG-LURJTMIESA-N
-2.0997590801531896,O=C1CCCCC1,CC[C@@H](C(=O)N)N1CCCC1=O,JHIVVAPYMSGYDF-UHFFFAOYSA-N,HPHUVLMMVZITSG-LURJTMIESA-N
