Solubility Prediction,Solvent_smiles,Molecule_smiles,Solvent_InChIKey,Molecule_InChIKey
-2.2491668945703935,CCCCCO,C1=CC(=C(C=C1[N+](=O)[O-])C=O)O,AMQJEAYHLZJPGS-UHFFFAOYSA-N,IHFRMUGEILMHNU-UHFFFAOYSA-N
-2.215336852809521,CCCCCCCO,C1=CC(=C(C=C1[N+](=O)[O-])C=O)O,BBMCTIGTTCKYKF-UHFFFAOYSA-N,IHFRMUGEILMHNU-UHFFFAOYSA-N
-2.3191187578473342,CCCO,C1=CC(=C(C=C1[N+](=O)[O-])C=O)O,BDERNNFJNOPAEC-UHFFFAOYSA-N,IHFRMUGEILMHNU-UHFFFAOYSA-N
-2.437143618914372,CCC(C)O,C1=CC(=C(C=C1[N+](=O)[O-])C=O)O,BTANRVKWQNVYAZ-UHFFFAOYSA-N,IHFRMUGEILMHNU-UHFFFAOYSA-N
-2.454434019790983,COC(C)(C)C,C1=CC(=C(C=C1[N+](=O)[O-])C=O)O,BZLVMXJERCGZMT-UHFFFAOYSA-N,IHFRMUGEILMHNU-UHFFFAOYSA-N
-2.0805756634483226,CC(C)=O,C1=CC(=C(C=C1[N+](=O)[O-])C=O)O,CSCPPACGZOOCGX-UHFFFAOYSA-N,IHFRMUGEILMHNU-UHFFFAOYSA-N
-2.1639163531599195,CCCCOC(C)=O,C1=CC(=C(C=C1[N+](=O)[O-])C=O)O,DKPFZGUDAPQIHT-UHFFFAOYSA-N,IHFRMUGEILMHNU-UHFFFAOYSA-N
-2.1674563231345636,CC(O)CO,C1=CC(=C(C=C1[N+](=O)[O-])C=O)O,DNIAPMSPPWPWGF-UHFFFAOYSA-N,IHFRMUGEILMHNU-UHFFFAOYSA-N
-1.61928417929464,CC(=O)N(C)C,C1=CC(=C(C=C1[N+](=O)[O-])C=O)O,FXHOOIRPVKKKFG-UHFFFAOYSA-N,IHFRMUGEILMHNU-UHFFFAOYSA-N
-2.568562501488911,ClC(Cl)Cl,C1=CC(=C(C=C1[N+](=O)[O-])C=O)O,HEDRZPFGACZZDS-UHFFFAOYSA-N,IHFRMUGEILMHNU-UHFFFAOYSA-N
-1.490586729608483,CS(C)=O,C1=CC(=C(C=C1[N+](=O)[O-])C=O)O,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,IHFRMUGEILMHNU-UHFFFAOYSA-N
-3.6205136672665703,CCCCCCC,C1=CC(=C(C=C1[N+](=O)[O-])C=O)O,IMNFDUFMRHMDMM-UHFFFAOYSA-N,IHFRMUGEILMHNU-UHFFFAOYSA-N
-1.505454118919379,O=C1CCCCC1,C1=CC(=C(C=C1[N+](=O)[O-])C=O)O,JHIVVAPYMSGYDF-UHFFFAOYSA-N,IHFRMUGEILMHNU-UHFFFAOYSA-N
-2.159662835589234,CC(=O)OC(C)C,C1=CC(=C(C=C1[N+](=O)[O-])C=O)O,JMMWKPVZQRWMSS-UHFFFAOYSA-N,IHFRMUGEILMHNU-UHFFFAOYSA-N
-2.4048195822233747,CCCCCCCCO,C1=CC(=C(C=C1[N+](=O)[O-])C=O)O,KBPLFHHGFOOTCA-UHFFFAOYSA-N,IHFRMUGEILMHNU-UHFFFAOYSA-N
-2.3183235109954285,CC(C)O,C1=CC(=C(C=C1[N+](=O)[O-])C=O)O,KFZMGEQAYNKOFK-UHFFFAOYSA-N,IHFRMUGEILMHNU-UHFFFAOYSA-N
-1.980290132584265,COC(C)=O,C1=CC(=C(C=C1[N+](=O)[O-])C=O)O,KXKVLQRXCPHEJC-UHFFFAOYSA-N,IHFRMUGEILMHNU-UHFFFAOYSA-N
-2.1892309422329825,CCO,C1=CC(=C(C=C1[N+](=O)[O-])C=O)O,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,IHFRMUGEILMHNU-UHFFFAOYSA-N
-2.2809384241113517,CCCCO,C1=CC(=C(C=C1[N+](=O)[O-])C=O)O,LRHPLDYGYMQRHN-UHFFFAOYSA-N,IHFRMUGEILMHNU-UHFFFAOYSA-N
-2.008874036963139,OCCO,C1=CC(=C(C=C1[N+](=O)[O-])C=O)O,LYCAIKOWRPUZTN-UHFFFAOYSA-N,IHFRMUGEILMHNU-UHFFFAOYSA-N
-2.6045355184475785,Clc1ccccc1,C1=CC(=C(C=C1[N+](=O)[O-])C=O)O,MVPPADPHJFYWMZ-UHFFFAOYSA-N,IHFRMUGEILMHNU-UHFFFAOYSA-N
-1.867123922753188,CO,C1=CC(=C(C=C1[N+](=O)[O-])C=O)O,OKKJLVBELUTLKV-UHFFFAOYSA-N,IHFRMUGEILMHNU-UHFFFAOYSA-N
-2.3339803987200054,CC(C)CCO,C1=CC(=C(C=C1[N+](=O)[O-])C=O)O,PHTQWCKDNZKARW-UHFFFAOYSA-N,IHFRMUGEILMHNU-UHFFFAOYSA-N
-1.8743835437075678,CC(=O)O,C1=CC(=C(C=C1[N+](=O)[O-])C=O)O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,IHFRMUGEILMHNU-UHFFFAOYSA-N
