Solubility Prediction,Solvent_smiles,Molecule_smiles,Solvent_InChIKey,Molecule_InChIKey
-2.5643815783235597,CCCCCO,C1C2(COP(=O)(O1)O)COP(=O)(OC2)O,AMQJEAYHLZJPGS-UHFFFAOYSA-N,JFNUMGDTFPLKIU-UHFFFAOYSA-N
-2.338618398752839,CCCCCCCO,C1C2(COP(=O)(O1)O)COP(=O)(OC2)O,BBMCTIGTTCKYKF-UHFFFAOYSA-N,JFNUMGDTFPLKIU-UHFFFAOYSA-N
-2.5329447517757404,CCCO,C1C2(COP(=O)(O1)O)COP(=O)(OC2)O,BDERNNFJNOPAEC-UHFFFAOYSA-N,JFNUMGDTFPLKIU-UHFFFAOYSA-N
-2.292442855634204,CCC(C)O,C1C2(COP(=O)(O1)O)COP(=O)(OC2)O,BTANRVKWQNVYAZ-UHFFFAOYSA-N,JFNUMGDTFPLKIU-UHFFFAOYSA-N
-2.3055254545976225,COC(C)(C)C,C1C2(COP(=O)(O1)O)COP(=O)(OC2)O,BZLVMXJERCGZMT-UHFFFAOYSA-N,JFNUMGDTFPLKIU-UHFFFAOYSA-N
-2.4914378746122074,CC(C)=O,C1C2(COP(=O)(O1)O)COP(=O)(OC2)O,CSCPPACGZOOCGX-UHFFFAOYSA-N,JFNUMGDTFPLKIU-UHFFFAOYSA-N
-2.5737839792876827,CCCCOC(C)=O,C1C2(COP(=O)(O1)O)COP(=O)(OC2)O,DKPFZGUDAPQIHT-UHFFFAOYSA-N,JFNUMGDTFPLKIU-UHFFFAOYSA-N
-2.8877302370241957,CC(O)CO,C1C2(COP(=O)(O1)O)COP(=O)(OC2)O,DNIAPMSPPWPWGF-UHFFFAOYSA-N,JFNUMGDTFPLKIU-UHFFFAOYSA-N
-1.6791999598719896,CC(=O)N(C)C,C1C2(COP(=O)(O1)O)COP(=O)(OC2)O,FXHOOIRPVKKKFG-UHFFFAOYSA-N,JFNUMGDTFPLKIU-UHFFFAOYSA-N
-2.831457326751348,ClC(Cl)Cl,C1C2(COP(=O)(O1)O)COP(=O)(OC2)O,HEDRZPFGACZZDS-UHFFFAOYSA-N,JFNUMGDTFPLKIU-UHFFFAOYSA-N
-1.7367954308403006,CS(C)=O,C1C2(COP(=O)(O1)O)COP(=O)(OC2)O,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,JFNUMGDTFPLKIU-UHFFFAOYSA-N
-3.2878021611496164,CCCCCCC,C1C2(COP(=O)(O1)O)COP(=O)(OC2)O,IMNFDUFMRHMDMM-UHFFFAOYSA-N,JFNUMGDTFPLKIU-UHFFFAOYSA-N
-1.6490733045411574,O=C1CCCCC1,C1C2(COP(=O)(O1)O)COP(=O)(OC2)O,JHIVVAPYMSGYDF-UHFFFAOYSA-N,JFNUMGDTFPLKIU-UHFFFAOYSA-N
-2.669688618984932,CC(=O)OC(C)C,C1C2(COP(=O)(O1)O)COP(=O)(OC2)O,JMMWKPVZQRWMSS-UHFFFAOYSA-N,JFNUMGDTFPLKIU-UHFFFAOYSA-N
-2.236926058048112,CCCCCCCCO,C1C2(COP(=O)(O1)O)COP(=O)(OC2)O,KBPLFHHGFOOTCA-UHFFFAOYSA-N,JFNUMGDTFPLKIU-UHFFFAOYSA-N
-2.475033908039176,CC(C)O,C1C2(COP(=O)(O1)O)COP(=O)(OC2)O,KFZMGEQAYNKOFK-UHFFFAOYSA-N,JFNUMGDTFPLKIU-UHFFFAOYSA-N
-2.8147738178450896,COC(C)=O,C1C2(COP(=O)(O1)O)COP(=O)(OC2)O,KXKVLQRXCPHEJC-UHFFFAOYSA-N,JFNUMGDTFPLKIU-UHFFFAOYSA-N
