Solubility Prediction,Solvent_smiles,Molecule_smiles,Solvent_InChIKey,Molecule_InChIKey
-2.131859720198328,CCCCCO,C1=CC=C2C(=C1)C(=O)C(=O)N2,AMQJEAYHLZJPGS-UHFFFAOYSA-N,JXDYKVIHCLTXOP-UHFFFAOYSA-N
-2.0471246413150173,CCCCCCCO,C1=CC=C2C(=C1)C(=O)C(=O)N2,BBMCTIGTTCKYKF-UHFFFAOYSA-N,JXDYKVIHCLTXOP-UHFFFAOYSA-N
-1.9446834230827288,CCCO,C1=CC=C2C(=C1)C(=O)C(=O)N2,BDERNNFJNOPAEC-UHFFFAOYSA-N,JXDYKVIHCLTXOP-UHFFFAOYSA-N
-1.99863035450575,CCC(C)O,C1=CC=C2C(=C1)C(=O)C(=O)N2,BTANRVKWQNVYAZ-UHFFFAOYSA-N,JXDYKVIHCLTXOP-UHFFFAOYSA-N
-2.1537394693673493,COC(C)(C)C,C1=CC=C2C(=C1)C(=O)C(=O)N2,BZLVMXJERCGZMT-UHFFFAOYSA-N,JXDYKVIHCLTXOP-UHFFFAOYSA-N
-1.7179016243579934,CC(C)=O,C1=CC=C2C(=C1)C(=O)C(=O)N2,CSCPPACGZOOCGX-UHFFFAOYSA-N,JXDYKVIHCLTXOP-UHFFFAOYSA-N
-2.0851095842500755,CCCCOC(C)=O,C1=CC=C2C(=C1)C(=O)C(=O)N2,DKPFZGUDAPQIHT-UHFFFAOYSA-N,JXDYKVIHCLTXOP-UHFFFAOYSA-N
-2.0442393106955854,CC(O)CO,C1=CC=C2C(=C1)C(=O)C(=O)N2,DNIAPMSPPWPWGF-UHFFFAOYSA-N,JXDYKVIHCLTXOP-UHFFFAOYSA-N
-1.3762441616635208,CC(=O)N(C)C,C1=CC=C2C(=C1)C(=O)C(=O)N2,FXHOOIRPVKKKFG-UHFFFAOYSA-N,JXDYKVIHCLTXOP-UHFFFAOYSA-N
-2.2864770478723413,ClC(Cl)Cl,C1=CC=C2C(=C1)C(=O)C(=O)N2,HEDRZPFGACZZDS-UHFFFAOYSA-N,JXDYKVIHCLTXOP-UHFFFAOYSA-N
-1.6576169787253654,CS(C)=O,C1=CC=C2C(=C1)C(=O)C(=O)N2,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,JXDYKVIHCLTXOP-UHFFFAOYSA-N
-3.1908691427451243,CCCCCCC,C1=CC=C2C(=C1)C(=O)C(=O)N2,IMNFDUFMRHMDMM-UHFFFAOYSA-N,JXDYKVIHCLTXOP-UHFFFAOYSA-N
-1.6714442705190888,O=C1CCCCC1,C1=CC=C2C(=C1)C(=O)C(=O)N2,JHIVVAPYMSGYDF-UHFFFAOYSA-N,JXDYKVIHCLTXOP-UHFFFAOYSA-N
-1.9964530647217473,CC(=O)OC(C)C,C1=CC=C2C(=C1)C(=O)C(=O)N2,JMMWKPVZQRWMSS-UHFFFAOYSA-N,JXDYKVIHCLTXOP-UHFFFAOYSA-N
-2.1577553947641945,CCCCCCCCO,C1=CC=C2C(=C1)C(=O)C(=O)N2,KBPLFHHGFOOTCA-UHFFFAOYSA-N,JXDYKVIHCLTXOP-UHFFFAOYSA-N
-2.01256544393312,CC(C)O,C1=CC=C2C(=C1)C(=O)C(=O)N2,KFZMGEQAYNKOFK-UHFFFAOYSA-N,JXDYKVIHCLTXOP-UHFFFAOYSA-N
-1.8771265390223668,COC(C)=O,C1=CC=C2C(=C1)C(=O)C(=O)N2,KXKVLQRXCPHEJC-UHFFFAOYSA-N,JXDYKVIHCLTXOP-UHFFFAOYSA-N
-1.9712755551392502,CCO,C1=CC=C2C(=C1)C(=O)C(=O)N2,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,JXDYKVIHCLTXOP-UHFFFAOYSA-N
-1.9951173616311997,CCCCO,C1=CC=C2C(=C1)C(=O)C(=O)N2,LRHPLDYGYMQRHN-UHFFFAOYSA-N,JXDYKVIHCLTXOP-UHFFFAOYSA-N
-1.8620019879450458,OCCO,C1=CC=C2C(=C1)C(=O)C(=O)N2,LYCAIKOWRPUZTN-UHFFFAOYSA-N,JXDYKVIHCLTXOP-UHFFFAOYSA-N
-2.4572843902164796,Clc1ccccc1,C1=CC=C2C(=C1)C(=O)C(=O)N2,MVPPADPHJFYWMZ-UHFFFAOYSA-N,JXDYKVIHCLTXOP-UHFFFAOYSA-N
-1.976894188515983,CO,C1=CC=C2C(=C1)C(=O)C(=O)N2,OKKJLVBELUTLKV-UHFFFAOYSA-N,JXDYKVIHCLTXOP-UHFFFAOYSA-N
-2.1718338231456737,CC(C)CCO,C1=CC=C2C(=C1)C(=O)C(=O)N2,PHTQWCKDNZKARW-UHFFFAOYSA-N,JXDYKVIHCLTXOP-UHFFFAOYSA-N
-1.862665867930286,CC(=O)O,C1=CC=C2C(=C1)C(=O)C(=O)N2,QTBSBXVTEAMEQO-UHFFFAOYSA-N,JXDYKVIHCLTXOP-UHFFFAOYSA-N
-2.265881825746176,CCOCC,C1=CC=C2C(=C1)C(=O)C(=O)N2,RTZKZFJDLAIYFH-UHFFFAOYSA-N,JXDYKVIHCLTXOP-UHFFFAOYSA-N
-1.8739197061288966,C1COCCO1,C1=CC=C2C(=C1)C(=O)C(=O)N2,RYHBNJHYFVUHQT-UHFFFAOYSA-N,JXDYKVIHCLTXOP-UHFFFAOYSA-N
