Solubility Prediction,Solvent_smiles,Molecule_smiles,Solvent_InChIKey,Molecule_InChIKey
-1.689038618742916,CCCCCO,C1=CC(=C(C=C1Cl)N)C(=O)O,AMQJEAYHLZJPGS-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-1.6315399494714433,CCCCCCCO,C1=CC(=C(C=C1Cl)N)C(=O)O,BBMCTIGTTCKYKF-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-1.6486743194320264,CCCO,C1=CC(=C(C=C1Cl)N)C(=O)O,BDERNNFJNOPAEC-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-1.7483491085899352,CCC(C)O,C1=CC(=C(C=C1Cl)N)C(=O)O,BTANRVKWQNVYAZ-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-1.8718916139980901,COC(C)(C)C,C1=CC(=C(C=C1Cl)N)C(=O)O,BZLVMXJERCGZMT-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-1.5367101754408816,CC(C)=O,C1=CC(=C(C=C1Cl)N)C(=O)O,CSCPPACGZOOCGX-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-1.8018758955641265,CCCCOC(C)=O,C1=CC(=C(C=C1Cl)N)C(=O)O,DKPFZGUDAPQIHT-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-1.7269100238544368,CC(O)CO,C1=CC(=C(C=C1Cl)N)C(=O)O,DNIAPMSPPWPWGF-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-1.1912855576179238,CC(=O)N(C)C,C1=CC(=C(C=C1Cl)N)C(=O)O,FXHOOIRPVKKKFG-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-2.147806533593402,ClC(Cl)Cl,C1=CC(=C(C=C1Cl)N)C(=O)O,HEDRZPFGACZZDS-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-1.2103317560280125,CS(C)=O,C1=CC(=C(C=C1Cl)N)C(=O)O,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-3.1240415165396804,CCCCCCC,C1=CC(=C(C=C1Cl)N)C(=O)O,IMNFDUFMRHMDMM-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-1.6534837216846145,O=C1CCCCC1,C1=CC(=C(C=C1Cl)N)C(=O)O,JHIVVAPYMSGYDF-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-1.8508649263970676,CC(=O)OC(C)C,C1=CC(=C(C=C1Cl)N)C(=O)O,JMMWKPVZQRWMSS-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-1.7019835643863093,CCCCCCCCO,C1=CC(=C(C=C1Cl)N)C(=O)O,KBPLFHHGFOOTCA-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-1.643602645860396,CC(C)O,C1=CC(=C(C=C1Cl)N)C(=O)O,KFZMGEQAYNKOFK-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-1.717758868432346,COC(C)=O,C1=CC(=C(C=C1Cl)N)C(=O)O,KXKVLQRXCPHEJC-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-1.5754508429321064,CCO,C1=CC(=C(C=C1Cl)N)C(=O)O,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-1.6640041692960303,CCCCO,C1=CC(=C(C=C1Cl)N)C(=O)O,LRHPLDYGYMQRHN-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-1.736638866262378,OCCO,C1=CC(=C(C=C1Cl)N)C(=O)O,LYCAIKOWRPUZTN-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-2.1910978728414325,Clc1ccccc1,C1=CC(=C(C=C1Cl)N)C(=O)O,MVPPADPHJFYWMZ-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-1.7142452774072459,CO,C1=CC(=C(C=C1Cl)N)C(=O)O,OKKJLVBELUTLKV-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-1.7021677613066188,CC(C)CCO,C1=CC(=C(C=C1Cl)N)C(=O)O,PHTQWCKDNZKARW-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-1.8003489771816084,CC(=O)O,C1=CC(=C(C=C1Cl)N)C(=O)O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-1.8624454365750027,CCOCC,C1=CC(=C(C=C1Cl)N)C(=O)O,RTZKZFJDLAIYFH-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-1.680939114389751,C1COCCO1,C1=CC(=C(C=C1Cl)N)C(=O)O,RYHBNJHYFVUHQT-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-1.3717968900008726,CN1CCCC1=O,C1=CC(=C(C=C1Cl)N)C(=O)O,SECXISVLQFMRJM-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-2.7107481769734334,c1ccccc1,C1=CC(=C(C=C1Cl)N)C(=O)O,UHOVQNZJYSORNB-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-3.3814734314280015,CCCCCC,C1=CC(=C(C=C1Cl)N)C(=O)O,VLKZOEOYAKHREP-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-2.6635600014125163,ClC(Cl)(Cl)Cl,C1=CC(=C(C=C1Cl)N)C(=O)O,VZGDMQKNWNREIO-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-1.984420196348062,CCOC=O,C1=CC(=C(C=C1Cl)N)C(=O)O,WBJINCZRORDGAQ-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-1.9501890593454618,CC#N,C1=CC(=C(C=C1Cl)N)C(=O)O,WEVYAHXRMPXWCK-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-1.9277879321912337,ClCCCl,C1=CC(=C(C=C1Cl)N)C(=O)O,WSLDOOZREJYCGB-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-1.4265206436875248,C1CCOC1,C1=CC(=C(C=C1Cl)N)C(=O)O,WYURNTSHIVDZCO-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-3.6148211394166383,C1CCCCC1,C1=CC(=C(C=C1Cl)N)C(=O)O,XDTMQSROBMDMFD-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-1.6535015262687711,CCOC(C)=O,C1=CC(=C(C=C1Cl)N)C(=O)O,XEKOWRVHYACXOJ-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-1.4856862387611725,COCCO,C1=CC(=C(C=C1Cl)N)C(=O)O,XNWFRZJHXBZDAG-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-1.856346885342954,CCCOC(C)=O,C1=CC(=C(C=C1Cl)N)C(=O)O,YKYONYBAUNKHLG-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-2.1120327299748154,ClCCl,C1=CC(=C(C=C1Cl)N)C(=O)O,YMWUJEATGCHHMB-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-2.2548931591290886,CCc1ccccc1,C1=CC(=C(C=C1Cl)N)C(=O)O,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-2.3255193914034917,Cc1ccccc1,C1=CC(=C(C=C1Cl)N)C(=O)O,YXFVVABEGXRONW-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-1.2487710791205258,CN(C)C=O,C1=CC(=C(C=C1Cl)N)C(=O)O,ZMXDDKWLCZADIW-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
-1.5490098900992213,CCOCCO,C1=CC(=C(C=C1Cl)N)C(=O)O,ZNQVEEAIQZEUHB-UHFFFAOYSA-N,JYYLQSCZISREGY-UHFFFAOYSA-N
