Solubility Prediction,Solvent_smiles,Molecule_smiles,Solvent_InChIKey,Molecule_InChIKey
-1.7406034962512384,CCCCCO,C1=CC(=CC=C1C=O)C=O,AMQJEAYHLZJPGS-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.626520797179068,CCCCCCCO,C1=CC(=CC=C1C=O)C=O,BBMCTIGTTCKYKF-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.6230050125955724,CCCO,C1=CC(=CC=C1C=O)C=O,BDERNNFJNOPAEC-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.803400270502398,CCC(C)O,C1=CC(=CC=C1C=O)C=O,BTANRVKWQNVYAZ-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.8658492513420977,COC(C)(C)C,C1=CC(=CC=C1C=O)C=O,BZLVMXJERCGZMT-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.571013082448575,CC(C)=O,C1=CC(=CC=C1C=O)C=O,CSCPPACGZOOCGX-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.3146107423973024,CCCCOC(C)=O,C1=CC(=CC=C1C=O)C=O,DKPFZGUDAPQIHT-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.540233433409139,CC(O)CO,C1=CC(=CC=C1C=O)C=O,DNIAPMSPPWPWGF-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-0.890474238617769,CC(=O)N(C)C,C1=CC(=CC=C1C=O)C=O,FXHOOIRPVKKKFG-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.1901553217642284,ClC(Cl)Cl,C1=CC(=CC=C1C=O)C=O,HEDRZPFGACZZDS-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.092671950515619,CS(C)=O,C1=CC(=CC=C1C=O)C=O,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.8759238456314036,CCCCCCC,C1=CC(=CC=C1C=O)C=O,IMNFDUFMRHMDMM-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.4598752327864066,O=C1CCCCC1,C1=CC(=CC=C1C=O)C=O,JHIVVAPYMSGYDF-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.4121567056908633,CC(=O)OC(C)C,C1=CC(=CC=C1C=O)C=O,JMMWKPVZQRWMSS-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.5972152351582674,CCCCCCCCO,C1=CC(=CC=C1C=O)C=O,KBPLFHHGFOOTCA-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.8201242883951851,CC(C)O,C1=CC(=CC=C1C=O)C=O,KFZMGEQAYNKOFK-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.1710070034709832,COC(C)=O,C1=CC(=CC=C1C=O)C=O,KXKVLQRXCPHEJC-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.6449606110230828,CCO,C1=CC(=CC=C1C=O)C=O,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.7480845627353083,CCCCO,C1=CC(=CC=C1C=O)C=O,LRHPLDYGYMQRHN-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.5585114694337459,OCCO,C1=CC(=CC=C1C=O)C=O,LYCAIKOWRPUZTN-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.57057416162783,Clc1ccccc1,C1=CC(=CC=C1C=O)C=O,MVPPADPHJFYWMZ-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.1830727642803378,CO,C1=CC(=CC=C1C=O)C=O,OKKJLVBELUTLKV-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.8388617815180168,CC(C)CCO,C1=CC(=CC=C1C=O)C=O,PHTQWCKDNZKARW-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.293123629950184,CC(=O)O,C1=CC(=CC=C1C=O)C=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.68009048237255,CCOCC,C1=CC(=CC=C1C=O)C=O,RTZKZFJDLAIYFH-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.2590789639194544,C1COCCO1,C1=CC(=CC=C1C=O)C=O,RYHBNJHYFVUHQT-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.2110481082618143,CN1CCCC1=O,C1=CC(=CC=C1C=O)C=O,SECXISVLQFMRJM-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.491844074218121,c1ccccc1,C1=CC(=CC=C1C=O)C=O,UHOVQNZJYSORNB-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.913235679986574,CCCCCC,C1=CC(=CC=C1C=O)C=O,VLKZOEOYAKHREP-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.1979077628040637,ClC(Cl)(Cl)Cl,C1=CC(=CC=C1C=O)C=O,VZGDMQKNWNREIO-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.3991361837696874,CCOC=O,C1=CC(=CC=C1C=O)C=O,WBJINCZRORDGAQ-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.4018300342726369,CC#N,C1=CC(=CC=C1C=O)C=O,WEVYAHXRMPXWCK-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.3344155772839714,ClCCCl,C1=CC(=CC=C1C=O)C=O,WSLDOOZREJYCGB-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.3966127769145515,C1CCOC1,C1=CC(=CC=C1C=O)C=O,WYURNTSHIVDZCO-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-2.2513075271922367,C1CCCCC1,C1=CC(=CC=C1C=O)C=O,XDTMQSROBMDMFD-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.277415417032901,CCOC(C)=O,C1=CC(=CC=C1C=O)C=O,XEKOWRVHYACXOJ-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.2920547144898626,COCCO,C1=CC(=CC=C1C=O)C=O,XNWFRZJHXBZDAG-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.375383844888971,CCCOC(C)=O,C1=CC(=CC=C1C=O)C=O,YKYONYBAUNKHLG-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.2105445394280083,ClCCl,C1=CC(=CC=C1C=O)C=O,YMWUJEATGCHHMB-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.5704997917361687,CCc1ccccc1,C1=CC(=CC=C1C=O)C=O,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.609750122942737,Cc1ccccc1,C1=CC(=CC=C1C=O)C=O,YXFVVABEGXRONW-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.14925711632534,CN(C)C=O,C1=CC(=CC=C1C=O)C=O,ZMXDDKWLCZADIW-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.4190759071737522,CCOCCO,C1=CC(=CC=C1C=O)C=O,ZNQVEEAIQZEUHB-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.7834822489982591,CCCCCCO,C1=CC(=CC=C1C=O)C=O,ZSIAUFGUXNUGDI-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.4128098535009794,CCC(C)=O,C1=CC(=CC=C1C=O)C=O,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
-1.8551088094711248,CC(C)CO,C1=CC(=CC=C1C=O)C=O,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,KUCOHFSKRZZVRO-UHFFFAOYSA-N
