Solubility Prediction,Solvent_smiles,Molecule_smiles,Solvent_InChIKey,Molecule_InChIKey
-1.9141766570261165,CCCCCO,C1=CC(=CC=C1OCC(CO)O)Cl,AMQJEAYHLZJPGS-UHFFFAOYSA-N,MXOAEAUPQDYUQM-UHFFFAOYSA-N
-1.8120362619339199,CCCCCCCO,C1=CC(=CC=C1OCC(CO)O)Cl,BBMCTIGTTCKYKF-UHFFFAOYSA-N,MXOAEAUPQDYUQM-UHFFFAOYSA-N
-1.6127971128809395,CCCO,C1=CC(=CC=C1OCC(CO)O)Cl,BDERNNFJNOPAEC-UHFFFAOYSA-N,MXOAEAUPQDYUQM-UHFFFAOYSA-N
-1.930601273382913,CCC(C)O,C1=CC(=CC=C1OCC(CO)O)Cl,BTANRVKWQNVYAZ-UHFFFAOYSA-N,MXOAEAUPQDYUQM-UHFFFAOYSA-N
-2.2710843120803075,COC(C)(C)C,C1=CC(=CC=C1OCC(CO)O)Cl,BZLVMXJERCGZMT-UHFFFAOYSA-N,MXOAEAUPQDYUQM-UHFFFAOYSA-N
-1.8354238436021069,CC(C)=O,C1=CC(=CC=C1OCC(CO)O)Cl,CSCPPACGZOOCGX-UHFFFAOYSA-N,MXOAEAUPQDYUQM-UHFFFAOYSA-N
-1.8691624866740428,CCCCOC(C)=O,C1=CC(=CC=C1OCC(CO)O)Cl,DKPFZGUDAPQIHT-UHFFFAOYSA-N,MXOAEAUPQDYUQM-UHFFFAOYSA-N
-1.4329924124983116,CC(O)CO,C1=CC(=CC=C1OCC(CO)O)Cl,DNIAPMSPPWPWGF-UHFFFAOYSA-N,MXOAEAUPQDYUQM-UHFFFAOYSA-N
-1.5033071880505349,CC(=O)N(C)C,C1=CC(=CC=C1OCC(CO)O)Cl,FXHOOIRPVKKKFG-UHFFFAOYSA-N,MXOAEAUPQDYUQM-UHFFFAOYSA-N
-2.3581209369588447,ClC(Cl)Cl,C1=CC(=CC=C1OCC(CO)O)Cl,HEDRZPFGACZZDS-UHFFFAOYSA-N,MXOAEAUPQDYUQM-UHFFFAOYSA-N
-1.5189887068099235,CS(C)=O,C1=CC(=CC=C1OCC(CO)O)Cl,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,MXOAEAUPQDYUQM-UHFFFAOYSA-N
-3.2762315250005356,CCCCCCC,C1=CC(=CC=C1OCC(CO)O)Cl,IMNFDUFMRHMDMM-UHFFFAOYSA-N,MXOAEAUPQDYUQM-UHFFFAOYSA-N
-1.5829674590401641,O=C1CCCCC1,C1=CC(=CC=C1OCC(CO)O)Cl,JHIVVAPYMSGYDF-UHFFFAOYSA-N,MXOAEAUPQDYUQM-UHFFFAOYSA-N
-1.8829065606210578,CC(=O)OC(C)C,C1=CC(=CC=C1OCC(CO)O)Cl,JMMWKPVZQRWMSS-UHFFFAOYSA-N,MXOAEAUPQDYUQM-UHFFFAOYSA-N
-1.7211106957296154,CCCCCCCCO,C1=CC(=CC=C1OCC(CO)O)Cl,KBPLFHHGFOOTCA-UHFFFAOYSA-N,MXOAEAUPQDYUQM-UHFFFAOYSA-N
-2.038561130088373,CC(C)O,C1=CC(=CC=C1OCC(CO)O)Cl,KFZMGEQAYNKOFK-UHFFFAOYSA-N,MXOAEAUPQDYUQM-UHFFFAOYSA-N
-1.6178223339719922,COC(C)=O,C1=CC(=CC=C1OCC(CO)O)Cl,KXKVLQRXCPHEJC-UHFFFAOYSA-N,MXOAEAUPQDYUQM-UHFFFAOYSA-N
-1.6238606451189388,CCO,C1=CC(=CC=C1OCC(CO)O)Cl,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,MXOAEAUPQDYUQM-UHFFFAOYSA-N
-1.8389822602902592,CCCCO,C1=CC(=CC=C1OCC(CO)O)Cl,LRHPLDYGYMQRHN-UHFFFAOYSA-N,MXOAEAUPQDYUQM-UHFFFAOYSA-N
-1.1798599041048112,OCCO,C1=CC(=CC=C1OCC(CO)O)Cl,LYCAIKOWRPUZTN-UHFFFAOYSA-N,MXOAEAUPQDYUQM-UHFFFAOYSA-N
