Solubility Prediction,Solvent_smiles,Molecule_smiles,Solvent_InChIKey,Molecule_InChIKey
-0.8842883828581592,CCCCCO,C1C2=CC=CC=C2C3=CC=CC=C31,AMQJEAYHLZJPGS-UHFFFAOYSA-N,NIHNNTQXNPWCJQ-UHFFFAOYSA-N
-0.6934608960700902,CCCCCCCO,C1C2=CC=CC=C2C3=CC=CC=C31,BBMCTIGTTCKYKF-UHFFFAOYSA-N,NIHNNTQXNPWCJQ-UHFFFAOYSA-N
-1.0143860976341772,CCCO,C1C2=CC=CC=C2C3=CC=CC=C31,BDERNNFJNOPAEC-UHFFFAOYSA-N,NIHNNTQXNPWCJQ-UHFFFAOYSA-N
-1.0798549994017324,CCC(C)O,C1C2=CC=CC=C2C3=CC=CC=C31,BTANRVKWQNVYAZ-UHFFFAOYSA-N,NIHNNTQXNPWCJQ-UHFFFAOYSA-N
-1.2255298386567453,COC(C)(C)C,C1C2=CC=CC=C2C3=CC=CC=C31,BZLVMXJERCGZMT-UHFFFAOYSA-N,NIHNNTQXNPWCJQ-UHFFFAOYSA-N
-0.9070651739127841,CC(C)=O,C1C2=CC=CC=C2C3=CC=CC=C31,CSCPPACGZOOCGX-UHFFFAOYSA-N,NIHNNTQXNPWCJQ-UHFFFAOYSA-N
-0.7180644485401297,CCCCOC(C)=O,C1C2=CC=CC=C2C3=CC=CC=C31,DKPFZGUDAPQIHT-UHFFFAOYSA-N,NIHNNTQXNPWCJQ-UHFFFAOYSA-N
-1.0631058053587106,CC(O)CO,C1C2=CC=CC=C2C3=CC=CC=C31,DNIAPMSPPWPWGF-UHFFFAOYSA-N,NIHNNTQXNPWCJQ-UHFFFAOYSA-N
-0.6769643659090627,CC(=O)N(C)C,C1C2=CC=CC=C2C3=CC=CC=C31,FXHOOIRPVKKKFG-UHFFFAOYSA-N,NIHNNTQXNPWCJQ-UHFFFAOYSA-N
-0.28829730820736904,ClC(Cl)Cl,C1C2=CC=CC=C2C3=CC=CC=C31,HEDRZPFGACZZDS-UHFFFAOYSA-N,NIHNNTQXNPWCJQ-UHFFFAOYSA-N
