Solubility Prediction,Solvent_smiles,Molecule_smiles,Solvent_InChIKey,Molecule_InChIKey
-2.7891276779781395,CCCCCO,CC1=NC(=NC(=N1)N)N,AMQJEAYHLZJPGS-UHFFFAOYSA-N,NJYZCEFQAIUHSD-UHFFFAOYSA-N
-2.7316883987720644,CCCCCCCO,CC1=NC(=NC(=N1)N)N,BBMCTIGTTCKYKF-UHFFFAOYSA-N,NJYZCEFQAIUHSD-UHFFFAOYSA-N
-2.5723694705634177,CCCO,CC1=NC(=NC(=N1)N)N,BDERNNFJNOPAEC-UHFFFAOYSA-N,NJYZCEFQAIUHSD-UHFFFAOYSA-N
-2.7700683113132163,CCC(C)O,CC1=NC(=NC(=N1)N)N,BTANRVKWQNVYAZ-UHFFFAOYSA-N,NJYZCEFQAIUHSD-UHFFFAOYSA-N
-3.0905374737319353,COC(C)(C)C,CC1=NC(=NC(=N1)N)N,BZLVMXJERCGZMT-UHFFFAOYSA-N,NJYZCEFQAIUHSD-UHFFFAOYSA-N
-2.5039714992976294,CC(C)=O,CC1=NC(=NC(=N1)N)N,CSCPPACGZOOCGX-UHFFFAOYSA-N,NJYZCEFQAIUHSD-UHFFFAOYSA-N
-3.0433987700517195,CCCCOC(C)=O,CC1=NC(=NC(=N1)N)N,DKPFZGUDAPQIHT-UHFFFAOYSA-N,NJYZCEFQAIUHSD-UHFFFAOYSA-N
-2.6211358571914207,CC(O)CO,CC1=NC(=NC(=N1)N)N,DNIAPMSPPWPWGF-UHFFFAOYSA-N,NJYZCEFQAIUHSD-UHFFFAOYSA-N
-1.4598010240545118,CC(=O)N(C)C,CC1=NC(=NC(=N1)N)N,FXHOOIRPVKKKFG-UHFFFAOYSA-N,NJYZCEFQAIUHSD-UHFFFAOYSA-N
-3.3501925719855334,ClC(Cl)Cl,CC1=NC(=NC(=N1)N)N,HEDRZPFGACZZDS-UHFFFAOYSA-N,NJYZCEFQAIUHSD-UHFFFAOYSA-N
-1.3723904161986025,CS(C)=O,CC1=NC(=NC(=N1)N)N,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,NJYZCEFQAIUHSD-UHFFFAOYSA-N
-3.6516228172095926,CCCCCCC,CC1=NC(=NC(=N1)N)N,IMNFDUFMRHMDMM-UHFFFAOYSA-N,NJYZCEFQAIUHSD-UHFFFAOYSA-N
-1.8775307455042283,O=C1CCCCC1,CC1=NC(=NC(=N1)N)N,JHIVVAPYMSGYDF-UHFFFAOYSA-N,NJYZCEFQAIUHSD-UHFFFAOYSA-N
-3.055204583284107,CC(=O)OC(C)C,CC1=NC(=NC(=N1)N)N,JMMWKPVZQRWMSS-UHFFFAOYSA-N,NJYZCEFQAIUHSD-UHFFFAOYSA-N
-2.781921361059492,CCCCCCCCO,CC1=NC(=NC(=N1)N)N,KBPLFHHGFOOTCA-UHFFFAOYSA-N,NJYZCEFQAIUHSD-UHFFFAOYSA-N
-2.7241565916777866,CC(C)O,CC1=NC(=NC(=N1)N)N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,NJYZCEFQAIUHSD-UHFFFAOYSA-N
-2.712635598146821,COC(C)=O,CC1=NC(=NC(=N1)N)N,KXKVLQRXCPHEJC-UHFFFAOYSA-N,NJYZCEFQAIUHSD-UHFFFAOYSA-N
-2.339380306110377,CCO,CC1=NC(=NC(=N1)N)N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,NJYZCEFQAIUHSD-UHFFFAOYSA-N
-2.6340387922430635,CCCCO,CC1=NC(=NC(=N1)N)N,LRHPLDYGYMQRHN-UHFFFAOYSA-N,NJYZCEFQAIUHSD-UHFFFAOYSA-N
-2.4682947859859206,OCCO,CC1=NC(=NC(=N1)N)N,LYCAIKOWRPUZTN-UHFFFAOYSA-N,NJYZCEFQAIUHSD-UHFFFAOYSA-N
-3.310103253635351,Clc1ccccc1,CC1=NC(=NC(=N1)N)N,MVPPADPHJFYWMZ-UHFFFAOYSA-N,NJYZCEFQAIUHSD-UHFFFAOYSA-N
