Solubility Prediction,Solvent_smiles,Molecule_smiles,Solvent_InChIKey,Molecule_InChIKey
-2.540150490172693,CCCCCO,C1(=C(C(=C(C(=C1I)F)I)F)I)F,AMQJEAYHLZJPGS-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.4417437736701246,CCCCCCCO,C1(=C(C(=C(C(=C1I)F)I)F)I)F,BBMCTIGTTCKYKF-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.812256031953068,CCCO,C1(=C(C(=C(C(=C1I)F)I)F)I)F,BDERNNFJNOPAEC-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.706394615187546,CCC(C)O,C1(=C(C(=C(C(=C1I)F)I)F)I)F,BTANRVKWQNVYAZ-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.67133919559439,COC(C)(C)C,C1(=C(C(=C(C(=C1I)F)I)F)I)F,BZLVMXJERCGZMT-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.2766717419654903,CC(C)=O,C1(=C(C(=C(C(=C1I)F)I)F)I)F,CSCPPACGZOOCGX-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.3575483159846335,CCCCOC(C)=O,C1(=C(C(=C(C(=C1I)F)I)F)I)F,DKPFZGUDAPQIHT-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.863705793416125,CC(O)CO,C1(=C(C(=C(C(=C1I)F)I)F)I)F,DNIAPMSPPWPWGF-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.3409115206957365,CC(=O)N(C)C,C1(=C(C(=C(C(=C1I)F)I)F)I)F,FXHOOIRPVKKKFG-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.2743550031391373,ClC(Cl)Cl,C1(=C(C(=C(C(=C1I)F)I)F)I)F,HEDRZPFGACZZDS-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.3753662793784116,CS(C)=O,C1(=C(C(=C(C(=C1I)F)I)F)I)F,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.711147737378053,CCCCCCC,C1(=C(C(=C(C(=C1I)F)I)F)I)F,IMNFDUFMRHMDMM-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.336659355889812,O=C1CCCCC1,C1(=C(C(=C(C(=C1I)F)I)F)I)F,JHIVVAPYMSGYDF-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.3388987771795504,CC(=O)OC(C)C,C1(=C(C(=C(C(=C1I)F)I)F)I)F,JMMWKPVZQRWMSS-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.3325394671289743,CCCCCCCCO,C1(=C(C(=C(C(=C1I)F)I)F)I)F,KBPLFHHGFOOTCA-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.7667856760362732,CC(C)O,C1(=C(C(=C(C(=C1I)F)I)F)I)F,KFZMGEQAYNKOFK-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.487622217539947,COC(C)=O,C1(=C(C(=C(C(=C1I)F)I)F)I)F,KXKVLQRXCPHEJC-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.8484102647639764,CCO,C1(=C(C(=C(C(=C1I)F)I)F)I)F,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.673250038627502,CCCCO,C1(=C(C(=C(C(=C1I)F)I)F)I)F,LRHPLDYGYMQRHN-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.965611499465101,OCCO,C1(=C(C(=C(C(=C1I)F)I)F)I)F,LYCAIKOWRPUZTN-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.09143293680249,Clc1ccccc1,C1(=C(C(=C(C(=C1I)F)I)F)I)F,MVPPADPHJFYWMZ-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.995387472520825,CO,C1(=C(C(=C(C(=C1I)F)I)F)I)F,OKKJLVBELUTLKV-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.55538093695067,CC(C)CCO,C1(=C(C(=C(C(=C1I)F)I)F)I)F,PHTQWCKDNZKARW-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.779420574424127,CC(=O)O,C1(=C(C(=C(C(=C1I)F)I)F)I)F,QTBSBXVTEAMEQO-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.647980809382179,CCOCC,C1(=C(C(=C(C(=C1I)F)I)F)I)F,RTZKZFJDLAIYFH-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.4161008062882963,C1COCCO1,C1(=C(C(=C(C(=C1I)F)I)F)I)F,RYHBNJHYFVUHQT-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.311431107536124,CN1CCCC1=O,C1(=C(C(=C(C(=C1I)F)I)F)I)F,SECXISVLQFMRJM-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.419890566885799,c1ccccc1,C1(=C(C(=C(C(=C1I)F)I)F)I)F,UHOVQNZJYSORNB-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.7806694180688223,CCCCCC,C1(=C(C(=C(C(=C1I)F)I)F)I)F,VLKZOEOYAKHREP-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.480065157805389,ClC(Cl)(Cl)Cl,C1(=C(C(=C(C(=C1I)F)I)F)I)F,VZGDMQKNWNREIO-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.371675967571628,CCOC=O,C1(=C(C(=C(C(=C1I)F)I)F)I)F,WBJINCZRORDGAQ-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.5812860598250382,CC#N,C1(=C(C(=C(C(=C1I)F)I)F)I)F,WEVYAHXRMPXWCK-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.4627694267558438,ClCCCl,C1(=C(C(=C(C(=C1I)F)I)F)I)F,WSLDOOZREJYCGB-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.402349179970736,C1CCOC1,C1(=C(C(=C(C(=C1I)F)I)F)I)F,WYURNTSHIVDZCO-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.8040998114674016,C1CCCCC1,C1(=C(C(=C(C(=C1I)F)I)F)I)F,XDTMQSROBMDMFD-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.4513959901938995,CCOC(C)=O,C1(=C(C(=C(C(=C1I)F)I)F)I)F,XEKOWRVHYACXOJ-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.6782957004000654,COCCO,C1(=C(C(=C(C(=C1I)F)I)F)I)F,XNWFRZJHXBZDAG-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.360982592404817,CCCOC(C)=O,C1(=C(C(=C(C(=C1I)F)I)F)I)F,YKYONYBAUNKHLG-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.426666274697328,ClCCl,C1(=C(C(=C(C(=C1I)F)I)F)I)F,YMWUJEATGCHHMB-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.3840609619708353,CCc1ccccc1,C1(=C(C(=C(C(=C1I)F)I)F)I)F,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.3251087530909498,Cc1ccccc1,C1(=C(C(=C(C(=C1I)F)I)F)I)F,YXFVVABEGXRONW-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
-2.388272577936803,CN(C)C=O,C1(=C(C(=C(C(=C1I)F)I)F)I)F,ZMXDDKWLCZADIW-UHFFFAOYSA-N,NTAZOPPTLZSXQH-UHFFFAOYSA-N
