Solubility Prediction,Solvent_smiles,Molecule_smiles,Solvent_InChIKey,Molecule_InChIKey
-2.450951434161201,CCCCCO,C1=C2C(=NC=NC2=O)NN1,AMQJEAYHLZJPGS-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-2.347839218247707,CCCCCCCO,C1=C2C(=NC=NC2=O)NN1,BBMCTIGTTCKYKF-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-2.407767732173713,CCCO,C1=C2C(=NC=NC2=O)NN1,BDERNNFJNOPAEC-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-2.5251551708227087,CCC(C)O,C1=C2C(=NC=NC2=O)NN1,BTANRVKWQNVYAZ-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-2.727644464924557,COC(C)(C)C,C1=C2C(=NC=NC2=O)NN1,BZLVMXJERCGZMT-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-2.501584878043519,CC(C)=O,C1=C2C(=NC=NC2=O)NN1,CSCPPACGZOOCGX-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-2.758327638585861,CCCCOC(C)=O,C1=C2C(=NC=NC2=O)NN1,DKPFZGUDAPQIHT-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-2.6064000831926593,CC(O)CO,C1=C2C(=NC=NC2=O)NN1,DNIAPMSPPWPWGF-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-1.4852044719532045,CC(=O)N(C)C,C1=C2C(=NC=NC2=O)NN1,FXHOOIRPVKKKFG-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-3.1530932846115256,ClC(Cl)Cl,C1=C2C(=NC=NC2=O)NN1,HEDRZPFGACZZDS-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-1.5712433627563689,CS(C)=O,C1=C2C(=NC=NC2=O)NN1,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-3.5061667914199104,CCCCCCC,C1=C2C(=NC=NC2=O)NN1,IMNFDUFMRHMDMM-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-1.8322005176957137,O=C1CCCCC1,C1=C2C(=NC=NC2=O)NN1,JHIVVAPYMSGYDF-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-2.708898598262108,CC(=O)OC(C)C,C1=C2C(=NC=NC2=O)NN1,JMMWKPVZQRWMSS-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-2.4788736826555438,CCCCCCCCO,C1=C2C(=NC=NC2=O)NN1,KBPLFHHGFOOTCA-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-2.4024823386662755,CC(C)O,C1=C2C(=NC=NC2=O)NN1,KFZMGEQAYNKOFK-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-2.683485162371541,COC(C)=O,C1=C2C(=NC=NC2=O)NN1,KXKVLQRXCPHEJC-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-2.2994751390714487,CCO,C1=C2C(=NC=NC2=O)NN1,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-2.470518244348876,CCCCO,C1=C2C(=NC=NC2=O)NN1,LRHPLDYGYMQRHN-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-2.0361913852639284,OCCO,C1=C2C(=NC=NC2=O)NN1,LYCAIKOWRPUZTN-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-3.1648672134711564,Clc1ccccc1,C1=C2C(=NC=NC2=O)NN1,MVPPADPHJFYWMZ-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-2.0246143318051857,CO,C1=C2C(=NC=NC2=O)NN1,OKKJLVBELUTLKV-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-2.4043278507510815,CC(C)CCO,C1=C2C(=NC=NC2=O)NN1,PHTQWCKDNZKARW-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-2.432401330426471,CC(=O)O,C1=C2C(=NC=NC2=O)NN1,QTBSBXVTEAMEQO-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-2.1729213559729605,CCOCC,C1=C2C(=NC=NC2=O)NN1,RTZKZFJDLAIYFH-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-2.6528122867593065,C1COCCO1,C1=C2C(=NC=NC2=O)NN1,RYHBNJHYFVUHQT-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-1.5272061061821796,CN1CCCC1=O,C1=C2C(=NC=NC2=O)NN1,SECXISVLQFMRJM-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-3.0903127421802763,c1ccccc1,C1=C2C(=NC=NC2=O)NN1,UHOVQNZJYSORNB-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-3.687077717074179,CCCCCC,C1=C2C(=NC=NC2=O)NN1,VLKZOEOYAKHREP-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-3.4168620449179814,ClC(Cl)(Cl)Cl,C1=C2C(=NC=NC2=O)NN1,VZGDMQKNWNREIO-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-2.712985690141744,CCOC=O,C1=C2C(=NC=NC2=O)NN1,WBJINCZRORDGAQ-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-2.9854792984408793,CC#N,C1=C2C(=NC=NC2=O)NN1,WEVYAHXRMPXWCK-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-2.4471159713141626,ClCCCl,C1=C2C(=NC=NC2=O)NN1,WSLDOOZREJYCGB-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-1.879483427610075,C1CCOC1,C1=C2C(=NC=NC2=O)NN1,WYURNTSHIVDZCO-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-3.8031495544356018,C1CCCCC1,C1=C2C(=NC=NC2=O)NN1,XDTMQSROBMDMFD-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-2.7877794734966956,CCOC(C)=O,C1=C2C(=NC=NC2=O)NN1,XEKOWRVHYACXOJ-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-2.3566572467785716,COCCO,C1=C2C(=NC=NC2=O)NN1,XNWFRZJHXBZDAG-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-2.790845994790616,CCCOC(C)=O,C1=C2C(=NC=NC2=O)NN1,YKYONYBAUNKHLG-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-3.3079239693754654,ClCCl,C1=C2C(=NC=NC2=O)NN1,YMWUJEATGCHHMB-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-3.2045911593095036,CCc1ccccc1,C1=C2C(=NC=NC2=O)NN1,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-3.0682823471796485,Cc1ccccc1,C1=C2C(=NC=NC2=O)NN1,YXFVVABEGXRONW-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-1.732809063785396,CN(C)C=O,C1=C2C(=NC=NC2=O)NN1,ZMXDDKWLCZADIW-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-2.5366723495565786,CCOCCO,C1=C2C(=NC=NC2=O)NN1,ZNQVEEAIQZEUHB-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-2.352641027632688,CCCCCCO,C1=C2C(=NC=NC2=O)NN1,ZSIAUFGUXNUGDI-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-2.6594433834370466,CCC(C)=O,C1=C2C(=NC=NC2=O)NN1,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
-2.4879687792798384,CC(C)CO,C1=C2C(=NC=NC2=O)NN1,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,OFCNXPDARWKPPY-UHFFFAOYSA-N
