Solubility Prediction,Solvent_smiles,Molecule_smiles,Solvent_InChIKey,Molecule_InChIKey
-2.128788460926181,CCCCCO,CC(=O)NC1=CC=C(C=C1)C(=O)O,AMQJEAYHLZJPGS-UHFFFAOYSA-N,QCXJEYYXVJIFCE-UHFFFAOYSA-N
-2.037914833214418,CCCCCCCO,CC(=O)NC1=CC=C(C=C1)C(=O)O,BBMCTIGTTCKYKF-UHFFFAOYSA-N,QCXJEYYXVJIFCE-UHFFFAOYSA-N
-2.114613539766089,CCCO,CC(=O)NC1=CC=C(C=C1)C(=O)O,BDERNNFJNOPAEC-UHFFFAOYSA-N,QCXJEYYXVJIFCE-UHFFFAOYSA-N
-2.2038712900538284,CCC(C)O,CC(=O)NC1=CC=C(C=C1)C(=O)O,BTANRVKWQNVYAZ-UHFFFAOYSA-N,QCXJEYYXVJIFCE-UHFFFAOYSA-N
-2.3150059049597167,COC(C)(C)C,CC(=O)NC1=CC=C(C=C1)C(=O)O,BZLVMXJERCGZMT-UHFFFAOYSA-N,QCXJEYYXVJIFCE-UHFFFAOYSA-N
-1.9729001661006564,CC(C)=O,CC(=O)NC1=CC=C(C=C1)C(=O)O,CSCPPACGZOOCGX-UHFFFAOYSA-N,QCXJEYYXVJIFCE-UHFFFAOYSA-N
-2.3671902859571103,CCCCOC(C)=O,CC(=O)NC1=CC=C(C=C1)C(=O)O,DKPFZGUDAPQIHT-UHFFFAOYSA-N,QCXJEYYXVJIFCE-UHFFFAOYSA-N
-2.127171361480114,CC(O)CO,CC(=O)NC1=CC=C(C=C1)C(=O)O,DNIAPMSPPWPWGF-UHFFFAOYSA-N,QCXJEYYXVJIFCE-UHFFFAOYSA-N
-1.481340921191504,CC(=O)N(C)C,CC(=O)NC1=CC=C(C=C1)C(=O)O,FXHOOIRPVKKKFG-UHFFFAOYSA-N,QCXJEYYXVJIFCE-UHFFFAOYSA-N
-2.214424265373997,ClC(Cl)Cl,CC(=O)NC1=CC=C(C=C1)C(=O)O,HEDRZPFGACZZDS-UHFFFAOYSA-N,QCXJEYYXVJIFCE-UHFFFAOYSA-N
-1.4433453236655875,CS(C)=O,CC(=O)NC1=CC=C(C=C1)C(=O)O,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,QCXJEYYXVJIFCE-UHFFFAOYSA-N
-3.4044570693821226,CCCCCCC,CC(=O)NC1=CC=C(C=C1)C(=O)O,IMNFDUFMRHMDMM-UHFFFAOYSA-N,QCXJEYYXVJIFCE-UHFFFAOYSA-N
-1.8972775790226173,O=C1CCCCC1,CC(=O)NC1=CC=C(C=C1)C(=O)O,JHIVVAPYMSGYDF-UHFFFAOYSA-N,QCXJEYYXVJIFCE-UHFFFAOYSA-N
-2.367767681588994,CC(=O)OC(C)C,CC(=O)NC1=CC=C(C=C1)C(=O)O,JMMWKPVZQRWMSS-UHFFFAOYSA-N,QCXJEYYXVJIFCE-UHFFFAOYSA-N
-2.373654387305344,CCCCCCCCO,CC(=O)NC1=CC=C(C=C1)C(=O)O,KBPLFHHGFOOTCA-UHFFFAOYSA-N,QCXJEYYXVJIFCE-UHFFFAOYSA-N
-2.0029986216962596,CC(C)O,CC(=O)NC1=CC=C(C=C1)C(=O)O,KFZMGEQAYNKOFK-UHFFFAOYSA-N,QCXJEYYXVJIFCE-UHFFFAOYSA-N
-2.3509599071243437,COC(C)=O,CC(=O)NC1=CC=C(C=C1)C(=O)O,KXKVLQRXCPHEJC-UHFFFAOYSA-N,QCXJEYYXVJIFCE-UHFFFAOYSA-N
-1.9995646928023245,CCO,CC(=O)NC1=CC=C(C=C1)C(=O)O,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,QCXJEYYXVJIFCE-UHFFFAOYSA-N
-2.0604965104699775,CCCCO,CC(=O)NC1=CC=C(C=C1)C(=O)O,LRHPLDYGYMQRHN-UHFFFAOYSA-N,QCXJEYYXVJIFCE-UHFFFAOYSA-N
-2.090181969489314,OCCO,CC(=O)NC1=CC=C(C=C1)C(=O)O,LYCAIKOWRPUZTN-UHFFFAOYSA-N,QCXJEYYXVJIFCE-UHFFFAOYSA-N
-2.3811781941768175,Clc1ccccc1,CC(=O)NC1=CC=C(C=C1)C(=O)O,MVPPADPHJFYWMZ-UHFFFAOYSA-N,QCXJEYYXVJIFCE-UHFFFAOYSA-N
-1.9646940586115091,CO,CC(=O)NC1=CC=C(C=C1)C(=O)O,OKKJLVBELUTLKV-UHFFFAOYSA-N,QCXJEYYXVJIFCE-UHFFFAOYSA-N
-2.115504394864516,CC(C)CCO,CC(=O)NC1=CC=C(C=C1)C(=O)O,PHTQWCKDNZKARW-UHFFFAOYSA-N,QCXJEYYXVJIFCE-UHFFFAOYSA-N
-2.0965552961943144,CC(=O)O,CC(=O)NC1=CC=C(C=C1)C(=O)O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,QCXJEYYXVJIFCE-UHFFFAOYSA-N
-2.1084129406290395,CCOCC,CC(=O)NC1=CC=C(C=C1)C(=O)O,RTZKZFJDLAIYFH-UHFFFAOYSA-N,QCXJEYYXVJIFCE-UHFFFAOYSA-N
-2.0144670471277624,C1COCCO1,CC(=O)NC1=CC=C(C=C1)C(=O)O,RYHBNJHYFVUHQT-UHFFFAOYSA-N,QCXJEYYXVJIFCE-UHFFFAOYSA-N
-1.6916829427647702,CN1CCCC1=O,CC(=O)NC1=CC=C(C=C1)C(=O)O,SECXISVLQFMRJM-UHFFFAOYSA-N,QCXJEYYXVJIFCE-UHFFFAOYSA-N
-2.5191568830077258,c1ccccc1,CC(=O)NC1=CC=C(C=C1)C(=O)O,UHOVQNZJYSORNB-UHFFFAOYSA-N,QCXJEYYXVJIFCE-UHFFFAOYSA-N
-3.6222368862974337,CCCCCC,CC(=O)NC1=CC=C(C=C1)C(=O)O,VLKZOEOYAKHREP-UHFFFAOYSA-N,QCXJEYYXVJIFCE-UHFFFAOYSA-N
-3.270890767292593,ClC(Cl)(Cl)Cl,CC(=O)NC1=CC=C(C=C1)C(=O)O,VZGDMQKNWNREIO-UHFFFAOYSA-N,QCXJEYYXVJIFCE-UHFFFAOYSA-N
-2.4785261966338004,CCOC=O,CC(=O)NC1=CC=C(C=C1)C(=O)O,WBJINCZRORDGAQ-UHFFFAOYSA-N,QCXJEYYXVJIFCE-UHFFFAOYSA-N
-2.5266093326049948,CC#N,CC(=O)NC1=CC=C(C=C1)C(=O)O,WEVYAHXRMPXWCK-UHFFFAOYSA-N,QCXJEYYXVJIFCE-UHFFFAOYSA-N
-2.1028637317877514,ClCCCl,CC(=O)NC1=CC=C(C=C1)C(=O)O,WSLDOOZREJYCGB-UHFFFAOYSA-N,QCXJEYYXVJIFCE-UHFFFAOYSA-N
-1.8050956296104497,C1CCOC1,CC(=O)NC1=CC=C(C=C1)C(=O)O,WYURNTSHIVDZCO-UHFFFAOYSA-N,QCXJEYYXVJIFCE-UHFFFAOYSA-N
-3.903339624893368,C1CCCCC1,CC(=O)NC1=CC=C(C=C1)C(=O)O,XDTMQSROBMDMFD-UHFFFAOYSA-N,QCXJEYYXVJIFCE-UHFFFAOYSA-N
-2.3318970821773846,CCOC(C)=O,CC(=O)NC1=CC=C(C=C1)C(=O)O,XEKOWRVHYACXOJ-UHFFFAOYSA-N,QCXJEYYXVJIFCE-UHFFFAOYSA-N
-2.0352639895595668,COCCO,CC(=O)NC1=CC=C(C=C1)C(=O)O,XNWFRZJHXBZDAG-UHFFFAOYSA-N,QCXJEYYXVJIFCE-UHFFFAOYSA-N
