Solubility Prediction,Solvent_smiles,Molecule_smiles,Solvent_InChIKey,Molecule_InChIKey
-2.1057195184056723,CCCCCO,C1=CC(=CC=C1C(=O)N)N,AMQJEAYHLZJPGS-UHFFFAOYSA-N,QIKYZXDTTPVVAC-UHFFFAOYSA-N
-2.1591190499530484,CCCCCCCO,C1=CC(=CC=C1C(=O)N)N,BBMCTIGTTCKYKF-UHFFFAOYSA-N,QIKYZXDTTPVVAC-UHFFFAOYSA-N
-2.018288938615812,CCCO,C1=CC(=CC=C1C(=O)N)N,BDERNNFJNOPAEC-UHFFFAOYSA-N,QIKYZXDTTPVVAC-UHFFFAOYSA-N
-2.229880267333367,CCC(C)O,C1=CC(=CC=C1C(=O)N)N,BTANRVKWQNVYAZ-UHFFFAOYSA-N,QIKYZXDTTPVVAC-UHFFFAOYSA-N
-2.318453508471958,COC(C)(C)C,C1=CC(=CC=C1C(=O)N)N,BZLVMXJERCGZMT-UHFFFAOYSA-N,QIKYZXDTTPVVAC-UHFFFAOYSA-N
-2.0443402227301157,CC(C)=O,C1=CC(=CC=C1C(=O)N)N,CSCPPACGZOOCGX-UHFFFAOYSA-N,QIKYZXDTTPVVAC-UHFFFAOYSA-N
-2.3187105158646593,CCCCOC(C)=O,C1=CC(=CC=C1C(=O)N)N,DKPFZGUDAPQIHT-UHFFFAOYSA-N,QIKYZXDTTPVVAC-UHFFFAOYSA-N
-2.1059118391617444,CC(O)CO,C1=CC(=CC=C1C(=O)N)N,DNIAPMSPPWPWGF-UHFFFAOYSA-N,QIKYZXDTTPVVAC-UHFFFAOYSA-N
-1.2373156411224742,CC(=O)N(C)C,C1=CC(=CC=C1C(=O)N)N,FXHOOIRPVKKKFG-UHFFFAOYSA-N,QIKYZXDTTPVVAC-UHFFFAOYSA-N
-2.3187988204005365,ClC(Cl)Cl,C1=CC(=CC=C1C(=O)N)N,HEDRZPFGACZZDS-UHFFFAOYSA-N,QIKYZXDTTPVVAC-UHFFFAOYSA-N
