Solubility Prediction,Solvent_smiles,Molecule_smiles,Solvent_InChIKey,Molecule_InChIKey
-2.070414091398054,CCCCCO,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],AMQJEAYHLZJPGS-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-2.049374920144181,CCCCCCCO,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],BBMCTIGTTCKYKF-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-2.125537656455957,CCCO,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],BDERNNFJNOPAEC-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-2.0702898669894063,CCC(C)O,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],BTANRVKWQNVYAZ-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-2.022023376309002,COC(C)(C)C,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],BZLVMXJERCGZMT-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-1.901917554125807,CC(C)=O,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],CSCPPACGZOOCGX-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-2.1407498375073013,CCCCOC(C)=O,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],DKPFZGUDAPQIHT-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-2.3205371444369742,CC(O)CO,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],DNIAPMSPPWPWGF-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-1.6194297084917972,CC(=O)N(C)C,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],FXHOOIRPVKKKFG-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-2.337037542060234,ClC(Cl)Cl,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],HEDRZPFGACZZDS-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-1.6399340774017614,CS(C)=O,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],IAZDPXIOMUYVGZ-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-3.5470033506416727,CCCCCCC,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],IMNFDUFMRHMDMM-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-1.705944491083252,O=C1CCCCC1,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],JHIVVAPYMSGYDF-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-2.138128729368324,CC(=O)OC(C)C,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],JMMWKPVZQRWMSS-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-2.2398316901078883,CCCCCCCCO,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],KBPLFHHGFOOTCA-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-2.1710123903025345,CC(C)O,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],KFZMGEQAYNKOFK-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-1.964048429373139,COC(C)=O,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],KXKVLQRXCPHEJC-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-2.1013629688764057,CCO,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],LFQSCWFLJHTTHZ-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-2.1272359559206673,CCCCO,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],LRHPLDYGYMQRHN-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-2.2162141581748878,OCCO,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],LYCAIKOWRPUZTN-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-2.4619209399775985,Clc1ccccc1,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],MVPPADPHJFYWMZ-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-2.1184783921622636,CO,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],OKKJLVBELUTLKV-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-2.0632345194174437,CC(C)CCO,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],PHTQWCKDNZKARW-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-2.1263420460281504,CC(=O)O,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],QTBSBXVTEAMEQO-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-1.8087237204949744,CCOCC,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],RTZKZFJDLAIYFH-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-2.108696497508438,C1COCCO1,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],RYHBNJHYFVUHQT-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-1.5352432873768609,CN1CCCC1=O,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],SECXISVLQFMRJM-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-2.539106503626346,c1ccccc1,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],UHOVQNZJYSORNB-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-3.6106096542554407,CCCCCC,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],VLKZOEOYAKHREP-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-3.1504057567782744,ClC(Cl)(Cl)Cl,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],VZGDMQKNWNREIO-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-2.203510857910671,CCOC=O,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],WBJINCZRORDGAQ-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-2.294151955165031,CC#N,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],WEVYAHXRMPXWCK-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-2.0629502926690306,ClCCCl,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],WSLDOOZREJYCGB-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-1.720136818252824,C1CCOC1,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],WYURNTSHIVDZCO-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-3.8001646523466124,C1CCCCC1,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],XDTMQSROBMDMFD-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-2.0162656488838393,CCOC(C)=O,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],XEKOWRVHYACXOJ-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-2.079625675943292,COCCO,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],XNWFRZJHXBZDAG-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-2.189681573833058,CCCOC(C)=O,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],YKYONYBAUNKHLG-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-2.3971884650627815,ClCCl,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],YMWUJEATGCHHMB-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-2.52222469835097,CCc1ccccc1,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],YNQLUTRBYVCPMQ-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-2.3310313244526335,Cc1ccccc1,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],YXFVVABEGXRONW-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-1.7523900580604241,CN(C)C=O,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],ZMXDDKWLCZADIW-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-2.0184931299984217,CCOCCO,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],ZNQVEEAIQZEUHB-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-2.098289050122553,CCCCCCO,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],ZSIAUFGUXNUGDI-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-1.8405765594927908,CCC(C)=O,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],ZWEHNKRNPOVVGH-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
-2.1731417851194736,CC(C)CO,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-],ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,RJIWZDNTCBHXAL-UHFFFAOYSA-N
