Solubility Prediction,Solvent_smiles,Molecule_smiles,Solvent_InChIKey,Molecule_InChIKey
-2.1241353994140013,CCCCCO,C1=CC(=CC(=C1)[N+](=O)[O-])C#N,AMQJEAYHLZJPGS-UHFFFAOYSA-N,RUSAWEHOGCWOPG-UHFFFAOYSA-N
-2.0293623486142867,CCCCCCCO,C1=CC(=CC(=C1)[N+](=O)[O-])C#N,BBMCTIGTTCKYKF-UHFFFAOYSA-N,RUSAWEHOGCWOPG-UHFFFAOYSA-N
-2.146414078391665,CCCO,C1=CC(=CC(=C1)[N+](=O)[O-])C#N,BDERNNFJNOPAEC-UHFFFAOYSA-N,RUSAWEHOGCWOPG-UHFFFAOYSA-N
-2.306182345383333,CCC(C)O,C1=CC(=CC(=C1)[N+](=O)[O-])C#N,BTANRVKWQNVYAZ-UHFFFAOYSA-N,RUSAWEHOGCWOPG-UHFFFAOYSA-N
-2.189385503601533,COC(C)(C)C,C1=CC(=CC(=C1)[N+](=O)[O-])C#N,BZLVMXJERCGZMT-UHFFFAOYSA-N,RUSAWEHOGCWOPG-UHFFFAOYSA-N
-1.6671115094873614,CC(C)=O,C1=CC(=CC(=C1)[N+](=O)[O-])C#N,CSCPPACGZOOCGX-UHFFFAOYSA-N,RUSAWEHOGCWOPG-UHFFFAOYSA-N
-1.8108153865381573,CCCCOC(C)=O,C1=CC(=CC(=C1)[N+](=O)[O-])C#N,DKPFZGUDAPQIHT-UHFFFAOYSA-N,RUSAWEHOGCWOPG-UHFFFAOYSA-N
-2.128147669362468,CC(O)CO,C1=CC(=CC(=C1)[N+](=O)[O-])C#N,DNIAPMSPPWPWGF-UHFFFAOYSA-N,RUSAWEHOGCWOPG-UHFFFAOYSA-N
-1.2388536134772827,CC(=O)N(C)C,C1=CC(=CC(=C1)[N+](=O)[O-])C#N,FXHOOIRPVKKKFG-UHFFFAOYSA-N,RUSAWEHOGCWOPG-UHFFFAOYSA-N
-2.0861138713408844,ClC(Cl)Cl,C1=CC(=CC(=C1)[N+](=O)[O-])C#N,HEDRZPFGACZZDS-UHFFFAOYSA-N,RUSAWEHOGCWOPG-UHFFFAOYSA-N
-1.199409026037351,CS(C)=O,C1=CC(=CC(=C1)[N+](=O)[O-])C#N,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,RUSAWEHOGCWOPG-UHFFFAOYSA-N
-2.5636825878042324,CCCCCCC,C1=CC(=CC(=C1)[N+](=O)[O-])C#N,IMNFDUFMRHMDMM-UHFFFAOYSA-N,RUSAWEHOGCWOPG-UHFFFAOYSA-N
-1.501566409531396,O=C1CCCCC1,C1=CC(=CC(=C1)[N+](=O)[O-])C#N,JHIVVAPYMSGYDF-UHFFFAOYSA-N,RUSAWEHOGCWOPG-UHFFFAOYSA-N
-1.7449307988528262,CC(=O)OC(C)C,C1=CC(=CC(=C1)[N+](=O)[O-])C#N,JMMWKPVZQRWMSS-UHFFFAOYSA-N,RUSAWEHOGCWOPG-UHFFFAOYSA-N
-1.832125862435984,CCCCCCCCO,C1=CC(=CC(=C1)[N+](=O)[O-])C#N,KBPLFHHGFOOTCA-UHFFFAOYSA-N,RUSAWEHOGCWOPG-UHFFFAOYSA-N
-2.2025472279289797,CC(C)O,C1=CC(=CC(=C1)[N+](=O)[O-])C#N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,RUSAWEHOGCWOPG-UHFFFAOYSA-N
-1.5607673516232052,COC(C)=O,C1=CC(=CC(=C1)[N+](=O)[O-])C#N,KXKVLQRXCPHEJC-UHFFFAOYSA-N,RUSAWEHOGCWOPG-UHFFFAOYSA-N
-2.1403751472877577,CCO,C1=CC(=CC(=C1)[N+](=O)[O-])C#N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,RUSAWEHOGCWOPG-UHFFFAOYSA-N
-2.1444965248906,CCCCO,C1=CC(=CC(=C1)[N+](=O)[O-])C#N,LRHPLDYGYMQRHN-UHFFFAOYSA-N,RUSAWEHOGCWOPG-UHFFFAOYSA-N
-2.003912000238288,OCCO,C1=CC(=CC(=C1)[N+](=O)[O-])C#N,LYCAIKOWRPUZTN-UHFFFAOYSA-N,RUSAWEHOGCWOPG-UHFFFAOYSA-N
-2.1689289204306044,Clc1ccccc1,C1=CC(=CC(=C1)[N+](=O)[O-])C#N,MVPPADPHJFYWMZ-UHFFFAOYSA-N,RUSAWEHOGCWOPG-UHFFFAOYSA-N
-2.16155545044262,CO,C1=CC(=CC(=C1)[N+](=O)[O-])C#N,OKKJLVBELUTLKV-UHFFFAOYSA-N,RUSAWEHOGCWOPG-UHFFFAOYSA-N
-2.1207542239978308,CC(C)CCO,C1=CC(=CC(=C1)[N+](=O)[O-])C#N,PHTQWCKDNZKARW-UHFFFAOYSA-N,RUSAWEHOGCWOPG-UHFFFAOYSA-N
-1.7332379917627816,CC(=O)O,C1=CC(=CC(=C1)[N+](=O)[O-])C#N,QTBSBXVTEAMEQO-UHFFFAOYSA-N,RUSAWEHOGCWOPG-UHFFFAOYSA-N
