Solubility Prediction,Solvent_smiles,Molecule_smiles,Solvent_InChIKey,Molecule_InChIKey
-1.7295974541837171,CCCCCO,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,AMQJEAYHLZJPGS-UHFFFAOYSA-N,RWCCWEUUXYIKHB-UHFFFAOYSA-N
-1.5679482727564922,CCCCCCCO,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,BBMCTIGTTCKYKF-UHFFFAOYSA-N,RWCCWEUUXYIKHB-UHFFFAOYSA-N
-1.7480323572841119,CCCO,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,BDERNNFJNOPAEC-UHFFFAOYSA-N,RWCCWEUUXYIKHB-UHFFFAOYSA-N
-2.00621971768867,CCC(C)O,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,BTANRVKWQNVYAZ-UHFFFAOYSA-N,RWCCWEUUXYIKHB-UHFFFAOYSA-N
-1.6653532361829593,COC(C)(C)C,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,BZLVMXJERCGZMT-UHFFFAOYSA-N,RWCCWEUUXYIKHB-UHFFFAOYSA-N
-1.3313214560207616,CC(C)=O,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,CSCPPACGZOOCGX-UHFFFAOYSA-N,RWCCWEUUXYIKHB-UHFFFAOYSA-N
-1.52011758340042,CCCCOC(C)=O,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,DKPFZGUDAPQIHT-UHFFFAOYSA-N,RWCCWEUUXYIKHB-UHFFFAOYSA-N
-1.9432930491541804,CC(O)CO,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,DNIAPMSPPWPWGF-UHFFFAOYSA-N,RWCCWEUUXYIKHB-UHFFFAOYSA-N
-0.9756562776544149,CC(=O)N(C)C,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,FXHOOIRPVKKKFG-UHFFFAOYSA-N,RWCCWEUUXYIKHB-UHFFFAOYSA-N
-1.0922763677321672,ClC(Cl)Cl,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,HEDRZPFGACZZDS-UHFFFAOYSA-N,RWCCWEUUXYIKHB-UHFFFAOYSA-N
-1.177841115018968,CS(C)=O,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,RWCCWEUUXYIKHB-UHFFFAOYSA-N
-1.4509907284848411,CCCCCCC,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,IMNFDUFMRHMDMM-UHFFFAOYSA-N,RWCCWEUUXYIKHB-UHFFFAOYSA-N
-1.2178647924267987,O=C1CCCCC1,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,JHIVVAPYMSGYDF-UHFFFAOYSA-N,RWCCWEUUXYIKHB-UHFFFAOYSA-N
-1.4825952022520084,CC(=O)OC(C)C,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,JMMWKPVZQRWMSS-UHFFFAOYSA-N,RWCCWEUUXYIKHB-UHFFFAOYSA-N
-1.1664526151053443,CCCCCCCCO,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,KBPLFHHGFOOTCA-UHFFFAOYSA-N,RWCCWEUUXYIKHB-UHFFFAOYSA-N
-1.874812836674037,CC(C)O,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,KFZMGEQAYNKOFK-UHFFFAOYSA-N,RWCCWEUUXYIKHB-UHFFFAOYSA-N
-1.4029190995189291,COC(C)=O,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,KXKVLQRXCPHEJC-UHFFFAOYSA-N,RWCCWEUUXYIKHB-UHFFFAOYSA-N
-1.688013142389095,CCO,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,RWCCWEUUXYIKHB-UHFFFAOYSA-N
-1.6908905768911309,CCCCO,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,LRHPLDYGYMQRHN-UHFFFAOYSA-N,RWCCWEUUXYIKHB-UHFFFAOYSA-N
-2.2623528461163622,OCCO,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,LYCAIKOWRPUZTN-UHFFFAOYSA-N,RWCCWEUUXYIKHB-UHFFFAOYSA-N
-1.1589357234734796,Clc1ccccc1,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,MVPPADPHJFYWMZ-UHFFFAOYSA-N,RWCCWEUUXYIKHB-UHFFFAOYSA-N
