Solubility Prediction,Solvent_smiles,Molecule_smiles,Solvent_InChIKey,Molecule_InChIKey
-1.5080477254759561,CCCCCO,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,AMQJEAYHLZJPGS-UHFFFAOYSA-N,SEOVTRFCIGRIMH-UHFFFAOYSA-N
-1.4862564765599064,CCCCCCCO,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,BBMCTIGTTCKYKF-UHFFFAOYSA-N,SEOVTRFCIGRIMH-UHFFFAOYSA-N
-1.576381099605226,CCCO,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,BDERNNFJNOPAEC-UHFFFAOYSA-N,SEOVTRFCIGRIMH-UHFFFAOYSA-N
-1.6398293789612886,CCC(C)O,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,BTANRVKWQNVYAZ-UHFFFAOYSA-N,SEOVTRFCIGRIMH-UHFFFAOYSA-N
-1.7681954029192988,COC(C)(C)C,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,BZLVMXJERCGZMT-UHFFFAOYSA-N,SEOVTRFCIGRIMH-UHFFFAOYSA-N
-1.3950858583019419,CC(C)=O,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,CSCPPACGZOOCGX-UHFFFAOYSA-N,SEOVTRFCIGRIMH-UHFFFAOYSA-N
-1.628636089365718,CCCCOC(C)=O,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,DKPFZGUDAPQIHT-UHFFFAOYSA-N,SEOVTRFCIGRIMH-UHFFFAOYSA-N
-1.7095376445596726,CC(O)CO,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,DNIAPMSPPWPWGF-UHFFFAOYSA-N,SEOVTRFCIGRIMH-UHFFFAOYSA-N
-0.9261871343560445,CC(=O)N(C)C,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,FXHOOIRPVKKKFG-UHFFFAOYSA-N,SEOVTRFCIGRIMH-UHFFFAOYSA-N
-1.49120115883715,ClC(Cl)Cl,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,HEDRZPFGACZZDS-UHFFFAOYSA-N,SEOVTRFCIGRIMH-UHFFFAOYSA-N
-0.9550488577464854,CS(C)=O,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,SEOVTRFCIGRIMH-UHFFFAOYSA-N
