Solubility Prediction,Solvent_smiles,Molecule_smiles,Solvent_InChIKey,Molecule_InChIKey
-1.6388120533331942,CCCCCO,CC1=NC(=NC2=CC=CC=C12)CCl,AMQJEAYHLZJPGS-UHFFFAOYSA-N,UHCUBOJGMLASBY-UHFFFAOYSA-N
-1.486846604129409,CCCCCCCO,CC1=NC(=NC2=CC=CC=C12)CCl,BBMCTIGTTCKYKF-UHFFFAOYSA-N,UHCUBOJGMLASBY-UHFFFAOYSA-N
-1.685135654352328,CCCO,CC1=NC(=NC2=CC=CC=C12)CCl,BDERNNFJNOPAEC-UHFFFAOYSA-N,UHCUBOJGMLASBY-UHFFFAOYSA-N
-1.7784046408768817,CCC(C)O,CC1=NC(=NC2=CC=CC=C12)CCl,BTANRVKWQNVYAZ-UHFFFAOYSA-N,UHCUBOJGMLASBY-UHFFFAOYSA-N
-1.8665264738262355,COC(C)(C)C,CC1=NC(=NC2=CC=CC=C12)CCl,BZLVMXJERCGZMT-UHFFFAOYSA-N,UHCUBOJGMLASBY-UHFFFAOYSA-N
-1.4191302774321823,CC(C)=O,CC1=NC(=NC2=CC=CC=C12)CCl,CSCPPACGZOOCGX-UHFFFAOYSA-N,UHCUBOJGMLASBY-UHFFFAOYSA-N
-1.485190991098263,CCCCOC(C)=O,CC1=NC(=NC2=CC=CC=C12)CCl,DKPFZGUDAPQIHT-UHFFFAOYSA-N,UHCUBOJGMLASBY-UHFFFAOYSA-N
-1.5809875357779803,CC(O)CO,CC1=NC(=NC2=CC=CC=C12)CCl,DNIAPMSPPWPWGF-UHFFFAOYSA-N,UHCUBOJGMLASBY-UHFFFAOYSA-N
-1.3284124722804782,CC(=O)N(C)C,CC1=NC(=NC2=CC=CC=C12)CCl,FXHOOIRPVKKKFG-UHFFFAOYSA-N,UHCUBOJGMLASBY-UHFFFAOYSA-N
-1.4188241239185404,ClC(Cl)Cl,CC1=NC(=NC2=CC=CC=C12)CCl,HEDRZPFGACZZDS-UHFFFAOYSA-N,UHCUBOJGMLASBY-UHFFFAOYSA-N
-1.4278045223456075,CS(C)=O,CC1=NC(=NC2=CC=CC=C12)CCl,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,UHCUBOJGMLASBY-UHFFFAOYSA-N
-1.7797231624852556,CCCCCCC,CC1=NC(=NC2=CC=CC=C12)CCl,IMNFDUFMRHMDMM-UHFFFAOYSA-N,UHCUBOJGMLASBY-UHFFFAOYSA-N
-1.199827408442023,O=C1CCCCC1,CC1=NC(=NC2=CC=CC=C12)CCl,JHIVVAPYMSGYDF-UHFFFAOYSA-N,UHCUBOJGMLASBY-UHFFFAOYSA-N
-1.466267969545676,CC(=O)OC(C)C,CC1=NC(=NC2=CC=CC=C12)CCl,JMMWKPVZQRWMSS-UHFFFAOYSA-N,UHCUBOJGMLASBY-UHFFFAOYSA-N
-1.3695594429459146,CCCCCCCCO,CC1=NC(=NC2=CC=CC=C12)CCl,KBPLFHHGFOOTCA-UHFFFAOYSA-N,UHCUBOJGMLASBY-UHFFFAOYSA-N
-1.743758865903905,CC(C)O,CC1=NC(=NC2=CC=CC=C12)CCl,KFZMGEQAYNKOFK-UHFFFAOYSA-N,UHCUBOJGMLASBY-UHFFFAOYSA-N
-1.3563927503332656,COC(C)=O,CC1=NC(=NC2=CC=CC=C12)CCl,KXKVLQRXCPHEJC-UHFFFAOYSA-N,UHCUBOJGMLASBY-UHFFFAOYSA-N
-1.6167506885966594,CCO,CC1=NC(=NC2=CC=CC=C12)CCl,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,UHCUBOJGMLASBY-UHFFFAOYSA-N
-1.7200076885171427,CCCCO,CC1=NC(=NC2=CC=CC=C12)CCl,LRHPLDYGYMQRHN-UHFFFAOYSA-N,UHCUBOJGMLASBY-UHFFFAOYSA-N
-2.0174704635724385,OCCO,CC1=NC(=NC2=CC=CC=C12)CCl,LYCAIKOWRPUZTN-UHFFFAOYSA-N,UHCUBOJGMLASBY-UHFFFAOYSA-N
-1.5227787849900574,Clc1ccccc1,CC1=NC(=NC2=CC=CC=C12)CCl,MVPPADPHJFYWMZ-UHFFFAOYSA-N,UHCUBOJGMLASBY-UHFFFAOYSA-N
-1.5382589606121102,CO,CC1=NC(=NC2=CC=CC=C12)CCl,OKKJLVBELUTLKV-UHFFFAOYSA-N,UHCUBOJGMLASBY-UHFFFAOYSA-N
-1.6537814961108068,CC(C)CCO,CC1=NC(=NC2=CC=CC=C12)CCl,PHTQWCKDNZKARW-UHFFFAOYSA-N,UHCUBOJGMLASBY-UHFFFAOYSA-N
-1.6670499419848475,CC(=O)O,CC1=NC(=NC2=CC=CC=C12)CCl,QTBSBXVTEAMEQO-UHFFFAOYSA-N,UHCUBOJGMLASBY-UHFFFAOYSA-N
-1.8174600476100022,CCOCC,CC1=NC(=NC2=CC=CC=C12)CCl,RTZKZFJDLAIYFH-UHFFFAOYSA-N,UHCUBOJGMLASBY-UHFFFAOYSA-N
-1.4244252698035111,C1COCCO1,CC1=NC(=NC2=CC=CC=C12)CCl,RYHBNJHYFVUHQT-UHFFFAOYSA-N,UHCUBOJGMLASBY-UHFFFAOYSA-N
-1.2426494432031616,CN1CCCC1=O,CC1=NC(=NC2=CC=CC=C12)CCl,SECXISVLQFMRJM-UHFFFAOYSA-N,UHCUBOJGMLASBY-UHFFFAOYSA-N
-1.792335293825418,c1ccccc1,CC1=NC(=NC2=CC=CC=C12)CCl,UHOVQNZJYSORNB-UHFFFAOYSA-N,UHCUBOJGMLASBY-UHFFFAOYSA-N
