Solubility Prediction,Solvent_smiles,Molecule_smiles,Solvent_InChIKey,Molecule_InChIKey
-1.923492073460779,CCCCCO,CC1=C(C(=CC=C1)C(=O)O)N,AMQJEAYHLZJPGS-UHFFFAOYSA-N,WNAJXPYVTFYEST-UHFFFAOYSA-N
-1.9476241108050352,CCCCCCCO,CC1=C(C(=CC=C1)C(=O)O)N,BBMCTIGTTCKYKF-UHFFFAOYSA-N,WNAJXPYVTFYEST-UHFFFAOYSA-N
-1.879871521833903,CCCO,CC1=C(C(=CC=C1)C(=O)O)N,BDERNNFJNOPAEC-UHFFFAOYSA-N,WNAJXPYVTFYEST-UHFFFAOYSA-N
-2.0410987756844805,CCC(C)O,CC1=C(C(=CC=C1)C(=O)O)N,BTANRVKWQNVYAZ-UHFFFAOYSA-N,WNAJXPYVTFYEST-UHFFFAOYSA-N
-2.2215029766658874,COC(C)(C)C,CC1=C(C(=CC=C1)C(=O)O)N,BZLVMXJERCGZMT-UHFFFAOYSA-N,WNAJXPYVTFYEST-UHFFFAOYSA-N
-1.6668569731105405,CC(C)=O,CC1=C(C(=CC=C1)C(=O)O)N,CSCPPACGZOOCGX-UHFFFAOYSA-N,WNAJXPYVTFYEST-UHFFFAOYSA-N
-2.0878643717787533,CCCCOC(C)=O,CC1=C(C(=CC=C1)C(=O)O)N,DKPFZGUDAPQIHT-UHFFFAOYSA-N,WNAJXPYVTFYEST-UHFFFAOYSA-N
-1.9885295097409823,CC(O)CO,CC1=C(C(=CC=C1)C(=O)O)N,DNIAPMSPPWPWGF-UHFFFAOYSA-N,WNAJXPYVTFYEST-UHFFFAOYSA-N
-1.1644346904472678,CC(=O)N(C)C,CC1=C(C(=CC=C1)C(=O)O)N,FXHOOIRPVKKKFG-UHFFFAOYSA-N,WNAJXPYVTFYEST-UHFFFAOYSA-N
-2.377518517113275,ClC(Cl)Cl,CC1=C(C(=CC=C1)C(=O)O)N,HEDRZPFGACZZDS-UHFFFAOYSA-N,WNAJXPYVTFYEST-UHFFFAOYSA-N
-1.1375986689461195,CS(C)=O,CC1=C(C(=CC=C1)C(=O)O)N,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,WNAJXPYVTFYEST-UHFFFAOYSA-N
-3.351428796223408,CCCCCCC,CC1=C(C(=CC=C1)C(=O)O)N,IMNFDUFMRHMDMM-UHFFFAOYSA-N,WNAJXPYVTFYEST-UHFFFAOYSA-N
