Solubility Prediction,Solvent_smiles,Molecule_smiles,Solvent_InChIKey,Molecule_InChIKey
-1.689649205274364,CCCCCO,C1=CC(=C(C(=C1)[N+](=O)[O-])O)C(=O)O,AMQJEAYHLZJPGS-UHFFFAOYSA-N,WWWFHFGUOIQNJC-UHFFFAOYSA-N
-1.4455447451102292,CCCCCCCO,C1=CC(=C(C(=C1)[N+](=O)[O-])O)C(=O)O,BBMCTIGTTCKYKF-UHFFFAOYSA-N,WWWFHFGUOIQNJC-UHFFFAOYSA-N
-1.5128247241373873,CCCO,C1=CC(=C(C(=C1)[N+](=O)[O-])O)C(=O)O,BDERNNFJNOPAEC-UHFFFAOYSA-N,WWWFHFGUOIQNJC-UHFFFAOYSA-N
-1.5637846891388496,CCC(C)O,C1=CC(=C(C(=C1)[N+](=O)[O-])O)C(=O)O,BTANRVKWQNVYAZ-UHFFFAOYSA-N,WWWFHFGUOIQNJC-UHFFFAOYSA-N
-1.8100789399830157,COC(C)(C)C,C1=CC(=C(C(=C1)[N+](=O)[O-])O)C(=O)O,BZLVMXJERCGZMT-UHFFFAOYSA-N,WWWFHFGUOIQNJC-UHFFFAOYSA-N
-1.508992934984658,CC(C)=O,C1=CC(=C(C(=C1)[N+](=O)[O-])O)C(=O)O,CSCPPACGZOOCGX-UHFFFAOYSA-N,WWWFHFGUOIQNJC-UHFFFAOYSA-N
-1.994596295784073,CCCCOC(C)=O,C1=CC(=C(C(=C1)[N+](=O)[O-])O)C(=O)O,DKPFZGUDAPQIHT-UHFFFAOYSA-N,WWWFHFGUOIQNJC-UHFFFAOYSA-N
-1.7376254409819971,CC(O)CO,C1=CC(=C(C(=C1)[N+](=O)[O-])O)C(=O)O,DNIAPMSPPWPWGF-UHFFFAOYSA-N,WWWFHFGUOIQNJC-UHFFFAOYSA-N
-1.2312872701539233,CC(=O)N(C)C,C1=CC(=C(C(=C1)[N+](=O)[O-])O)C(=O)O,FXHOOIRPVKKKFG-UHFFFAOYSA-N,WWWFHFGUOIQNJC-UHFFFAOYSA-N
-2.25703254885731,ClC(Cl)Cl,C1=CC(=C(C(=C1)[N+](=O)[O-])O)C(=O)O,HEDRZPFGACZZDS-UHFFFAOYSA-N,WWWFHFGUOIQNJC-UHFFFAOYSA-N
-1.3898377407873261,CS(C)=O,C1=CC(=C(C(=C1)[N+](=O)[O-])O)C(=O)O,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,WWWFHFGUOIQNJC-UHFFFAOYSA-N
-2.7683823263035925,CCCCCCC,C1=CC(=C(C(=C1)[N+](=O)[O-])O)C(=O)O,IMNFDUFMRHMDMM-UHFFFAOYSA-N,WWWFHFGUOIQNJC-UHFFFAOYSA-N
-1.492926834245731,O=C1CCCCC1,C1=CC(=C(C(=C1)[N+](=O)[O-])O)C(=O)O,JHIVVAPYMSGYDF-UHFFFAOYSA-N,WWWFHFGUOIQNJC-UHFFFAOYSA-N
-1.874397656600529,CC(=O)OC(C)C,C1=CC(=C(C(=C1)[N+](=O)[O-])O)C(=O)O,JMMWKPVZQRWMSS-UHFFFAOYSA-N,WWWFHFGUOIQNJC-UHFFFAOYSA-N
-1.7690204314550069,CCCCCCCCO,C1=CC(=C(C(=C1)[N+](=O)[O-])O)C(=O)O,KBPLFHHGFOOTCA-UHFFFAOYSA-N,WWWFHFGUOIQNJC-UHFFFAOYSA-N
-1.5511244336458048,CC(C)O,C1=CC(=C(C(=C1)[N+](=O)[O-])O)C(=O)O,KFZMGEQAYNKOFK-UHFFFAOYSA-N,WWWFHFGUOIQNJC-UHFFFAOYSA-N
-1.7698704519871755,COC(C)=O,C1=CC(=C(C(=C1)[N+](=O)[O-])O)C(=O)O,KXKVLQRXCPHEJC-UHFFFAOYSA-N,WWWFHFGUOIQNJC-UHFFFAOYSA-N
-1.5824290205891143,CCO,C1=CC(=C(C(=C1)[N+](=O)[O-])O)C(=O)O,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,WWWFHFGUOIQNJC-UHFFFAOYSA-N
