Solubility Prediction,Solvent_smiles,Molecule_smiles,Solvent_InChIKey,Molecule_InChIKey
-1.0518325261988901,CCCCCO,C1=CC=C2C(=C1)NC(=N2)S,AMQJEAYHLZJPGS-UHFFFAOYSA-N,YHMYGUUIMTVXNW-UHFFFAOYSA-N
-1.0578962787882986,CCCCCCCO,C1=CC=C2C(=C1)NC(=N2)S,BBMCTIGTTCKYKF-UHFFFAOYSA-N,YHMYGUUIMTVXNW-UHFFFAOYSA-N
-1.068698465341931,CCCO,C1=CC=C2C(=C1)NC(=N2)S,BDERNNFJNOPAEC-UHFFFAOYSA-N,YHMYGUUIMTVXNW-UHFFFAOYSA-N
-1.1867205814431567,CCC(C)O,C1=CC=C2C(=C1)NC(=N2)S,BTANRVKWQNVYAZ-UHFFFAOYSA-N,YHMYGUUIMTVXNW-UHFFFAOYSA-N
-1.4633060243011722,COC(C)(C)C,C1=CC=C2C(=C1)NC(=N2)S,BZLVMXJERCGZMT-UHFFFAOYSA-N,YHMYGUUIMTVXNW-UHFFFAOYSA-N
-1.4079870147423459,CC(C)=O,C1=CC=C2C(=C1)NC(=N2)S,CSCPPACGZOOCGX-UHFFFAOYSA-N,YHMYGUUIMTVXNW-UHFFFAOYSA-N
-1.2125774376116865,CCCCOC(C)=O,C1=CC=C2C(=C1)NC(=N2)S,DKPFZGUDAPQIHT-UHFFFAOYSA-N,YHMYGUUIMTVXNW-UHFFFAOYSA-N
-1.3300068040255306,CC(O)CO,C1=CC=C2C(=C1)NC(=N2)S,DNIAPMSPPWPWGF-UHFFFAOYSA-N,YHMYGUUIMTVXNW-UHFFFAOYSA-N
-1.052489579231891,CC(=O)N(C)C,C1=CC=C2C(=C1)NC(=N2)S,FXHOOIRPVKKKFG-UHFFFAOYSA-N,YHMYGUUIMTVXNW-UHFFFAOYSA-N
-1.369342793406574,ClC(Cl)Cl,C1=CC=C2C(=C1)NC(=N2)S,HEDRZPFGACZZDS-UHFFFAOYSA-N,YHMYGUUIMTVXNW-UHFFFAOYSA-N
-1.2059431801555247,CS(C)=O,C1=CC=C2C(=C1)NC(=N2)S,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,YHMYGUUIMTVXNW-UHFFFAOYSA-N
-1.7537503339970464,CCCCCCC,C1=CC=C2C(=C1)NC(=N2)S,IMNFDUFMRHMDMM-UHFFFAOYSA-N,YHMYGUUIMTVXNW-UHFFFAOYSA-N
-1.1808552615409962,O=C1CCCCC1,C1=CC=C2C(=C1)NC(=N2)S,JHIVVAPYMSGYDF-UHFFFAOYSA-N,YHMYGUUIMTVXNW-UHFFFAOYSA-N
-1.2704654643785758,CC(=O)OC(C)C,C1=CC=C2C(=C1)NC(=N2)S,JMMWKPVZQRWMSS-UHFFFAOYSA-N,YHMYGUUIMTVXNW-UHFFFAOYSA-N
-0.9619595940364045,CCCCCCCCO,C1=CC=C2C(=C1)NC(=N2)S,KBPLFHHGFOOTCA-UHFFFAOYSA-N,YHMYGUUIMTVXNW-UHFFFAOYSA-N
-1.2283235962926498,CC(C)O,C1=CC=C2C(=C1)NC(=N2)S,KFZMGEQAYNKOFK-UHFFFAOYSA-N,YHMYGUUIMTVXNW-UHFFFAOYSA-N
