Solubility Prediction,Solvent_smiles,Molecule_smiles,Solvent_InChIKey,Molecule_InChIKey
-0.9675483758640816,CCCCCO,C1=CC=C2C(=C1)N=C(S2)S,AMQJEAYHLZJPGS-UHFFFAOYSA-N,YXIWHUQXZSMYRE-UHFFFAOYSA-N
-0.8106517805775767,CCCCCCCO,C1=CC=C2C(=C1)N=C(S2)S,BBMCTIGTTCKYKF-UHFFFAOYSA-N,YXIWHUQXZSMYRE-UHFFFAOYSA-N
-0.7675676299246053,CCCO,C1=CC=C2C(=C1)N=C(S2)S,BDERNNFJNOPAEC-UHFFFAOYSA-N,YXIWHUQXZSMYRE-UHFFFAOYSA-N
-1.0283092709781156,CCC(C)O,C1=CC=C2C(=C1)N=C(S2)S,BTANRVKWQNVYAZ-UHFFFAOYSA-N,YXIWHUQXZSMYRE-UHFFFAOYSA-N
-1.344147042175875,COC(C)(C)C,C1=CC=C2C(=C1)N=C(S2)S,BZLVMXJERCGZMT-UHFFFAOYSA-N,YXIWHUQXZSMYRE-UHFFFAOYSA-N
-0.8885356277596831,CC(C)=O,C1=CC=C2C(=C1)N=C(S2)S,CSCPPACGZOOCGX-UHFFFAOYSA-N,YXIWHUQXZSMYRE-UHFFFAOYSA-N
-0.9055619454536341,CCCCOC(C)=O,C1=CC=C2C(=C1)N=C(S2)S,DKPFZGUDAPQIHT-UHFFFAOYSA-N,YXIWHUQXZSMYRE-UHFFFAOYSA-N
-0.9065847343620387,CC(O)CO,C1=CC=C2C(=C1)N=C(S2)S,DNIAPMSPPWPWGF-UHFFFAOYSA-N,YXIWHUQXZSMYRE-UHFFFAOYSA-N
-0.6041960248970206,CC(=O)N(C)C,C1=CC=C2C(=C1)N=C(S2)S,FXHOOIRPVKKKFG-UHFFFAOYSA-N,YXIWHUQXZSMYRE-UHFFFAOYSA-N
-0.8339946695035904,ClC(Cl)Cl,C1=CC=C2C(=C1)N=C(S2)S,HEDRZPFGACZZDS-UHFFFAOYSA-N,YXIWHUQXZSMYRE-UHFFFAOYSA-N
-1.033198929998924,CS(C)=O,C1=CC=C2C(=C1)N=C(S2)S,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,YXIWHUQXZSMYRE-UHFFFAOYSA-N
-1.4754370290138117,CCCCCCC,C1=CC=C2C(=C1)N=C(S2)S,IMNFDUFMRHMDMM-UHFFFAOYSA-N,YXIWHUQXZSMYRE-UHFFFAOYSA-N
-0.8655347677220606,O=C1CCCCC1,C1=CC=C2C(=C1)N=C(S2)S,JHIVVAPYMSGYDF-UHFFFAOYSA-N,YXIWHUQXZSMYRE-UHFFFAOYSA-N
-0.9946767402998146,CC(=O)OC(C)C,C1=CC=C2C(=C1)N=C(S2)S,JMMWKPVZQRWMSS-UHFFFAOYSA-N,YXIWHUQXZSMYRE-UHFFFAOYSA-N
-0.7135210746334956,CCCCCCCCO,C1=CC=C2C(=C1)N=C(S2)S,KBPLFHHGFOOTCA-UHFFFAOYSA-N,YXIWHUQXZSMYRE-UHFFFAOYSA-N
-1.1101105556837636,CC(C)O,C1=CC=C2C(=C1)N=C(S2)S,KFZMGEQAYNKOFK-UHFFFAOYSA-N,YXIWHUQXZSMYRE-UHFFFAOYSA-N
-0.9444610520177108,COC(C)=O,C1=CC=C2C(=C1)N=C(S2)S,KXKVLQRXCPHEJC-UHFFFAOYSA-N,YXIWHUQXZSMYRE-UHFFFAOYSA-N
-1.055251203877804,CCO,C1=CC=C2C(=C1)N=C(S2)S,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,YXIWHUQXZSMYRE-UHFFFAOYSA-N
-0.8252980103093014,CCCCO,C1=CC=C2C(=C1)N=C(S2)S,LRHPLDYGYMQRHN-UHFFFAOYSA-N,YXIWHUQXZSMYRE-UHFFFAOYSA-N
-1.2653972265095126,OCCO,C1=CC=C2C(=C1)N=C(S2)S,LYCAIKOWRPUZTN-UHFFFAOYSA-N,YXIWHUQXZSMYRE-UHFFFAOYSA-N
