,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
4018,O=C1NC23NC(=O)NC2(N1)C(=O)NC3=O,C1CCOC1,AHUNJJIFFINZDV-UHFFFAOYSA-N,WYURNTSHIVDZCO-UHFFFAOYSA-N,-2.82168506516784,298.15
4019,O=C1NC23NC(=O)NC2(N1)C(=O)NC3=O,C1COCCO1,AHUNJJIFFINZDV-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,-3.344189505504748,298.15
4020,O=C1NC23NC(=O)NC2(N1)C(=O)NC3=O,CC#N,AHUNJJIFFINZDV-UHFFFAOYSA-N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,-4.560667306169737,298.15
4021,O=C1NC23NC(=O)NC2(N1)C(=O)NC3=O,CC(C)=O,AHUNJJIFFINZDV-UHFFFAOYSA-N,CSCPPACGZOOCGX-UHFFFAOYSA-N,-3.884389488325701,298.15
4022,O=C1NC23NC(=O)NC2(N1)C(=O)NC3=O,CC(C)O,AHUNJJIFFINZDV-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-3.546528766277064,298.15
4023,O=C1NC23NC(=O)NC2(N1)C(=O)NC3=O,CCCO,AHUNJJIFFINZDV-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-4.090443970758825,298.15
4024,O=C1NC23NC(=O)NC2(N1)C(=O)NC3=O,CCO,AHUNJJIFFINZDV-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-3.769040444251431,298.15
4025,O=C1NC23NC(=O)NC2(N1)C(=O)NC3=O,CCOC(C)=O,AHUNJJIFFINZDV-UHFFFAOYSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,-3.9072793553159006,298.15
4026,O=C1NC23NC(=O)NC2(N1)C(=O)NC3=O,CO,AHUNJJIFFINZDV-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,-2.387937034544978,298.15
4027,O=C1NC23NC(=O)NC2(N1)C(=O)NC3=O,Cc1ccccc1,AHUNJJIFFINZDV-UHFFFAOYSA-N,YXFVVABEGXRONW-UHFFFAOYSA-N,-4.978810700930062,298.15
4028,O=C1NC23NC(=O)NC2(N1)C(=O)NC3=O,OCCO,AHUNJJIFFINZDV-UHFFFAOYSA-N,LYCAIKOWRPUZTN-UHFFFAOYSA-N,-3.2877713303804645,298.15
