,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
2459,Clc1ncnc2[nH]ccc12,C1CCOC1,BPTCCCTWWAUJRK-UHFFFAOYSA-N,WYURNTSHIVDZCO-UHFFFAOYSA-N,-1.1909118686536535,298.15
2460,Clc1ncnc2[nH]ccc12,CC#N,BPTCCCTWWAUJRK-UHFFFAOYSA-N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,-2.2992962828549808,298.15
2461,Clc1ncnc2[nH]ccc12,CC(C)=O,BPTCCCTWWAUJRK-UHFFFAOYSA-N,CSCPPACGZOOCGX-UHFFFAOYSA-N,-1.624153563690844,298.15
2462,Clc1ncnc2[nH]ccc12,CC(C)O,BPTCCCTWWAUJRK-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-1.7599502278873524,298.15
2463,Clc1ncnc2[nH]ccc12,CCCCCC,BPTCCCTWWAUJRK-UHFFFAOYSA-N,VLKZOEOYAKHREP-UHFFFAOYSA-N,-2.9746941347352296,298.15
2464,Clc1ncnc2[nH]ccc12,CCCCCCC,BPTCCCTWWAUJRK-UHFFFAOYSA-N,IMNFDUFMRHMDMM-UHFFFAOYSA-N,-2.8239087409443187,298.15
2465,Clc1ncnc2[nH]ccc12,CCCCO,BPTCCCTWWAUJRK-UHFFFAOYSA-N,LRHPLDYGYMQRHN-UHFFFAOYSA-N,-1.6946486305533763,298.15
2466,Clc1ncnc2[nH]ccc12,CCCO,BPTCCCTWWAUJRK-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-1.7442452133569557,298.15
2467,Clc1ncnc2[nH]ccc12,CCO,BPTCCCTWWAUJRK-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-1.8210230527068303,298.15
2468,Clc1ncnc2[nH]ccc12,CCOC(C)=O,BPTCCCTWWAUJRK-UHFFFAOYSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,-1.6609462642908608,298.15
2469,Clc1ncnc2[nH]ccc12,CO,BPTCCCTWWAUJRK-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,-1.886390848926972,298.15
2470,Clc1ncnc2[nH]ccc12,Cc1ccccc1,BPTCCCTWWAUJRK-UHFFFAOYSA-N,YXFVVABEGXRONW-UHFFFAOYSA-N,-2.7304870557820835,298.15
