,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
3713,O=C(O)c1cccc(O)c1O,CC#N,GLDQAMYCGOIJDV-UHFFFAOYSA-N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,-1.88706002391592,298.15
3714,O=C(O)c1cccc(O)c1O,CC(=O)OC(C)C,GLDQAMYCGOIJDV-UHFFFAOYSA-N,JMMWKPVZQRWMSS-UHFFFAOYSA-N,-1.245728131316541,298.15
3715,O=C(O)c1cccc(O)c1O,CC(C)=O,GLDQAMYCGOIJDV-UHFFFAOYSA-N,CSCPPACGZOOCGX-UHFFFAOYSA-N,-0.9665762445130504,298.15
3716,O=C(O)c1cccc(O)c1O,CC(C)CCO,GLDQAMYCGOIJDV-UHFFFAOYSA-N,PHTQWCKDNZKARW-UHFFFAOYSA-N,-1.149108815864076,298.15
3717,O=C(O)c1cccc(O)c1O,CC(C)O,GLDQAMYCGOIJDV-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-1.056011124926228,298.15
3718,O=C(O)c1cccc(O)c1O,CCCCO,GLDQAMYCGOIJDV-UHFFFAOYSA-N,LRHPLDYGYMQRHN-UHFFFAOYSA-N,-1.1159413529060616,298.15
3719,O=C(O)c1cccc(O)c1O,CCCO,GLDQAMYCGOIJDV-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-1.1033635694704158,298.15
3720,O=C(O)c1cccc(O)c1O,CCCOC(C)=O,GLDQAMYCGOIJDV-UHFFFAOYSA-N,YKYONYBAUNKHLG-UHFFFAOYSA-N,-1.24841299491769,298.15
3721,O=C(O)c1cccc(O)c1O,CCO,GLDQAMYCGOIJDV-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-1.025028005701931,298.15
3722,O=C(O)c1cccc(O)c1O,CCOC(C)=O,GLDQAMYCGOIJDV-UHFFFAOYSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,-1.2290743853610009,298.15
3723,O=C(O)c1cccc(O)c1O,CCOC=O,GLDQAMYCGOIJDV-UHFFFAOYSA-N,WBJINCZRORDGAQ-UHFFFAOYSA-N,-1.520856752021387,298.15
3724,O=C(O)c1cccc(O)c1O,COC(C)=O,GLDQAMYCGOIJDV-UHFFFAOYSA-N,KXKVLQRXCPHEJC-UHFFFAOYSA-N,-1.2259942697417905,298.15
