,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
3957,O=C1Cc2ccccc2N1,C1CCOC1,JYGFTBXVXVMTGB-UHFFFAOYSA-N,WYURNTSHIVDZCO-UHFFFAOYSA-N,-1.8737391577479166,298.48333333333335
3958,O=C1Cc2ccccc2N1,C1COCCO1,JYGFTBXVXVMTGB-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,-0.456831867889986,298.15
3959,O=C1Cc2ccccc2N1,CC#N,JYGFTBXVXVMTGB-UHFFFAOYSA-N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,-1.093502221266097,298.15
3960,O=C1Cc2ccccc2N1,CC(C)=O,JYGFTBXVXVMTGB-UHFFFAOYSA-N,CSCPPACGZOOCGX-UHFFFAOYSA-N,-1.185465391284258,296.70000000000005
3961,O=C1Cc2ccccc2N1,CC(C)O,JYGFTBXVXVMTGB-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-1.9758282046915276,300.5
3962,O=C1Cc2ccccc2N1,CCCCO,JYGFTBXVXVMTGB-UHFFFAOYSA-N,LRHPLDYGYMQRHN-UHFFFAOYSA-N,-2.4263416965628077,298.48333333333335
3963,O=C1Cc2ccccc2N1,CCCO,JYGFTBXVXVMTGB-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-1.3018919197899514,301.20000000000005
3964,O=C1Cc2ccccc2N1,CCO,JYGFTBXVXVMTGB-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-1.8009007880745322,300.45
3965,O=C1Cc2ccccc2N1,CCOC(C)=O,JYGFTBXVXVMTGB-UHFFFAOYSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,-0.7542488367818838,298.15
3966,O=C1Cc2ccccc2N1,CO,JYGFTBXVXVMTGB-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,-2.2061059169676533,300.45
3967,O=C1Cc2ccccc2N1,Cc1ccccc1,JYGFTBXVXVMTGB-UHFFFAOYSA-N,YXFVVABEGXRONW-UHFFFAOYSA-N,-2.1887491696284753,300.45
3968,O=C1Cc2ccccc2N1,ClCCl,JYGFTBXVXVMTGB-UHFFFAOYSA-N,YMWUJEATGCHHMB-UHFFFAOYSA-N,-1.3611646162697364,298.15
