,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
2864,NS(=O)(=O)c1ccccc1,CC#N,KHBQMWCZKVMBLN-UHFFFAOYSA-N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,-1.2164789609225615,296.05
2865,NS(=O)(=O)c1ccccc1,CC(C)=O,KHBQMWCZKVMBLN-UHFFFAOYSA-N,CSCPPACGZOOCGX-UHFFFAOYSA-N,-0.8227432361867112,296.05
2866,NS(=O)(=O)c1ccccc1,CC(C)CCO,KHBQMWCZKVMBLN-UHFFFAOYSA-N,PHTQWCKDNZKARW-UHFFFAOYSA-N,-2.047394296484364,296.45
2867,NS(=O)(=O)c1ccccc1,CC(C)CO,KHBQMWCZKVMBLN-UHFFFAOYSA-N,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,-2.0472468144353577,296.45
2868,NS(=O)(=O)c1ccccc1,CC(C)O,KHBQMWCZKVMBLN-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-1.8079065651017958,296.45
2869,NS(=O)(=O)c1ccccc1,CCCCCO,KHBQMWCZKVMBLN-UHFFFAOYSA-N,AMQJEAYHLZJPGS-UHFFFAOYSA-N,-2.0016697512087123,296.45
2870,NS(=O)(=O)c1ccccc1,CCCCO,KHBQMWCZKVMBLN-UHFFFAOYSA-N,LRHPLDYGYMQRHN-UHFFFAOYSA-N,-1.9133845692688891,296.45
2871,NS(=O)(=O)c1ccccc1,CCCO,KHBQMWCZKVMBLN-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-1.7998899306131604,296.45
2872,NS(=O)(=O)c1ccccc1,CCO,KHBQMWCZKVMBLN-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-1.5479816803217004,296.05
2873,NS(=O)(=O)c1ccccc1,CCOC(C)=O,KHBQMWCZKVMBLN-UHFFFAOYSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,-1.3084148406018086,296.05
2874,NS(=O)(=O)c1ccccc1,CCOC=O,KHBQMWCZKVMBLN-UHFFFAOYSA-N,WBJINCZRORDGAQ-UHFFFAOYSA-N,-1.5122372705216784,296.05
2875,NS(=O)(=O)c1ccccc1,CO,KHBQMWCZKVMBLN-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,-1.3040725287315071,296.05
2876,NS(=O)(=O)c1ccccc1,COC(C)=O,KHBQMWCZKVMBLN-UHFFFAOYSA-N,KXKVLQRXCPHEJC-UHFFFAOYSA-N,-1.1935260372582175,296.05
2877,NS(=O)(=O)c1ccccc1,ClCCl,KHBQMWCZKVMBLN-UHFFFAOYSA-N,YMWUJEATGCHHMB-UHFFFAOYSA-N,-2.4241157188967035,296.05
2879,NS(=O)(=O)c1ccccc1,O=C1CCCCC1,KHBQMWCZKVMBLN-UHFFFAOYSA-N,JHIVVAPYMSGYDF-UHFFFAOYSA-N,-0.8340799322258778,296.45
