,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
3233,Nc1nc(N)nc(NC2CC2)n1,CC(=O)O,LVQDKIWDGQRHTE-UHFFFAOYSA-N,QTBSBXVTEAMEQO-UHFFFAOYSA-N,-1.810790510417694,298.15
3234,Nc1nc(N)nc(NC2CC2)n1,CC(C)=O,LVQDKIWDGQRHTE-UHFFFAOYSA-N,CSCPPACGZOOCGX-UHFFFAOYSA-N,-3.148619332034403,298.15
3235,Nc1nc(N)nc(NC2CC2)n1,CC(C)CCO,LVQDKIWDGQRHTE-UHFFFAOYSA-N,PHTQWCKDNZKARW-UHFFFAOYSA-N,-3.060680468921762,298.15
3236,Nc1nc(N)nc(NC2CC2)n1,CC(C)CO,LVQDKIWDGQRHTE-UHFFFAOYSA-N,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,-3.153601026965325,298.15
3237,Nc1nc(N)nc(NC2CC2)n1,CC(C)O,LVQDKIWDGQRHTE-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-3.1241866111602423,298.15
3239,Nc1nc(N)nc(NC2CC2)n1,CCC(C)O,LVQDKIWDGQRHTE-UHFFFAOYSA-N,BTANRVKWQNVYAZ-UHFFFAOYSA-N,-3.235674394374016,298.15
3240,Nc1nc(N)nc(NC2CC2)n1,CCCCCCCO,LVQDKIWDGQRHTE-UHFFFAOYSA-N,BBMCTIGTTCKYKF-UHFFFAOYSA-N,-3.25476901547186,298.15
3241,Nc1nc(N)nc(NC2CC2)n1,CCCCCCO,LVQDKIWDGQRHTE-UHFFFAOYSA-N,ZSIAUFGUXNUGDI-UHFFFAOYSA-N,-2.999132278468773,298.15
3242,Nc1nc(N)nc(NC2CC2)n1,CCCCCO,LVQDKIWDGQRHTE-UHFFFAOYSA-N,AMQJEAYHLZJPGS-UHFFFAOYSA-N,-2.9244530386074694,298.15
3243,Nc1nc(N)nc(NC2CC2)n1,CCCCO,LVQDKIWDGQRHTE-UHFFFAOYSA-N,LRHPLDYGYMQRHN-UHFFFAOYSA-N,-2.9006647223140423,298.15
3244,Nc1nc(N)nc(NC2CC2)n1,CCCO,LVQDKIWDGQRHTE-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-2.8677403104689554,298.15
3245,Nc1nc(N)nc(NC2CC2)n1,CCO,LVQDKIWDGQRHTE-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-2.827689031478046,298.15
3246,Nc1nc(N)nc(NC2CC2)n1,CO,LVQDKIWDGQRHTE-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,-2.5547072305740284,298.15
