,solute_smiles,solvent_smiles,solute_InChIKey,solvent_InChIKey,experimental_logX,temperature
4419,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,C1CCCCC1,NTBYINQTYWZXLH-UHFFFAOYSA-N,XDTMQSROBMDMFD-UHFFFAOYSA-N,-0.452707599162065,298.15
4420,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,CC(C)O,NTBYINQTYWZXLH-UHFFFAOYSA-N,KFZMGEQAYNKOFK-UHFFFAOYSA-N,-1.108534825126333,298.15
4421,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,CCCCCC,NTBYINQTYWZXLH-UHFFFAOYSA-N,VLKZOEOYAKHREP-UHFFFAOYSA-N,-1.0599963104787795,298.15
4422,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,CCCCCCC,NTBYINQTYWZXLH-UHFFFAOYSA-N,IMNFDUFMRHMDMM-UHFFFAOYSA-N,-1.1195083912369226,298.15
4423,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,CCCCO,NTBYINQTYWZXLH-UHFFFAOYSA-N,LRHPLDYGYMQRHN-UHFFFAOYSA-N,-1.0052884527500716,298.15
4424,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,CCCO,NTBYINQTYWZXLH-UHFFFAOYSA-N,BDERNNFJNOPAEC-UHFFFAOYSA-N,-0.9417666659324895,298.15
4425,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,CCO,NTBYINQTYWZXLH-UHFFFAOYSA-N,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,-1.0032037978855484,298.15
4426,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,CCOC(C)=O,NTBYINQTYWZXLH-UHFFFAOYSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,-0.11247376982442266,298.15
4427,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,CO,NTBYINQTYWZXLH-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N,-1.0596737020277802,298.15
4428,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,ClC(Cl)(Cl)Cl,NTBYINQTYWZXLH-UHFFFAOYSA-N,VZGDMQKNWNREIO-UHFFFAOYSA-N,-0.1918655016567049,298.15
